url,STRING : publisher,STRING : developer,STRING : genre,STRING : esrb
videogame/www.metacritic.com/xbox360_callofduty4modernwarfare.html,Activision,Infinity Ward,First-Person Shooter,M (Mature)
videogame/www.metacritic.com/xbox360_worms.html,Team 17,Team 17,"Turn-Based Strategy, Wargame",E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_commandersattackofthegenos.html,Sierra Online,SouthEnd Interactive,"Turn-Based Strategy, Simulation",E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_legoindianajonestheoriginaladventures.html,LucasArts,Traveller's Tales,Adventure,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/psx_nascarthunder2003.html,Electronic Arts,EA Sports - Tiburon,"Racing, Driving",E (Everyone)
videogame/www.metacritic.com/psx_nascarthunder2002.html,Electronic Arts,EA Sports - Tiburon,"Racing, Driving",E (Everyone)
videogame/www.metacritic.com/xbox360_frogger2.html,Konami,"Voltex, Inc.",Action,E (Everyone)
videogame/www.metacritic.com/xbox360_vivapinatatroubleinparadise.html,Microsoft Game Studios,Rare,"Virtual Pet, Adventure",E (Everyone)
videogame/www.metacritic.com/psx_nbashootout2001.html,Sony Comuter Entertainment,989 Studios,Sports,E (Everyone)
videogame/www.metacritic.com/psx_nbashootout2003.html,Sony Computer Entertainment,989 Sports,Sports,E (Everyone)
videogame/www.metacritic.com/psx_nbashootout2002.html,Sony Computer Entertainment,989 Sports,Sports,E (Everyone)
videogame/www.metacritic.com/xbox360_championshipmanager2007.html,Eidos Interactive,Gusto Games,Sports Management Simulation,RP (Rating Pending)
videogame/www.metacritic.com/psx_dukeshazzard2daisy.html,SouthPeak Interactive,SouthPeak Interactive,Racing,E (Everyone)
videogame/www.metacritic.com/psx_acecombat2.html,Namco,Namco,Simulation,E (Everyone)
videogame/www.metacritic.com/xbox360_looneytunesacmearsenal.html,Warner Bros. Interactive,Red Tribe,"Action, Adventure",E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_maddennfl09.html,Electronic Arts,EA Tiburon,"Sports, Football",E (Everyone)
videogame/www.metacritic.com/xbox360_hellboy.html,Konami,Krome Studios,"Action, Beat-'Em-Up",T (Teen)
videogame/www.metacritic.com/xbox360_armyoftwo.html,Electronic Arts,EA Montreal,"Action, First-Person Shooter",M (Mature)
videogame/www.metacritic.com/xbox360_wikthefableofsouls.html,Reflexive Entertainment Inc.,Reflexive Entertainment Inc.,"Platform, Puzzle",E (Everyone)
videogame/www.metacritic.com/xbox360_maddennfl08.html,Electronic Arts,EA Tiburon,"Sports, Football",E (Everyone)
videogame/www.metacritic.com/psx_hogsofwar.html,Infogrames,Infogrames Sheffield House,Turn-Based Strategy,T (Teen)
videogame/www.metacritic.com/xbox360_maddennfl07.html,Electronic Arts,EA Tiburon,"Sports, Football",E (Everyone)
videogame/www.metacritic.com/xbox360_maddennfl06.html,Electronic Arts,EA Tiburon,"Football, Sports",E (Everyone)
videogame/www.metacritic.com/xbox360_sceneitlightscameraaction.html,Microsoft Game Studios,Screenlife Games - WXP,"Trivia, Game Show",T (Teen)
videogame/www.metacritic.com/psx_needforspeed3hotpursuit.html,Electronic Arts,Electronic Arts,"Racing, Driving",E (Everyone)
videogame/www.metacritic.com/xbox360_blissisland.html,Codemasters,PomPom,Puzzle,E (Everyone)
videogame/www.metacritic.com/xbox360_guitarheroaerosmith.html,Activision,Neversoft Entertainment,Music,T (Teen)
videogame/www.metacritic.com/xbox360_fifasoccer06.html,Electronic Arts,EA Canada,"Sports, Soccer",E (Everyone)
videogame/www.metacritic.com/xbox360_1xr.html,TBA,Infinite Games,"Racing, Driving, Action",RP (Rating Pending)
videogame/www.metacritic.com/xbox360_kameoelementsofpower.html,Microsoft,Rare,"Action, Adventure",T (Teen)
videogame/www.metacritic.com/xbox360_soldieroffortunepayback.html,Activision,Cauldron,First-Person Shooter,M (Mature)
videogame/www.metacritic.com/xbox360_proevolutionsoccer6.html,Konami,Konami,"Sports, Soccer",RP (Rating Pending)
videogame/www.metacritic.com/xbox360_baja.html,THQ,2XL Games,"Racing, Driving",E (Everyone)
videogame/www.metacritic.com/xbox360_rockyandbullwinkle.html,Microsoft,ZEN Studios,Party,E (Everyone)
videogame/www.metacritic.com/xbox360_settlersofcatan.html,Microsoft Game Studios,Big Huge Games,Board Games,E (Everyone)
videogame/www.metacritic.com/psx_inuyasha.html,Bandai,Dimps,"Fighting, Action",T (Teen)
videogame/www.metacritic.com/xbox360_summerathleticstheultimatechallenge.html,Crave Entertainment,49Games,Sports,E (Everyone)
videogame/www.metacritic.com/xbox360_fifasoccer08.html,Electronic Arts,EA Canada,"Sports, Soccer",E (Everyone)
videogame/www.metacritic.com/xbox360_digdug.html,Namco Bandai Games,Namco Bandai Games,Action,E (Everyone)
videogame/www.metacritic.com/psx_disneysemperorsgroove.html,Sony Computer Entertainment,Argonaut Games,Adventure,E (Everyone)
videogame/www.metacritic.com/xbox360_dynastywarriors6.html,KOEI,Omega Force,Action,T (Teen)
videogame/www.metacritic.com/xbox360_superpuzzlefighter2turbohdremix.html,Capcom,Backbone Entertainment,Puzzle,E (Everyone)
videogame/www.metacritic.com/xbox360_spiderwickchronicles.html,Sierra Entertainment,Stormfront Studios,Adventure,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_pdcworldchampionshipdarts2008.html,Oxygen Interactive,Mere Mortals,"Sports, Darts",RP (Rating Pending)
videogame/www.metacritic.com/psx_tonyhawkproskater2.html,Activision,Neversoft Entertainment,Action,E (Everyone)
videogame/www.metacritic.com/xbox360_projectgothamracing3.html,Microsoft,Bizarre Creations,"Racing, Driving",E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_uno.html,Microsoft,Carbonated Games,Card Battle,E (Everyone)
videogame/www.metacritic.com/xbox360_darkmessiahofmightandmagicelements.html,Ubisoft,Annecy Studio,"First-Person Action, Role-Playing Game",M (Mature)
videogame/www.metacritic.com/xbox360_legendofspyrodawnofthedragon.html,Vivendi Games / Sierra Entertainment,Etranges Libellules,Platform,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/psx_elementalgearbolt.html,Working Designs,Alfa Systems,"Action, Light Gun, Shooter",T (Teen)
videogame/www.metacritic.com/xbox360_contra.html,Konami,Digital Eclipse,"Action, Shoot-'em-up",E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_projectgothamracing4.html,Microsoft,Bizarre Creations,"Racing, Driving",E (Everyone)
videogame/www.metacritic.com/xbox360_turok.html,Touchstone,Propaganda Games,"First-Person Shooter, Action",M (Mature)
videogame/www.metacritic.com/psx_raycrisisseriestermination.html,Working Designs,Taito,Action,E (Everyone)
videogame/www.metacritic.com/xbox360_gripshift.html,Sidhe Interactive,Sidhe Interactive,"Racing, Driving",E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/psx_chronocross.html,Square Electronic Arts,Square Soft,Role-Playing Game,T (Teen)
videogame/www.metacritic.com/xbox360_assaultheroes2.html,Sierra Online,Wanako Studios,"Action, Adventure, Shoot 'em Up",T (Teen)
videogame/www.metacritic.com/xbox360_winningelevenproevolutionsoccer2007.html,Konami,Konami,"Sports, Soccer",E (Everyone)
videogame/www.metacritic.com/xbox360_xevious.html,Namco Bandai Games,Namco Bandai Games,Shooter,E (Everyone)
videogame/www.metacritic.com/xbox360_perfectdarkzero.html,Microsoft,Rare,"First-Person Shooter, Action",M (Mature)
videogame/www.metacritic.com/xbox360_gun.html,Activision,Neversoft Entertainment,"First-Person Shooter, Action, Adventure",M (Mature)
videogame/www.metacritic.com/psx_tigerwoodspga2001.html,EA Sports,Stormfront Studios,Sports,E (Everyone)
videogame/www.metacritic.com/xbox360_tron.html,Disney Interactive Studios,Backbone Charlottetown,Action,E (Everyone)
videogame/www.metacritic.com/psx_toystoryracer.html,Activision,Traveller's Tales,Racing,E (Everyone)
videogame/www.metacritic.com/xbox360_americasarmytruesoldiers.html,Ubisoft,Red Storm Entertainment,First-Person Shooter,T (Teen)
videogame/www.metacritic.com/psx_twistedmetalsmallbrawl.html,Sony Computer Entertainment,Incognito Inc.,Car Combat,T (Teen)
videogame/www.metacritic.com/xbox360_yiearkungfu.html,Konami,Digital Eclipse,Fighting,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_braid.html,Microsoft,Number None Inc.,"Puzzle, Platform",E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/psx_suikoden2.html,Konami,Konami Tokyo,Role-Playing Game,T (Teen)
videogame/www.metacritic.com/psx_worldsscariestpolicechases.html,Fox Interactive,UDS,Action,T (Teen)
videogame/www.metacritic.com/psx_ecwanarchyrulz.html,Acclaim,Acclaim Salt Lake City,Sports,T (Teen)
videogame/www.metacritic.com/psx_chickenrun.html,Eidos Interactive,Blitz,Action,E (Everyone)
videogame/www.metacritic.com/xbox360_masseffect.html,Microsoft,BioWare,"Action, Role-Playing Game",M (Mature)
videogame/www.metacritic.com/xbox360_fifa07.html,Electronic Arts,EA Canada,Sports,E (Everyone)
videogame/www.metacritic.com/xbox360_spectralforce3.html,Atlus USA,Idea Factory,"Strategy, Role-Playing Game",T (Teen)
videogame/www.metacritic.com/xbox360_rocketmenitcamefromyoururanus.html,Capcom,ACRONYM,Shooter,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_pinballfx.html,Zen Studios,Zen Studios,Pinball,E (Everyone)
videogame/www.metacritic.com/xbox360_universeatwarearthassault.html,Sega,Petroglyph,Real-Time Strategy,T (Teen)
videogame/www.metacritic.com/xbox360_pure.html,Disney Interactive Studios,Black Rock Studio,"Racing, Driving",E (Everyone)
videogame/www.metacritic.com/psx_capcomvssnkpro.html,Capcom,Capcom,"Fighting, Action",T (Teen)
videogame/www.metacritic.com/psx_buzzlightyearofstarcommand.html,Activision,Traveller's Tales,Action,E (Everyone)
videogame/www.metacritic.com/xbox360_quake4.html,Activision,Raven Software / id Software,"First-Person Shooter, Action",M (Mature)
videogame/www.metacritic.com/xbox360_kaneandlynchdeadmen.html,Eidos Interactive,Io Interactive,"Third-Person Shooter, Action",M (Mature)
videogame/www.metacritic.com/xbox360_rockband.html,Electronic Arts / MTV,Harmonix,"Music, Rhythm Action",T (Teen)
videogame/www.metacritic.com/psx_frogger2swampysrevenge.html,Hasbro Interactive,BlitzGames,Action,E (Everyone)
videogame/www.metacritic.com/xbox360_hardwoodspades.html,Silver Creek Entertainment,Silver Creek Entertainment,Card Games,E (Everyone)
videogame/www.metacritic.com/psx_alienresurrection.html,Fox Interactive,"Argonaut Software, Ltd.","Adventure, First-Person Shooter",M (Mature)
videogame/www.metacritic.com/xbox360_motogp07.html,THQ,Climax Studios,Racing,E (Everyone)
videogame/www.metacritic.com/xbox360_motogp06.html,THQ,Climax,Racing,E (Everyone)
videogame/www.metacritic.com/xbox360_marbleblastultra.html,Garage Games,Garage Games,"Platform, Puzzle, Action",E (Everyone)
videogame/www.metacritic.com/psx_propinballbigraceusa.html,Take 2 Interactive,Take 2 Interactive,Other,E (Everyone)
videogame/www.metacritic.com/xbox360_tonyhawksproject8.html,Activision,Neversoft Entertainment,Extreme Sports,T (Teen)
videogame/www.metacritic.com/xbox360_karaokerevolutionpresentsamericanidolencore.html,Konami,Blitz Games,Music,E (Everyone)
videogame/www.metacritic.com/psx_highheatbaseball2002.html,3DO,3DO,Sports,E (Everyone)
videogame/www.metacritic.com/xbox360_cloningclyde.html,NinjaBee,NinjaBee,Action,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/psx_wcwbackstageassault.html,Electronic Arts,Kodiak,"Wrestling, Fighting",T (Teen)
videogame/www.metacritic.com/xbox360_hitmanbloodmoney.html,Eidos Interactive,Io Interactive,"First and Third Person Shooter, Action",M (Mature)
videogame/www.metacritic.com/xbox360_dogtag.html,Digital Jesters,Diezel Power,"Action, Third-Person Shooter",RP (Rating Pending)
videogame/www.metacritic.com/xbox360_galaga.html,Namco Bandai Games,Namco Bandai Games,Shooter,E (Everyone)
videogame/www.metacritic.com/psx_actionbass.html,Take 2 Interactive,Syscom Entertainment,Sports,E (Everyone)
videogame/www.metacritic.com/psx_harrypotterandthesorcerersstone.html,Electronic Arts,Argonaut Games,Adventure,E (Everyone)
videogame/www.metacritic.com/psx_residentevil2.html,Capcom,Capcom,"Survival Horror, Adventure",M (Mature)
videogame/www.metacritic.com/psx_disneysaladdininnasirasrevenge.html,Sony Computer Entertainment,Argonaut Games,Adventure,E (Everyone)
videogame/www.metacritic.com/xbox360_tetrisevolution.html,THQ,THQ,"Puzzle, Action",E (Everyone)
videogame/www.metacritic.com/psx_dinocrisis2.html,Capcom,Capcom,Adventure,M (Mature)
videogame/www.metacritic.com/xbox360_fullauto.html,Sega,Pseudo Interactive,"Car Combat, Action",T (Teen)
videogame/www.metacritic.com/xbox360_gauntlet.html,Midway,Digital Eclipse,Action,E (Everyone)
videogame/www.metacritic.com/psx_surfriders.html,Ubi Soft,Ubi Soft,"Action, Sports",E (Everyone)
videogame/www.metacritic.com/xbox360_overgfighters.html,Ubisoft,Taito Corporation,Flight Combat Simulation,T (Teen)
videogame/www.metacritic.com/xbox360_piratesvsninjasdodgeball.html,Gamecock,Blazing Lizard,"Action, Sports",E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_culdceptsaga.html,Namco Bandai Games,Omiya Soft,"Card Battle, Board Games, Role-Playing Game",T (Teen)
videogame/www.metacritic.com/xbox360_lostplanetextremeconditioncoloniesedition.html,Capcom,Capcom,"Third-Person Shooter, Action",T (Teen)
videogame/www.metacritic.com/psx_ballbreakers.html,Take 2 Interactive,Lost Toys,Action,E (Everyone)
videogame/www.metacritic.com/psx_dragonwarrior7.html,Enix,Enix,Role-Playing Game,T (Teen)
videogame/www.metacritic.com/psx_ncaagamebreaker2001.html,Sony Computer Entertainment,989 Sports,Sports,E (Everyone)
videogame/www.metacritic.com/psx_armymenairattack2.html,3DO,3DO,Action,T (Teen)
videogame/www.metacritic.com/xbox360_blitztheleague.html,Midway,Midway Chicago,"Sports, Football, Action",M (Mature)
videogame/www.metacritic.com/xbox360_speedball2brutaldeluxe.html,Empire Interactive,Bitmap Brothers,Extreme Sports,E (Everyone)
videogame/www.metacritic.com/xbox360_operationdarkness.html,Atlus USA,Success,Turn-Based Strategy,M (Mature)
videogame/www.metacritic.com/xbox360_nascar09.html,Electronic Arts,EA Tiburon,"Racing, Driving",E (Everyone)
videogame/www.metacritic.com/xbox360_nba2k9.html,2K Sports,Visual Concepts,"Sports, Basketball",E (Everyone)
videogame/www.metacritic.com/xbox360_nascar08.html,Electronic Arts,EA Tiburon,"Racing, Driving",E (Everyone)
videogame/www.metacritic.com/xbox360_astropop.html,Oberon Media,PopCap Games,Puzzle,E (Everyone)
videogame/www.metacritic.com/xbox360_guitarhero3legendsofrock.html,Activision,Neversoft Entertainment,Music,T (Teen)
videogame/www.metacritic.com/xbox360_nba2k7.html,2K Sports,Visual Concepts,"Sports, Basketball",E (Everyone)
videogame/www.metacritic.com/xbox360_nba2k8.html,2K Sports,Visual Concepts,"Sports, Basketball",E (Everyone)
videogame/www.metacritic.com/psx_xenogears.html,Squaresoft,Square,Role-Playing Game,T (Teen)
videogame/www.metacritic.com/xbox360_nba2k6.html,2K Games,Visual Concepts,"Sports, Basketball",E (Everyone)
videogame/www.metacritic.com/xbox360_banjokazooienutsandbolts.html,Microsoft Game Studios,Rare,Platform,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/psx_backyardsoccer.html,Infogrames / Humongous Entertainment,Runecraft,Sports,E (Everyone)
videogame/www.metacritic.com/xbox360_kingkong.html,Ubisoft,Ubisoft,"Action, Adventure",T (Teen)
videogame/www.metacritic.com/psx_dexterslaboratorymandarkslab.html,BAM! Entertainment,Red Lemon Studios,"Puzzle, Arcade",E (Everyone)
videogame/www.metacritic.com/xbox360_tonyhawksamericanwasteland.html,Activision,Neversoft Entertainment,Extreme Sports,T (Teen)
videogame/www.metacritic.com/xbox360_99nights.html,Microsoft,Q Entertainment - Phantagram,"Action, Role-Playing Game",M (Mature)
videogame/www.metacritic.com/xbox360_footballmanager2006.html,Sega Europe,Sports Interactive,Sports Management Simulation,RP (Rating Pending)
videogame/www.metacritic.com/xbox360_ghostbusters.html,Sierra Entertainment,Terminal Reality,"Action, Adventure",RP (Rating Pending)
videogame/www.metacritic.com/xbox360_footballmanager2008.html,Sega Europe,Sports Interactive,Sports Management Simulation,RP (Rating Pending)
videogame/www.metacritic.com/xbox360_footballmanager2007.html,Sega Europe,Sports Interactive,Sports Management Simulation,E (Everyone)
videogame/www.metacritic.com/psx_castlevaniachronicles.html,Konami,Konami,"Action, Adventure",T (Teen)
videogame/www.metacritic.com/xbox360_luxor2.html,MumboJumbo,MumboJumbo,Puzzle,E (Everyone)
videogame/www.metacritic.com/xbox360_supermanreturnsthevideogame.html,Electronic Arts,EA Tiburon,"Third-Person Action, Beat-'Em-Up",T (Teen)
videogame/www.metacritic.com/xbox360_screwjumper.html,THQ,Frozen Codebase,Action,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_gyruss.html,Konami,Digital Eclipse,Shooter,E (Everyone)
videogame/www.metacritic.com/xbox360_undertow.html,Chair Entertainment,Chair Entertainment,"Action, Shooter",E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_nbalive09.html,Electronic Arts,EA Canada,"Sports, Basketball",E (Everyone)
videogame/www.metacritic.com/psx_ducatiworldracingchallenge.html,Acclaim,Attention to Detail,Racing,E (Everyone)
videogame/www.metacritic.com/xbox360_tombraiderlegend.html,Eidos Interactive,Crystal Dynamics,"Third-Person Action, Adventure",T (Teen)
videogame/www.metacritic.com/xbox360_missilecommand.html,Atari,Stainless Games,Action,E (Everyone)
videogame/www.metacritic.com/xbox360_nbalive08.html,Electronic Arts,EA Canada,"Sports, Basketball",E (Everyone)
videogame/www.metacritic.com/psx_miketysonboxing.html,Activision,Codemasters,Sports,T (Teen)
videogame/www.metacritic.com/xbox360_bladestormthehundredyearswar.html,Koei,Omega Force,"Action, Beat-'Em-Up",T (Teen)
videogame/www.metacritic.com/psx_strider2.html,Capcom,Capcom,Action,E (Everyone)
videogame/www.metacritic.com/psx_whowantstobeamillionaire3rd.html,Sony Computer Entertainment,Jellyvision,Puzzle,E (Everyone)
videogame/www.metacritic.com/psx_vip.html,Ubi Soft,Ubi Soft,Action,T (Teen)
videogame/www.metacritic.com/psx_rockemsockemrobotsarena.html,Mattel Interactive,Paradox,Fighting,T (Teen)
videogame/www.metacritic.com/xbox360_bejeweled2deluxe.html,Oberon Media,PopCap Games,Puzzle,E (Everyone)
videogame/www.metacritic.com/xbox360_monopoly.html,Electronic Arts,Electronic Arts,Board Game,E (Everyone)
videogame/www.metacritic.com/xbox360_overlord.html,Codemasters,Triumph Studios,"Action, Adventure",T (Teen)
videogame/www.metacritic.com/psx_snocrosschampracing.html,Crave Entertainment,UDS,Racing,E (Everyone)
videogame/www.metacritic.com/xbox360_carcassonne.html,Sierra Online,Sierra Online Seattle,"Strategy, Board Game",E (Everyone)
videogame/www.metacritic.com/psx_valkyrieprofile.html,Enix,Tri-Ace,Role-Playing Game,T (Teen)
videogame/www.metacritic.com/psx_wipeoutxl.html,Psygnosis,Psygnosis,Racing,K-A (Kids to Adult)
videogame/www.metacritic.com/xbox360_ironman.html,Sega,Secret Level,Third-Person Shooter,T (Teen)
videogame/www.metacritic.com/psx_lunarsilverstarstorycomplete.html,Working Designs,Game Arts,Role-Playing Game,T (Teen)
videogame/www.metacritic.com/psx_bustagroove2.html,Enix,Enix,"Action, Dancing",E (Everyone)
videogame/www.metacritic.com/psx_bravefencermusashi.html,Square Electronic Arts,Square Soft,"Action, Adventure, Role-Playing Game",E (Everyone)
videogame/www.metacritic.com/xbox360_nbalive06.html,Electronic Arts,EA Canada,"Sports, Basketball",E (Everyone)
videogame/www.metacritic.com/xbox360_nbalive07.html,Electronic Arts,EA Canada,"Sports, Basketball",E (Everyone)
videogame/www.metacritic.com/xbox360_wet.html,Sierra Entertainment,A2M,Third-Person Shooter,RP (Rating Pending)
videogame/www.metacritic.com/psx_destructionderbyraw.html,Midway,Studio 33,Racing,E (Everyone)
videogame/www.metacritic.com/xbox360_majorleaguebaseball2k6.html,2K Sports,Visual Concepts - Kush Games,"Sports, Baseball",E (Everyone)
videogame/www.metacritic.com/xbox360_majorleaguebaseball2k7.html,2K Sports,Visual Concepts - Kush Games,"Sports, Baseball",E (Everyone)
videogame/www.metacritic.com/xbox360_majorleaguebaseball2k8.html,2K Sports,2K Los Angeles,"Sports, Baseball",E (Everyone)
videogame/www.metacritic.com/psx_jeopardy2.html,Hasbro Interactive,Hasbro Interactive,Quiz,KA (KIDS TO ADULTS)
videogame/www.metacritic.com/psx_batmanbeyondreturnjoker.html,Ubi Soft,Kemco,Action,E (Everyone)
videogame/www.metacritic.com/xbox360_stuntmanignition.html,THQ,Paradigm Entertainment,"Racing, Driving, Action",T (Teen)
videogame/www.metacritic.com/xbox360_3dultraminigolfadventures.html,Sierra Online,Wanako Games,"Sports, Golf",E (Everyone)
videogame/www.metacritic.com/psx_smurfracer.html,Infogrames,Artificial Mind + Movement,Racing,E (Everyone)
videogame/www.metacritic.com/psx_driver2.html,Infogrames/GT Interactive,Reflections,Racing,T (Teen)
videogame/www.metacritic.com/psx_tenchustealthassassins.html,Activision,Acquire,"Fighting, Action",M (Mature)
videogame/www.metacritic.com/xbox360_talisman.html,Capcom,Big Rooster,"Role-Playing Game, Board Game",RP (Rating Pending)
videogame/www.metacritic.com/xbox360_bluedragon.html,Microsoft,Mistwalker,Role-Playing Game,T (Teen)
videogame/www.metacritic.com/xbox360_doom.html,Activision,Id Software,"First-Person Shooter, Action",M (Mature)
videogame/www.metacritic.com/xbox360_condemnedcriminalorigins.html,Sega,Monolith Productions,"First-Person Action, Adventure, Horror",M (Mature)
videogame/www.metacritic.com/psx_armymenworldwarfinalfront.html,3DO,3DO,Action,T (Teen)
videogame/www.metacritic.com/xbox360_rocketmenaxisofevil.html,Capcom,ACRONYM,Shooter,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/psx_digimonrumblearena.html,Bandai,Hudson,Fighting,E (Everyone)
videogame/www.metacritic.com/xbox360_2006fifaworldcup.html,Electronic Arts,EA Canada,"Sports, Soccer",E (Everyone)
videogame/www.metacritic.com/psx_starwarsdemolition.html,LucasArts,Luxoflux Corp.,"Action, 3-D Shooter",T (Teen)
videogame/www.metacritic.com/xbox360_topspin2.html,2K Sports,Indie Built,"Tennis, Sports",E (Everyone)
videogame/www.metacritic.com/xbox360_topspin3.html,2K Sports,PAM Development,"Sports, Tennis",E (Everyone)
videogame/www.metacritic.com/xbox360_tombraiderunderworld.html,Eidos Interactive,Crystal Dynamics,"Action, Adventure",T (Teen)
videogame/www.metacritic.com/psx_mortalkombatspecialforces.html,Midway,Midway,Action,M (Mature)
videogame/www.metacritic.com/psx_scoobydooandthecyberchase.html,THQ,"Art, Inc.","Action, Platform",E (Everyone)
videogame/www.metacritic.com/psx_wipeout3.html,Psygnosis,Psygnosis,Racing,E (Everyone)
videogame/www.metacritic.com/xbox360_feedingfrenzy.html,Oberon Media,Sprout Games,Puzzle,E (Everyone)
videogame/www.metacritic.com/xbox360_frontlinesfuelofwar.html,THQ,Kaos Studios,First-Person Shooter,T (Teen)
videogame/www.metacritic.com/psx_countdownvampires.html,Bandai,K2C,Adventure,M (Mature)
videogame/www.metacritic.com/psx_youdontknowjack2.html,Sierra Attractions,Starsphere Interactive,Puzzle,T (Teen)
videogame/www.metacritic.com/xbox360_hardwoodbackgammon.html,Silver Creek Entertainment,Silver Creek Entertainment,Board,E (Everyone)
videogame/www.metacritic.com/xbox360_puzzlequestchallengeofthewarlords.html,D3Publisher of America,Infinite Interactive Pty. Ltd,Puzzle,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_sealifesafari.html,Sierra Online,Wanako,Adventure,E (Everyone)
videogame/www.metacritic.com/psx_battlearenatoshinden.html,Sony Computer Entertainment,Takara,"Fighting, Action",T (Teen)
videogame/www.metacritic.com/psx_silenthill.html,Konami,Konami,"Survival Horror, Adventure",M (Mature)
videogame/www.metacritic.com/xbox360_everyextendextraextreme.html,Q Entertainment,Q Entertainment,"Puzzle, Shooter, Action",E (Everyone)
videogame/www.metacritic.com/psx_powerspikeprobeachvolleyball.html,Infogrames,Carapace,Sports,E (Everyone)
videogame/www.metacritic.com/xbox360_battlefantasia.html,Aksys Games,Arc System Works,"Fighting, Adventure",T (Teen)
videogame/www.metacritic.com/psx_tonyhawksproskater.html,Activision,Neversoft Entertainment,"Sports, Action",E (Everyone)
videogame/www.metacritic.com/xbox360_fracture.html,LucasArts,Day 1 Studios,"Third-Person Shooter, Action",T (Teen)
videogame/www.metacritic.com/psx_colinmcraerally2.html,Codemasters,Codemasters,Racing,E (Everyone)
videogame/www.metacritic.com/xbox360_segarallyrevo.html,Sega,SEGA Racing Studio,"Racing, Driving",E (Everyone)
