url,STRING : publisher,STRING : genre,STRING : developer,STRING : esrb
videogame/games.teamxbox.com/1125_Aeon-Flux.html,Majesco Entertainment,Action/Adventure,Terminal Reality,Teen (T)
videogame/games.teamxbox.com/1985_Afro-Samurai.html,Namco Bandai,Action/Adventure,Namco Bandai,Mature (M)
videogame/games.teamxbox.com/1961_Age-of-Booty.html,Capcom,Xbox Live Arcade,Certain Affinity,Everyone (E)
videogame/games.teamxbox.com/1618_Age-of-Conan-Hyborian-Adventures.html,Eidos Interactive,RPG,Funcom,Rating Pending (RP)
videogame/games.teamxbox.com/457_Aggressive-Inline.html,Acclaim,Extreme Sports,Z-AXIS,Teen (T)
videogame/games.teamxbox.com/11_Airforce-Delta-Storm.html,Konami Digital Entertainment,Action,Konami Computer Entertainment,Everyone (E)
videogame/games.teamxbox.com/1148_Alan-Wake.html,Microsoft,Action/Adventure,Remedy Entertainment,Rating Pending (RP)
videogame/games.teamxbox.com/1699_Alhambra.html,TBA,Xbox Live Arcade,TBA,Rating Pending (RP)
videogame/games.teamxbox.com/654_Alias.html,Acclaim,Action,Acclaim Entertainment,Teen (T)
videogame/games.teamxbox.com/1079_Alien-Hominid.html,Zoo Digital Group PLC,Platformer,The Behemoth,Rating Pending (RP)
videogame/games.teamxbox.com/1639_Alien-Hominid-HD.html,The Behemoth,Xbox Live Arcade,The Behemoth,Teen (T)
videogame/games.teamxbox.com/561_Aliens-vs-Predator-Extinction.html,Electronic Arts,Real Time Strategy,EA Games,Teen (T)
videogame/games.teamxbox.com/1944_Aliens-Colonial-Marines.html,Sega,First Person Shooter,Gearbox Software,Rating Pending (RP)
videogame/games.teamxbox.com/1253_All-Points-Bulletin.html,"Webzen, Inc.",MMO,Realtime Worlds,Rating Pending (RP)
videogame/games.teamxbox.com/1717_AllPro-Football-2K8.html,2K Sports,Sports,Vision Studios,Rating Pending (RP)
videogame/games.teamxbox.com/156_AllStar-Baseball-2003.html,Acclaim,Sports,Acclaim Entertainment,Teen (T)
videogame/games.teamxbox.com/528_AllStar-Baseball-2004.html,Acclaim,Sports,Acclaim Entertainment,Everyone (E)
videogame/games.teamxbox.com/804_AllStar-Baseball-2005.html,Acclaim,Sports,Acclaim Entertainment,Everyone (E)
videogame/games.teamxbox.com/1330_Alone-in-the-Dark.html,"Atari, Inc.",Survival/Horror,Eden Studios,Mature (M)
videogame/games.teamxbox.com/1965_Alpha-Protocol.html,Sega,RPG,Obsidian Entertainment,Rating Pending (RP)
videogame/games.teamxbox.com/399_Alter-Echo.html,THQ,Action/Adventure,Outrage Games,Teen (T)
videogame/games.teamxbox.com/873_Americas-Army-Rise-of-a-Soldier.html,Ubisoft Entertainment,First Person Shooter,Secret Level,Rating Pending (RP)
videogame/games.teamxbox.com/1761_Americas-Army-True-Soldiers.html,Ubisoft Entertainment,First Person Shooter,Red Storm Entertainment,Teen (T)
videogame/games.teamxbox.com/793_Americas-Ten-Most-Wanted.html,Production-IG,First Person Shooter,Studio 3 Interactive,Rating Pending (RP)
videogame/games.teamxbox.com/1027_American-Chopper.html,Activision,Racing/Driving,Creat Studio,Teen (T)
videogame/games.teamxbox.com/1342_American-Chopper-2-Full-Throttle.html,Activision,Racing/Driving,TBA,Teen (T)
videogame/games.teamxbox.com/1671_American-McGees-Grimm-Project.html,TBA,Action/Adventure,TBA,Rating Pending (RP)
videogame/games.teamxbox.com/12_Amped.html,Microsoft,Extreme Sports,Microsoft,Everyone (E)
videogame/games.teamxbox.com/570_Amped-2.html,Microsoft,Sports,Microsoft,Everyone (E)
videogame/games.teamxbox.com/1211_Amped-3.html,2K Games,Sports,Indie Built,Teen (T)
videogame/games.teamxbox.com/13_Antz-Extreme-Racing.html,Empire Interactive,Racing/Driving,Empire Interactive,Everyone (E)
videogame/games.teamxbox.com/1855_Apocalypse-Desire-Next.html,TBA,RPG,Idea Factory,Rating Pending (RP)
videogame/games.teamxbox.com/602_Apocaylptica.html,Konami Digital Entertainment,Action/Adventure,Extreme FX,Rating Pending (RP)
videogame/games.teamxbox.com/311_Apprentice-Knight.html,Microids,Action,Microids,Rating Pending (RP)
videogame/games.teamxbox.com/595_Aquaman-Battle-for-Atlantis.html,TDK Mediactive,Action/Adventure,TDK Mediactive,Teen (T)
videogame/games.teamxbox.com/14_Arctic-Thunder.html,Midway,Racing/Driving,Midway Entertainment,Teen (T)
videogame/games.teamxbox.com/2097_Are-You-Smarter-Than-a-5th-Grader-Make-the-Grade.html,THQ,Xbox Live Arcade,Blitz Games,Everyone (E)
videogame/games.teamxbox.com/830_Area-51.html,Midway,First Person Shooter,Midway Studios Austin,Mature (M)
videogame/games.teamxbox.com/1375_Arena-Football.html,Electronic Arts,Sports,EA Tiburon,Everyone 10+ (E10+)
videogame/games.teamxbox.com/1870_Arkadian-Warriors.html,Sierra Online,Xbox Live Arcade,Wanako Studios,Everyone 10+ (E10+)
videogame/games.teamxbox.com/2142_Arkanoid-Live.html,Taito,Xbox Live Arcade,Taito Corporation,Rating Pending (RP)
videogame/games.teamxbox.com/15_Armada-2-Exodus.html,Metro 3D,Shooter,Metro 3D,Rating Pending (RP)
videogame/games.teamxbox.com/650_Armed-Dangerous.html,LucasArts Entertainment Company,Action/Shooter,Planet Moon Studios,Teen (T)
videogame/games.teamxbox.com/1559_Armored-Core-4.html,Sega,Action/Shooter,FROM Software,Teen (T)
videogame/games.teamxbox.com/2092_Armored-Core-for-Answer.html,Ubisoft Entertainment,Action/Shooter,FROM Software,Teen (T)
videogame/games.teamxbox.com/1450_Army-Men-Major-Malfunction.html,Global Star,Action/Shooter,Team 17,Teen (T)
videogame/games.teamxbox.com/941_Army-Men-Sarges-War.html,Global Star,Action/Shooter,Tactical Development,Everyone (E)
videogame/games.teamxbox.com/1495_Army-of-Two.html,Electronic Arts,Action,EA Montreal,Rating Pending (RP)
videogame/games.teamxbox.com/592_Arx-Fatalis.html,DreamCatcher,RPG,Arkane Studios,Mature (M)
videogame/games.teamxbox.com/1552_Assassins-Creed.html,Ubisoft Entertainment,Action/Adventure,Ubisoft Montreal,Mature (M)
videogame/games.teamxbox.com/1612_Assault-Heroes.html,"Sierra Entertainment, Inc.",Xbox Live Arcade,Wanako Studios,Teen (T)
videogame/games.teamxbox.com/1960_Assault-Heroes-2.html,Sierra Online,Xbox Live Arcade,Wanako Studios,Rating Pending (RP)
videogame/games.teamxbox.com/2024_Asterix-at-the-Olympic-Games.html,"Atari, Inc.",Action/Adventure,Etranges Libellules,Everyone 10+ (E10+)
videogame/games.teamxbox.com/1889_Asteroids-Deluxe.html,"Atari, Inc.",Xbox Live Arcade,Stainless Games,Rating Pending (RP)
videogame/games.teamxbox.com/1460_Astropop.html,Oberon Media,Xbox Live Arcade,PopCap Games,Everyone (E)
videogame/games.teamxbox.com/1026_Atari-Anthology.html,"Atari, Inc.",Compilations,Digital Eclipse,Everyone (E)
videogame/games.teamxbox.com/816_Auto-Modellista.html,Capcom,Racing/Driving,Capcom,Everyone (E)
videogame/games.teamxbox.com/1763_Avatar-The-Burning-Earth.html,THQ,Action/Adventure,THQ,Rating Pending (RP)
videogame/games.teamxbox.com/1563_Avatar-The-Last-Airbender.html,THQ,Action/Adventure,Studio Oz,Everyone 10+ (E10+)
videogame/games.teamxbox.com/1882_Axiom-Overdrive.html,TBA,Xbox Live Arcade,Reflexive Entertainment,Rating Pending (RP)
videogame/games.teamxbox.com/16_Azurik-Rise-of-Perathia.html,Microsoft,Action,Adrenium,Teen (T)
videogame/games.teamxbox.com/1297_BLACK.html,Electronic Arts,First Person Shooter,Criterion Software,Mature (M)
videogame/games.teamxbox.com/1841_Backbreaker.html,TBA,Sports,NaturalMotion,Rating Pending (RP)
videogame/games.teamxbox.com/879_Backyard-Wrestling-2-There-Goes-The-Neighborhood.html,Eidos Interactive,Fighting,Paradox Development,Mature (M)
videogame/games.teamxbox.com/558_Backyard-Wrestling-Dont-Try-This-at-Home.html,Eidos Interactive,Fighting,Paradox Development,Mature (M)
videogame/games.teamxbox.com/815_Bad-Boys-Miami-Takedown.html,Crave Entertainment,Action/Shooter,Blitz Games,Mature (M)
videogame/games.teamxbox.com/1144_Bad-Day-LA.html,The Supersonic Group,Action/Adventure,Enlight,Rating Pending (RP)
videogame/games.teamxbox.com/1966_Baja.html,THQ,Racing/Driving,2XL Games,Everyone (E)
videogame/games.teamxbox.com/700_Baldurs-Gate-Dark-Alliance-II.html,Interplay,Action/RPG,Black Isle Studios,Teen (T)
videogame/games.teamxbox.com/444_Baldurs-Gate-Dark-Alliance.html,Interplay,Action/RPG,Black Isle Studios,Teen (T)
videogame/games.teamxbox.com/1651_Band-of-Bugs.html,Microsoft,Xbox Live Arcade,NinjaBee,Rating Pending (RP)
videogame/games.teamxbox.com/2128_BanjoKazooie.html,Microsoft,Xbox Live Arcade,Rare,Everyone (E)
videogame/games.teamxbox.com/1575_BanjoKazooie-Nuts-and-Bolts.html,Microsoft,Platformer,Rare,Everyone 10+ (E10+)
videogame/games.teamxbox.com/2164_BanjoTooie.html,Microsoft,Action,Rare,Everyone (E)
videogame/games.teamxbox.com/1359_Bankshot-Billiards-2.html,N/A,Xbox Live Arcade,pixelStorm,Everyone (E)
videogame/games.teamxbox.com/445_Barbarian.html,Titus,Action/Adventure,Titus Interactive,Teen (T)
videogame/games.teamxbox.com/766_Barbie-Horse-Adventures-Wild-Horse-Rescue.html,Vivendi Games,Family,Blitz Games,Everyone (E)
videogame/games.teamxbox.com/1581_Bass-Pro-Shops-Trophy-Hunter.html,Vivendi Games,Action,Radical Entertainment,Rating Pending (RP)
videogame/games.teamxbox.com/1042_Batman-Begins.html,Electronic Arts,Action,Eurocom Entertainment Software,Teen (T)
videogame/games.teamxbox.com/2105_Batman-Arkham-Asylum.html,Eidos Interactive,Action/Adventure,Rocksteady,Rating Pending (RP)
videogame/games.teamxbox.com/370_Batman-Dark-Tomorrow.html,Kemco Games,Action/Adventure,Kemco,Teen (T)
videogame/games.teamxbox.com/640_Batman-Rise-of-Sin-Tzu.html,Ubisoft Entertainment,Action/Adventure,Ubisoft Entertainment,Teen (T)
videogame/games.teamxbox.com/223_Batman-Vengeance.html,Ubisoft Entertainment,Action,Ubisoft Entertainment,Teen (T)
videogame/games.teamxbox.com/301_Battle-Engine-Aquila.html,"Atari, Inc.",Shooter,Lost Toys,Teen (T)
videogame/games.teamxbox.com/2055_Battle-Fantasia.html,Aksys Games,Fighting,Arc Systems,Rating Pending (RP)
videogame/games.teamxbox.com/1430_Battlefield-2142.html,Electronic Arts,First Person Shooter,Digital Illusions,Rating Pending (RP)
videogame/games.teamxbox.com/1322_Battlefield-2-Modern-Combat.html,Electronic Arts,First Person Shooter,Digital Illusions,Teen (T)
videogame/games.teamxbox.com/944_Battlefield-2-Modern-Combat.html,Electronic Arts,First Person Shooter,Digital Illusions,Teen (T)
videogame/games.teamxbox.com/1547_Battlefield-Bad-Company.html,Electronic Arts,First Person Shooter,Digital Illusions,Teen (T)
videogame/games.teamxbox.com/1658_Battlestar-Galactica.html,"Sierra Entertainment, Inc.",Xbox Live Arcade,Auran Games,Everyone 10+ (E10+)
videogame/games.teamxbox.com/627_Battlestar-Galactica.html,Vivendi Games,Action/Adventure,Warthog,Teen (T)
videogame/games.teamxbox.com/1447_Battlestations-Midway.html,Eidos Interactive,Shooter,Eidos interactive Ltd,Rating Pending (RP)
videogame/games.teamxbox.com/1949_Battlestations-Pacific.html,Eidos Interactive,Shooter,Eidos interactive Ltd,Teen (T)
videogame/games.teamxbox.com/1983_Battlezone.html,"Atari, Inc.",Xbox Live Arcade,Stainless Games,Everyone (E)
videogame/games.teamxbox.com/2017_Bayonetta.html,Sega,Action,TBA,Rating Pending (RP)
videogame/games.teamxbox.com/1088_Beat-Down-Fists-of-Vengeance.html,Capcom,Fighting,Capcom,Rating Pending (RP)
videogame/games.teamxbox.com/2134_Beatn-Groovy.html,Konami Digital Entertainment,Xbox Live Arcade,Konami Computer Entertainment,Everyone (E)
videogame/games.teamxbox.com/1712_Beautiful-Katamari.html,Namco Bandai,Action,Namco Bandai,Everyone (E)
videogame/games.teamxbox.com/1771_Bee-Movie-Game.html,Activision,Action/Adventure,Activision,Rating Pending (RP)
videogame/games.teamxbox.com/1984_Beijing-2008.html,Sega,Sports,Eurocom Entertainment Software,Everyone (E)
videogame/games.teamxbox.com/1366_Bejeweled-2.html,Oberon Media,Xbox Live Arcade,PopCap Games,Everyone (E)
videogame/games.teamxbox.com/1818_Beowulf.html,Ubisoft Entertainment,Action/Adventure,Ubisoft Entertainment,Mature (M)
videogame/games.teamxbox.com/724_Beyond-Good-Evil.html,Ubisoft Entertainment,Action/Adventure,Ubisoft Entertainment,Teen (T)
videogame/games.teamxbox.com/2032_Beyond-Good-Evil-2.html,Ubisoft Entertainment,Action/Adventure,Ubisoft Entertainment,Rating Pending (RP)
videogame/games.teamxbox.com/1023_Bicycle-Casino.html,Activision,Card/Casino,"Leaping Lizard Games, Inc.",Everyone (E)
videogame/games.teamxbox.com/1576_Big-Bumpin.html,TBA,Action,Blitz Games,Rating Pending (RP)
videogame/games.teamxbox.com/501_Big-Mutha-Truckers.html,THQ,Racing/Driving,Eutechnyx,Teen (T)
videogame/games.teamxbox.com/1052_Big-Mutha-Truckers-2.html,THQ,Racing/Driving,Eutechnyx,Mature (M)
videogame/games.teamxbox.com/1457_BioShock.html,2K Games,First Person Shooter,2K Boston and 2K Australia,Rating Pending (RP)
videogame/games.teamxbox.com/1958_BioShock-2-Sea-of-Dreams.html,2K Games,First Person Shooter,2K Marin,Rating Pending (RP)
videogame/games.teamxbox.com/1871_Bionic-Commando.html,Capcom,Action/Shooter,"GRIN, Inc.",Mature (M)
videogame/games.teamxbox.com/1924_Bionic-Commando-Rearmed.html,Capcom,Xbox Live Arcade,"GRIN, Inc.",Mature (M)
videogame/games.teamxbox.com/568_Bionicle.html,Electronic Arts,Action/Adventure,Argonaut Games,Everyone (E)
videogame/games.teamxbox.com/1573_Bionicle-Heroes.html,Eidos Interactive,Action,TBA,Rating Pending (RP)
videogame/games.teamxbox.com/743_Black-9.html,Majesco Entertainment,Action/Adventure,Taldren,Rating Pending (RP)
videogame/games.teamxbox.com/152_Black-and-White.html,TBA,RPG,LionHead Studios,Rating Pending (RP)
videogame/games.teamxbox.com/1645_BlackSite-Area-51.html,Midway,First Person Shooter,Midway Studios Austin,Teen (T)
videogame/games.teamxbox.com/499_Blackstone-Magic-and-Steel.html,Xicat Interactive,Action/Adventure,Xicat Interactive,Teen (T)
videogame/games.teamxbox.com/419_Blade-2.html,Activision,Action/Adventure,Mucky Foot Productions,Mature (M)
videogame/games.teamxbox.com/1643_Bladestorm-The-Hundred-Years-War.html,KOEI Corporation,Action/Strategy,KOEI Corporation,Rating Pending (RP)
videogame/games.teamxbox.com/1654_Blazing-Angels-2-Secret-Missions-of-WWII.html,Ubisoft Entertainment,Flying,Ubisoft Entertainment,Rating Pending (RP)
videogame/games.teamxbox.com/1370_Blazing-Angels-Squadrons-of-WWII.html,Ubisoft Entertainment,Flying,Ubisoft Romania,Teen (T)
videogame/games.teamxbox.com/1156_Blazing-Angels-Squadrons-of-WWII.html,Ubisoft Entertainment,Flying,Ubisoft Romania,Rating Pending (RP)
videogame/games.teamxbox.com/2175_Blazing-Birds.html,Microsoft,Action,Vector 2 Games,Rating Pending (RP)
videogame/games.teamxbox.com/968_Blinx-2-Masters-of-Time-Space.html,Microsoft,Platformer,Artoon Co,Everyone (E)
videogame/games.teamxbox.com/408_Blinx-The-Time-Sweeper.html,Microsoft,Platformer,Artoon Co,Everyone (E)
videogame/games.teamxbox.com/1955_Bliss-Island.html,Codemasters,Xbox Live Arcade,PomPom Software,Rating Pending (RP)
videogame/games.teamxbox.com/1061_Blitz-The-League.html,Midway,Sports,Midway Entertainment,Mature (M)
videogame/games.teamxbox.com/1548_Blitz-The-League.html,Midway,Sports,Midway Entertainment,Rating Pending (RP)
videogame/games.teamxbox.com/1988_Blitz-The-League-II.html,Midway,Sports,Midway Entertainment,Mature (M)
videogame/games.teamxbox.com/1905_Blood-Bowl.html,TBA,Action/Strategy,Cyanide,Rating Pending (RP)
videogame/games.teamxbox.com/230_Blood-Omen-2.html,Eidos Interactive,Action,Crystal Dynamics,Mature (M)
videogame/games.teamxbox.com/19_Blood-Wake.html,Microsoft,Action,Stormfront Studios,Teen (T)
videogame/games.teamxbox.com/288_BloodRayne.html,Majesco Entertainment,Action,Terminal Reality,Mature (M)
videogame/games.teamxbox.com/807_BloodRayne-2.html,Majesco Entertainment,Action,Terminal Reality,Mature (M)
videogame/games.teamxbox.com/599_Bloody-Roar-Extreme.html,Konami Digital Entertainment,Fighting,"Hudson Soft Co., LTD",Teen (T)
videogame/games.teamxbox.com/529_BlowOut.html,Majesco Entertainment,Shooter,Terminal Reality,Teen (T)
videogame/games.teamxbox.com/1486_Blue-Dragon.html,Microsoft,RPG,Mistwalker,Teen (T)
videogame/games.teamxbox.com/2045_Bolt.html,Disney Interactive Studios,Action/Adventure,Avalanche Software,Everyone 10+ (E10+)
videogame/games.teamxbox.com/1416_Bomberman-ActZero.html,Konami Digital Entertainment,Action/Strategy,"Hudson Soft Co., LTD",Rating Pending (RP)
videogame/games.teamxbox.com/1746_Bomberman-Live.html,Hudson Entertainment,Xbox Live Arcade,Backbone Entertainment,Everyone (E)
videogame/games.teamxbox.com/1868_Boogie-Bunnies.html,Sierra Online,Xbox Live Arcade,Artech Studios,Everyone (E)
videogame/games.teamxbox.com/1641_Boom-Boom-Rocket.html,Electronic Arts,Xbox Live Arcade,Bizarre Creations,Everyone 10+ (E10+)
videogame/games.teamxbox.com/1831_Borderlands.html,2K Games,Action/RPG,Gearbox Software,Rating Pending (RP)
videogame/games.teamxbox.com/1873_Brtal-Legend.html,Electronic Arts,Action/Adventure,Double Fine Productions,Rating Pending (RP)
videogame/games.teamxbox.com/2093_Braid.html,Microsoft,Xbox Live Arcade,Number None Inc.,Everyone 10+ (E10+)
videogame/games.teamxbox.com/1896_Brain-Challenge.html,TBA,Xbox Live Arcade,Gameloft,Rating Pending (RP)
videogame/games.teamxbox.com/2058_Brave-A-Warriors-Tale.html,Southpeak Interactive,Action/Adventure,Collision Studios,Everyone 10+ (E10+)
videogame/games.teamxbox.com/664_Breakdown.html,Namco Bandai,Action/Adventure,Namco,Mature (M)
videogame/games.teamxbox.com/21_Breed.html,TBA,Action,Brat Designs,Rating Pending (RP)
videogame/games.teamxbox.com/1240_Breeders-Cup-World-Thoroughbred-Championships.html,Bethesda Softworks,Sports,Bethesda Softworks,Everyone (E)
videogame/games.teamxbox.com/1110_Brian-Lara-International-Cricket.html,Codemasters,Sports,Codemasters Software Company,Rating Pending (RP)
videogame/games.teamxbox.com/1535_Brian-Lara-International-Cricket-2007.html,Codemasters,Sports,Codemasters Software Company,Rating Pending (RP)
videogame/games.teamxbox.com/22_Broken-Sword-The-Sleeping-Dragon.html,The Adventure Company,Adventure,Revolution Software,Teen (T)
videogame/games.teamxbox.com/1441_Brothers-In-Arms-Hells-Highway.html,Ubisoft Entertainment,First Person Shooter,Gearbox Software,Mature (M)
videogame/games.teamxbox.com/1191_Brothers-In-Arms-Earned-In-Blood.html,Ubisoft Entertainment,First Person Shooter,Gearbox Software,Mature (M)
videogame/games.teamxbox.com/871_Brothers-in-Arms-Road-to-Hill-30.html,Ubisoft Entertainment,First Person Shooter,Gearbox Software,Mature (M)
videogame/games.teamxbox.com/198_Bruce-Lee-Quest-of-the-Dragon.html,Universal Interactive Studios,Action,Ronin Entertainment,Teen (T)
videogame/games.teamxbox.com/25_Brute-Force.html,Microsoft,Action/Adventure,Digital Anvil,Mature (M)
videogame/games.teamxbox.com/176_Buffy-the-Vampire-Slayer.html,Fox Interactive,Action/Adventure,The Collective,Teen (T)
videogame/games.teamxbox.com/628_Buffy-the-Vampire-Slayer-Chaos-Bleeds.html,Vivendi Games,Action/Adventure,Eurocom Entertainment Software,Teen (T)
videogame/games.teamxbox.com/1931_Buku-Sudoku.html,Merscom,Xbox Live Arcade,Merscom,Everyone (E)
videogame/games.teamxbox.com/1525_Bullet-Witch.html,"Atari, Inc.",Action,cavia Inc.,Mature (M)
videogame/games.teamxbox.com/1307_Bully.html,Rockstar Games,Action/Adventure,Rockstar Vancouver,Rating Pending (RP)
videogame/games.teamxbox.com/1812_Bully-Scholarship-Edition.html,Rockstar Games,Action/Adventure,Mad Doc Software LLC,Rating Pending (RP)
videogame/games.teamxbox.com/314_Burnout.html,Acclaim,Racing/Driving,Acclaim Entertainment,Everyone (E)
videogame/games.teamxbox.com/440_Burnout-2-Point-of-Impact.html,Acclaim,Racing/Driving,Acclaim Entertainment,Everyone (E)
videogame/games.teamxbox.com/1629_Burnout-Paradise.html,Electronic Arts,Racing/Driving,Criterion Software,Everyone 10+ (E10+)
videogame/games.teamxbox.com/1124_Burnout-Revenge.html,Electronic Arts,Racing/Driving,Criterion Software,Rating Pending (RP)
videogame/games.teamxbox.com/1300_Burnout-Revenge.html,Electronic Arts,Racing/Driving,Criterion Software,Everyone 10+ (E10+)
videogame/games.teamxbox.com/1032_CSI-Crime-Scene-Investigation.html,Ubisoft Entertainment,Adventure,Ubisoft Entertainment,Mature (M)
videogame/games.teamxbox.com/1816_CSI-Hard-Evidence.html,Ubisoft Entertainment,Action/Strategy,Ubisoft Entertainment,Rating Pending (RP)
videogame/games.teamxbox.com/881_CT-Special-Forces-Fire-For-Effect.html,HIP Games,Shooter,Light & Shadow Production,Rating Pending (RP)
videogame/games.teamxbox.com/1596_Cabelas-African-Safari.html,Activision,Action/Shooter,Activision,Teen (T)
videogame/games.teamxbox.com/1560_Cabelas-Alaskan-Adventures.html,Activision,Action/Shooter,Activision,Teen (T)
videogame/games.teamxbox.com/1885_Cabelas-Big-Game-Hunter.html,Activision,Action/Shooter,Activision,Rating Pending (RP)
videogame/games.teamxbox.com/1033_Cabelas-Big-Game-Hunter-2005-Adventures.html,Activision,First Person Shooter,Funlabs,Teen (T)
videogame/games.teamxbox.com/738_Cabelas-Dangerous-Hunts.html,Activision,First Person Shooter,Funlabs,Teen (T)
videogame/games.teamxbox.com/1343_Cabelas-Dangerous-Hunts-2.html,Activision,First Person Shooter,Funlabs,Rating Pending (RP)
videogame/games.teamxbox.com/2049_Cabelas-Dangerous-Hunts-2009.html,Activision,First Person Shooter,Activision,Teen (T)
videogame/games.teamxbox.com/974_Cabelas-Deer-Hunt-2005-Season.html,Activision,First Person Shooter,Funlabs,Teen (T)
videogame/games.teamxbox.com/737_Cabelas-Deer-Hunt-2004-Season.html,Activision,First Person Shooter,Funlabs,Teen (T)
videogame/games.teamxbox.com/1302_Cabelas-Outdoor-Adventures-06.html,Activision,Sports,Sand Grain Studios,Teen (T)
videogame/games.teamxbox.com/1859_Cabelas-Trophy-Bucks.html,Activision,Shooter,Activision,Rating Pending (RP)
videogame/games.teamxbox.com/26_Call-of-Cthulhu-Dark-Corners-of-the-Earth.html,2K Games,Action/Adventure,Headfirst Productions,Mature (M)
videogame/games.teamxbox.com/1159_Call-of-Cthulhu-Destinys-End.html,HIP Games,Survival/Horror,Headfirst Productions,Rating Pending (RP)
videogame/games.teamxbox.com/1138_Call-of-Duty-2.html,Activision,First Person Shooter,Infinity Ward,Teen (T)
videogame/games.teamxbox.com/1236_Call-of-Duty-2-Big-Red-One.html,Activision,First Person Shooter,Treyarch/Gray Matter Studios,Teen (T)
videogame/games.teamxbox.com/1475_Call-of-Duty-3.html,Activision,First Person Shooter,Treyarch,Teen (T)
videogame/games.teamxbox.com/1527_Call-of-Duty-3.html,Activision,First Person Shooter,Treyarch,Teen (T)
