url,STRING : publisher,STRING : developer,STRING : esrb
videogame/videogames.yahoo.com/psp_after-burner-black-falcon.html,,Planet Moon Studios,T (Teen)
videogame/videogames.yahoo.com/psp_virtua-tennis-3.html,Sega,"Sega of America, Inc.",E (Everyone)
videogame/videogames.yahoo.com/gc_madden-nfl-08.html,EA,Tiburon,E (Everyone)
videogame/videogames.yahoo.com/gc_tak-the-great-juju-challenge.html,THQ,Avalanche Studios,E (Everyone)
videogame/videogames.yahoo.com/gc_rayman-3-hoodlum-havoc.html,Ubisoft Entertainment,Ubisoft Entertainment SA,E (Everyone)
videogame/videogames.yahoo.com/psp_mega-man-powered-up.html,Capcom,Capcom,E (Everyone)
videogame/videogames.yahoo.com/psp_brooktown-high.html,Konami,Backbone Entertainment,T (Teen)
videogame/videogames.yahoo.com/gc_pikmin.html,Nintendo,Nintendo Co. Ltd.,E (Everyone)
videogame/videogames.yahoo.com/gc_soul-calibur-ii.html,"Namco Bandai Games America, Inc.",Namco Ltd.,T (Teen)
videogame/videogames.yahoo.com/gc_ininja.html,"Namco Bandai Games America, Inc.",Argonaut Software Ltd.,T (Teen)
videogame/videogames.yahoo.com/psp_dungeon-maker-hunting-ground.html,,Global A Entertainment,E10+
videogame/videogames.yahoo.com/gc_bratz-forever-diamondz.html,THQ,Blitz Games,E (Everyone)
videogame/videogames.yahoo.com/gc_die-hard-vendetta.html,Sierra,BITS Studios,M (Mature)
videogame/videogames.yahoo.com/gc_conflict-desert-storm.html,Gotham Games,Pivotal Games Ltd.,T (Teen)
videogame/videogames.yahoo.com/psp_hellboy-the-science-of-evil.html,Konami,Krome Studios,T (Teen)
videogame/videogames.yahoo.com/gc_chaos-field.html,O~3 Entertainment,"Milestone, Inc.",E (Everyone)
videogame/videogames.yahoo.com/gc_the-sims-2.html,EA,Maxis,T (Teen)
videogame/videogames.yahoo.com/gc_dragons-lair-3d-return-to-the-lair.html,Encore Software,EA Tiburon,T (Teen)
videogame/videogames.yahoo.com/gc_mario-party-7-game-only.html,Nintendo,Hudson Soft,E
videogame/videogames.yahoo.com/gc_custom-robo.html,Nintendo,Noise (Marigul),T (Teen)
videogame/videogames.yahoo.com/gc_xiii.html,Ubisoft Entertainment,Ubisoft Montreal,M (Mature)
videogame/videogames.yahoo.com/gc_prince-of-persia-the-sands-of-time.html,Ubisoft Entertainment,Ubisoft Montreal,T (Teen)
videogame/videogames.yahoo.com/gc_grooverider-slot-car-thunder.html,Encore Software,King of the Jungle Ltd.,E (Everyone)
videogame/videogames.yahoo.com/gc_speed-kings.html,Acclaim,Climax Group,E (Everyone)
videogame/videogames.yahoo.com/gc_capcom-vs-snk-2-eo.html,Capcom,"Capcom Co., Ltd.",T (Teen)
videogame/videogames.yahoo.com/gc_nfl-street.html,EA,EA Tiburon,E (Everyone)
videogame/videogames.yahoo.com/gc_chibirobo.html,Gameloft S.A.,Skip Ltd.,E10+
videogame/videogames.yahoo.com/gc_metal-arms-glitch-in-the-system.html,Sierra,"Swingin' Ape Studios, Inc.",T (Teen)
videogame/videogames.yahoo.com/psp_nba-live-09.html,EA,EA Canada,E (Everyone)
videogame/videogames.yahoo.com/gc_ratatouille.html,,Heavy Iron Studios,E (Everyone)
videogame/videogames.yahoo.com/psp_tiger-woods-pga-tour.html,EA,EA SPORTS,E (Everyone)
videogame/videogames.yahoo.com/gc_tetris-worlds.html,THQ,Radical Entertainment,E (Everyone)
videogame/videogames.yahoo.com/gc_bionicle-heroes.html,Eidos Interactive,Traveller's Tales,E (Everyone)
videogame/videogames.yahoo.com/gc_puzzle-trouble.html,Crave,Cosmi Corporation,
videogame/videogames.yahoo.com/gc_king-arthur.html,Konami,Krome Studios,T (Teen)
videogame/videogames.yahoo.com/psp_the-legend-of-heroes-a-tear-of-vermillion.html,"Bandai America, Inc.",Falcom,T (Teen)
videogame/videogames.yahoo.com/gc_starcraft-ghost-canceled.html,Blizzard Entertainment,Blizzard Entertainment,RP (Rating Pending)
videogame/videogames.yahoo.com/psp_dungeons--dragons-tactics.html,Atari,Kuju Entertainment Ltd.,T (Teen)
videogame/videogames.yahoo.com/psp_shaun-white-snowboarding.html,Ubisoft Entertainment,Ubisoft Montreal,E
videogame/videogames.yahoo.com/gc_black--bruised.html,Majesco,"Digital Fiction, Inc.",T (Teen)
videogame/videogames.yahoo.com/psp_diner-dash-sizzle--serve.html,Eidos Interactive,PlayFirst,E (Everyone)
videogame/videogames.yahoo.com/gc_burnout-2-point-of-impact.html,Acclaim,Criterion Studios,E (Everyone)
videogame/videogames.yahoo.com/psp_brave-story-new-traveler.html,,Game Republic (JP),E10+
videogame/videogames.yahoo.com/gc_dreamworks-shark-tale.html,Activision,Edge of Reality Inc.,E (Everyone)
videogame/videogames.yahoo.com/gc_donkey-konga-with-bongos.html,Nintendo,Namco Ltd.,E (Everyone)
videogame/videogames.yahoo.com/psp_driver-76.html,,Sumo Digital,M (Mature)
videogame/videogames.yahoo.com/psp_power-stone-collection.html,Capcom,"Capcom Co., Ltd.",T (Teen)
videogame/videogames.yahoo.com/gc_et-the-extraterrestrial-search-for-dragora-canceled.html,NewKidCo LLC,Zed Two,E (Everyone)
videogame/videogames.yahoo.com/psp_world-championship-poker-featuring-howard-lederer-all-in.html,Crave,"Point of View, Inc.",T (Teen)
videogame/videogames.yahoo.com/gc_tak-and-the-power-of-juju.html,THQ,Avalanche Software,E (Everyone)
videogame/videogames.yahoo.com/gc_kelly-slaters-pro-surfer.html,Activision,"Treyarch Invention, LLC",E (Everyone)
videogame/videogames.yahoo.com/gc_sonic-adventure-2-battle.html,Sega,Sonic Team,E (Everyone)
videogame/videogames.yahoo.com/psp_aliens-vs-predator-requiem.html,,Rebellion,T (Teen)
videogame/videogames.yahoo.com/gc_donkey-konga.html,Nintendo,Namco Ltd.,E (Everyone)
videogame/videogames.yahoo.com/gc_zapper.html,Infogrames,Blitz Games,E (Everyone)
videogame/videogames.yahoo.com/gc_terminator-3-the-redemption.html,Atari,"Paradigm Entertainment, Inc.",T (Teen)
videogame/videogames.yahoo.com/psp_popolocrois.html,Agetec,Sony Computer Entertainment Inc. (Japan),E (Everyone)
videogame/videogames.yahoo.com/psp_nba-ballers-rebound.html,Midway,Backbone Entertainment,E (Everyone)
videogame/videogames.yahoo.com/psp_midway-arcade-treasures-extended-play.html,Midway,"Digital Eclipse Software, Inc.",M (Mature)
videogame/videogames.yahoo.com/gc_karaoke-revolution-party.html,Konami,"Harmonix Music Systems, Inc.",
videogame/videogames.yahoo.com/gc_evolution-snowboarding.html,Konami,Konami Computer Entertainment Osaka (KCEO),T (Teen)
videogame/videogames.yahoo.com/gc_mvp-baseball-2005.html,EA,EA Canada,E (Everyone)
videogame/videogames.yahoo.com/gc_puyo-pop-fever.html,Sega,Sonic Team,E (Everyone)
videogame/videogames.yahoo.com/psp_wild-arms-xf.html,XSEED Games,Media.Vision,E10+
videogame/videogames.yahoo.com/gc_mario-kart-double-dash.html,Nintendo,Nintendo Co. Ltd.,E (Everyone)
videogame/videogames.yahoo.com/gc_crazy-taxi.html,Acclaim,Acclaim Studios Cheltenham,T (Teen)
videogame/videogames.yahoo.com/gc_need-for-speed-most-wanted.html,EA,EA Canada,T (Teen)
videogame/videogames.yahoo.com/psp_superman-returns-the-video-game-canceled.html,EA,Santa Cruz Games,E (Everyone)
videogame/videogames.yahoo.com/psp_star-trek-tactical-assault.html,Bethesda Softworks,Quicksilver Software Inc.,E (Everyone)
videogame/videogames.yahoo.com/gc_gladius.html,LucasArts,LucasArts Entertainment Company,T (Teen)
videogame/videogames.yahoo.com/gc_casper-spirit-dimensions.html,TDK Mediactive,Lucky Chicken Games,E (Everyone)
videogame/videogames.yahoo.com/gc_james-bond-007-in-agent-under-fire.html,EA,EA Redwood Shores,T (Teen)
videogame/videogames.yahoo.com/psp_call-of-duty-4-modern-warfare.html,Activision,,M (Mature)
videogame/videogames.yahoo.com/psp_mvp-baseball.html,EA,Team Fusion,E (Everyone)
videogame/videogames.yahoo.com/gc_cabelas-big-game-hunter-2005-adventures.html,Activision,Magic Wand Productions,T (Teen)
videogame/videogames.yahoo.com/gc_fifa-soccer-07.html,EA,EA Canada,E (Everyone)
videogame/videogames.yahoo.com/gc_disney-sports-skateboarding.html,Konami,Konami Computer Entertainment Osaka (KCEO),E (Everyone)
videogame/videogames.yahoo.com/gc_conflict-desert-storm-ii--back-to-baghdad.html,Gotham Games,Pivotal Games Ltd.,T (Teen)
videogame/videogames.yahoo.com/psp_nfl-street-3.html,EA Sports Big,Tiburon,E (Everyone)
videogame/videogames.yahoo.com/psp_final-fantasy.html,Square Enix USA,"Square Enix Co., Ltd.",T (Teen)
videogame/videogames.yahoo.com/psp_brunswick-pro-bowling.html,Crave,Point of View,E (Everyone)
videogame/videogames.yahoo.com/gc_top-gun-combat-zones.html,Titus,Digital Integration,E (Everyone)
videogame/videogames.yahoo.com/psp_puzzle-challenge-crosswords-and-more.html,"Play at Joe's, Inc.",Craftgold Software,E (Everyone)
videogame/videogames.yahoo.com/psp_archer-macleans-mercury.html,Ignition,Awesome Studios,E (Everyone)
videogame/videogames.yahoo.com/gc_mortal-kombat-deadly-alliance.html,Midway,Midway Home Entertainment,M (Mature)
videogame/videogames.yahoo.com/gc_the-incredible-hulk-ultimate-destruction.html,Vivendi Universal,Radical Entertainment,T (Teen)
videogame/videogames.yahoo.com/gc_cabelas-dangerous-hunts-2.html,Activision,Sand Grain Studios,T (Teen)
videogame/videogames.yahoo.com/gc_eternal-darkness-sanitys-requiem.html,Nintendo,Silicon Knights,M (Mature)
videogame/videogames.yahoo.com/psp_monster-kingdom-jewel-summoner.html,,Gaia,T (Teen)
videogame/videogames.yahoo.com/psp_ace-combat-x-skies-of-deception.html,"Namco Bandai Games America, Inc.","Namco Bandai Games America, Inc.",T (Teen)
videogame/videogames.yahoo.com/psp_valhalla-knights-2.html,,K2 (Japan),E10+
videogame/videogames.yahoo.com/gc_room-zoom-canceled.html,Jaleco,Blade Interactive Studios,E (Everyone)
videogame/videogames.yahoo.com/psp_cabelas-dangerous-hunts-ultimate-challenge.html,Activision,Sand Grain Studios,T (Teen)
videogame/videogames.yahoo.com/psp_world-championship-poker-2-featuring-howard-lederer.html,Crave,"Point of View, Inc.",T (Teen)
videogame/videogames.yahoo.com/gc_mtx-mototrax-canceled.html,Activision,(Not Specified),E (Everyone)
videogame/videogames.yahoo.com/psp_the-sims-2.html,EA,Maxis,T (Teen)
videogame/videogames.yahoo.com/gc_dungeons--dragons-heroes.html,Infogrames,Infogrames,
videogame/videogames.yahoo.com/psp_nba-street-showdown.html,EA Sports Big,Team Fusion,E (Everyone)
videogame/videogames.yahoo.com/gc_the-legend-of-spyro-a-new-beginning.html,Vivendi Universal,Krome Studios,
videogame/videogames.yahoo.com/gc_mario-kart-double-dash-special-edition.html,Nintendo,Nintendo,E
videogame/videogames.yahoo.com/psp_midnight-club-3-dub-edition.html,Rockstar,Rockstar Leeds,E10+
videogame/videogames.yahoo.com/gc_mat-hoffmans-pro-bmx-2.html,Activision,Gratuitous Games,T (Teen)
videogame/videogames.yahoo.com/gc_nhl-2004.html,EA,EA Canada,E (Everyone)
videogame/videogames.yahoo.com/gc_codename-kids-next-door--operation-videogame.html,Global Star,"High Voltage Software, Inc.",E10+
videogame/videogames.yahoo.com/psp_from-russia-with-love.html,"Mastiff, LLC",EA Redwood Shores,T (Teen)
videogame/videogames.yahoo.com/gc_medal-of-honor-frontline.html,EA,Electronic Arts Los Angeles,T (Teen)
videogame/videogames.yahoo.com/psp_pacman-world-rally.html,"Namco Bandai Games America, Inc.",Smart Bomb Interactive,E (Everyone)
videogame/videogames.yahoo.com/gc_crash-bandicoot-the-wrath-of-cortex.html,Universal Interactive,Eurocom Developments Ltd.,E (Everyone)
videogame/videogames.yahoo.com/gc_tom-clancys-rainbow-six-lockdown.html,Ubisoft Entertainment,"Red Storm Entertainment, Inc.",M (Mature)
videogame/videogames.yahoo.com/gc_star-wars-rebel-strike--rogue-squadron-iii.html,Lucas Arts,Factor 5,RP (Rating Pending)
videogame/videogames.yahoo.com/gc_true-crime-streets-of-la.html,Activision,Luxoflux,M (Mature)
videogame/videogames.yahoo.com/psp_wwe-smackdown-vs-raw-2006.html,THQ,Yuke's Co. Ltd.,T (Teen)
videogame/videogames.yahoo.com/gc_frogger-ancient-shadow.html,Konami,"Hudson Soft Co., Ltd.",E (Everyone)
videogame/videogames.yahoo.com/gc_nfl-street-2.html,EA Sports Big,EA Tiburon,E (Everyone)
videogame/videogames.yahoo.com/psp_scarface-money-power-respect.html,"Destination Software, Inc.",FarSight Studios,M (Mature)
videogame/videogames.yahoo.com/psp_yugioh-gx-tag-force.html,Konami,Konami JPN (KCEJ),E (Everyone)
videogame/videogames.yahoo.com/gc_nhl-2003.html,EA,EA Canada,E (Everyone)
videogame/videogames.yahoo.com/gc_nhl-2005.html,EA,EA Games,RP (Rating Pending)
videogame/videogames.yahoo.com/psp_world-tour-soccer.html,Sony,SCEE Studio London,E (Everyone)
videogame/videogames.yahoo.com/gc_power-rangers-super-legends.html,Disney Interactive Studios,,
videogame/videogames.yahoo.com/psp_call-of-duty-roads-to-victory.html,Activision,Amaze Entertainment,T (Teen)
videogame/videogames.yahoo.com/gc_naruto-clash-of-ninja-2.html,D3Publisher of America,Eighting,T (Teen)
videogame/videogames.yahoo.com/gc_aggressive-inline.html,AKA Acclaim,"Z-AXIS, Ltd.",T (Teen)
videogame/videogames.yahoo.com/psp_street-supremacy.html,Konami,Genki Co. Ltd.,E (Everyone)
videogame/videogames.yahoo.com/gc_bad-boys-miami-takedown.html,Homebrew [Independently Developed/Distributed],Blitz Games,M (Mature)
videogame/videogames.yahoo.com/gc_mobile-suit-gundam-senshitachi-no-kiseki.html,Bandai,Bandai,
videogame/videogames.yahoo.com/gc_fifa-street.html,EA Sports Big,EA Canada,E (Everyone)
videogame/videogames.yahoo.com/gc_spirits--spells.html,Dreamcatcher,Wanadoo Edition,T (Teen)
videogame/videogames.yahoo.com/gc_sonic-heroes.html,Sega,Sonic Team,E (Everyone)
videogame/videogames.yahoo.com/gc_lemony-snickets-a-series-of-unfortunate-events.html,Activision,Amaze Entertainment,E (Everyone)
videogame/videogames.yahoo.com/psp_dragon-ball-z-shin-budokai--another-road.html,,Dimps,T (Teen)
videogame/videogames.yahoo.com/psp_worms-open-warfare-2.html,,Team17 Software,E10+
videogame/videogames.yahoo.com/gc_sega-soccer-slam.html,Sega,Black Box Games Ltd.,E (Everyone)
videogame/videogames.yahoo.com/gc_resident-evil-2.html,Capcom,"Capcom Co., Ltd.",M (Mature)
videogame/videogames.yahoo.com/gc_zoids-battle-legends.html,Atari,Tomy,T (Teen)
videogame/videogames.yahoo.com/gc_baten-kaitos-eternal-wings-and-the-lost-ocean.html,"Namco Bandai Games America, Inc.","Namco Hometek, Inc.",T (Teen)
videogame/videogames.yahoo.com/gc_xg3-extremeg-racing.html,Acclaim,Acclaim Studios Cheltenham,E (Everyone)
videogame/videogames.yahoo.com/gc_rally-championship.html,Conspiracy Entertainment Corporation,Warthog,E (Everyone)
videogame/videogames.yahoo.com/psp_world-series-of-poker-tournament-of-champions.html,Activision,"Activision, Inc.",T (Teen)
videogame/videogames.yahoo.com/psp_twisted-metal-headon.html,Sony,Incog Inc. Entertainment,T (Teen)
videogame/videogames.yahoo.com/psp_god-of-war-chains-of-olympus.html,SCEA,Ready At Dawn Studios,M (Mature)
videogame/videogames.yahoo.com/gc_star-wars-bounty-hunter.html,Lucas Arts,LucasArts Entertainment Company,T (Teen)
videogame/videogames.yahoo.com/gc_terminator-3-rise-of-the-machines.html,Atari,"Black Ops Entertainment, Inc.",RP (Rating Pending)
videogame/videogames.yahoo.com/gc_resident-evil-3-nemesis.html,Capcom,"Capcom Co., Ltd.",M (Mature)
videogame/videogames.yahoo.com/psp_super-collapse-3.html,,GameHouse,E (Everyone)
videogame/videogames.yahoo.com/psp_black--white-creatures-canceled.html,Majesco,,
videogame/videogames.yahoo.com/gc_galleon-islands-of-mystery-canceled.html,Interplay Entertainment,Confounding Factor,
videogame/videogames.yahoo.com/psp_the-elder-scrolls-travels-oblivion.html,Bethesda Softworks,Bethesda Softworks,M
videogame/videogames.yahoo.com/psp_nba-07.html,Sony,"Sony Computer Entertainment America, Inc. San Diego",E (Everyone)
videogame/videogames.yahoo.com/gc_nba-2k3.html,Sega,Visual Concepts,E (Everyone)
videogame/videogames.yahoo.com/gc_metroid-prime-2-echoes.html,Radica Games Limited,Retro Studios,T (Teen)
videogame/videogames.yahoo.com/gc_super-smash-bros-melee.html,Nintendo,HAL Laboratory Inc.,T (Teen)
videogame/videogames.yahoo.com/gc_tom-clancys-ghost-recon-2.html,Ubisoft Entertainment,"Red Storm Entertainment, Inc.",T (Teen)
videogame/videogames.yahoo.com/gc_tom-clancys-ghost-recon.html,Ubisoft Entertainment,"Red Storm Entertainment, Inc.",M (Mature)
videogame/videogames.yahoo.com/gc_wwe-wrestlemania-x8.html,THQ,Yuke's Co. Ltd.,T (Teen)
videogame/videogames.yahoo.com/gc_blood-omen-2.html,Eidos Interactive,Nixxes Software BV,M (Mature)
videogame/videogames.yahoo.com/gc_ribbit-king.html,"Bandai America, Inc.","Bandai Co., Ltd.",E (Everyone)
videogame/videogames.yahoo.com/gc_one-piece-pirates-carnival.html,H.A.N.D.,Hand,E (Everyone)
videogame/videogames.yahoo.com/psp_atv-offroad-fury-blazin-trails.html,Sony,Climax Group,E (Everyone)
videogame/videogames.yahoo.com/gc_nba-2k2.html,Sega,Visual Concepts,E (Everyone)
videogame/videogames.yahoo.com/gc_dark-summit.html,THQ,Radical Entertainment,T (Teen)
videogame/videogames.yahoo.com/gc_disneys-winnie-the-pooh-rumbly-tumbly-adventure.html,Ubisoft Entertainment,Phoenix Interactive,E (Everyone)
videogame/videogames.yahoo.com/gc_mc-groovz-dance-craze-with-beat-pad.html,Mad Catz,"Mad Catz, Inc.",E (Everyone)
videogame/videogames.yahoo.com/gc_home-run-king.html,Sega,WOW Entertainment,E (Everyone)
videogame/videogames.yahoo.com/psp_wipeout-pulse.html,Sony,SCE Studios Liverpool,E10+
videogame/videogames.yahoo.com/gc_top-gun-combat-zones-2004.html,"Mastiff, LLC",Digital Integration,E (Everyone)
videogame/videogames.yahoo.com/psp_harvest-moon-boy--girl.html,,Marvelous Interactive,E (Everyone)
videogame/videogames.yahoo.com/psp_locoroco.html,Sony,Sony Computer Entertainment Inc. (Japan),E (Everyone)
videogame/videogames.yahoo.com/gc_disney-sports-soccer.html,Konami,Konami Computer Entertainment Osaka (KCEO),E (Everyone)
videogame/videogames.yahoo.com/psp_crash-tag-team-racing.html,Vivendi Universal,Radical Entertainment,E10+
videogame/videogames.yahoo.com/psp_mortal-kombat-unchained.html,Midway,JGI (Just Games Interactive),M (Mature)
videogame/videogames.yahoo.com/gc_mlb-slugfest-2003.html,Midway,Gratuitous Games,E (Everyone)
videogame/videogames.yahoo.com/psp_riviera-the-promised-land.html,,Sting,T (Teen)
videogame/videogames.yahoo.com/gc_crash-clash-racing.html,Vivendi Universal,Radical Entertainment,E10+
videogame/videogames.yahoo.com/gc_seaworld-shamus-deep-sea-adventures.html,Activision,Magic Wand Productions,E (Everyone)
videogame/videogames.yahoo.com/gc_army-men-air-combat--the-elite-missions.html,3DO,Wide Games Ltd.,T (Teen)
videogame/videogames.yahoo.com/psp_hard-rock-casino.html,Crave,Cosmi Corporation,T (Teen)
videogame/videogames.yahoo.com/gc_extreme-force-grant-city-anticrime.html,"Namco Bandai Games America, Inc.","Namco Hometek, Inc.",
videogame/videogames.yahoo.com/psp_pocket-pool.html,,Hyper-Devbox,M (Mature)
videogame/videogames.yahoo.com/gc_pokemon-colosseum.html,Nintendo,Genius Sonority Inc.,E (Everyone)
videogame/videogames.yahoo.com/gc_dr-muto.html,Midway,Midway Home Entertainment,T (Teen)
videogame/videogames.yahoo.com/gc_gotcha-force.html,Capcom,"Capcom Co., Ltd.",E (Everyone)
videogame/videogames.yahoo.com/psp_puyo-pop-fever.html,Sega,"Sega of America, Inc.",
videogame/videogames.yahoo.com/psp_mx-vs-atv-on-the-edge.html,THQ,Tantalus Interactive,E (Everyone)
videogame/videogames.yahoo.com/psp_bloodrayne-canceled.html,Majesco,Full Fat,
videogame/videogames.yahoo.com/gc_futurama-canceled.html,Vivendi Universal,Unique Development Studios (UDS),T (Teen)
videogame/videogames.yahoo.com/gc_tak-2-the-staff-of-dreams.html,THQ,Avalanche Software,E (Everyone)
videogame/videogames.yahoo.com/gc_donkey-konga-2.html,Nintendo,Namco Ltd.,T (Teen)
videogame/videogames.yahoo.com/gc_four-horsemen-of-the-apocalypse-canceled.html,3DO,The 3DO Company,
videogame/videogames.yahoo.com/psp_50-cent-bulletproof--g-unit-edition.html,Firaxis Games,"High Voltage Software, Inc.",M (Mature)
videogame/videogames.yahoo.com/psp_star-wars-lethal-alliance.html,Ubisoft Entertainment,Ubisoft Montreal,T (Teen)
videogame/videogames.yahoo.com/psp_final-fantasy-tactics-the-war-of-the-lions.html,,Square Enix,T (Teen)
videogame/videogames.yahoo.com/psp_dynasty-warriors-vol-2.html,KOEI Corporation,Omega Force,T (Teen)
videogame/videogames.yahoo.com/psp_sega-rally-revo.html,,Bugbear Entertainment,E (Everyone)
videogame/videogames.yahoo.com/gc_hunter-the-reckoning.html,Interplay Entertainment,"High Voltage Software, Inc.",M (Mature)
videogame/videogames.yahoo.com/gc_mortal-kombat-deception.html,Midway,Midway Games,M (Mature)
videogame/videogames.yahoo.com/psp_untold-legends-brotherhood-of-the-blade.html,Sony Online Entertainment,Sony Online Entertainment,T (Teen)
videogame/videogames.yahoo.com/psp_the-simpsons-game.html,,Rebellion,T (Teen)
videogame/videogames.yahoo.com/gc_pokemon-xd-gale-of-darkness.html,Nintendo,Genius Sonority Inc.,E (Everyone)
videogame/videogames.yahoo.com/psp_xyanide-resurrection.html,Playlogic International,Playlogic International,
videogame/videogames.yahoo.com/gc_tales-of-the-abyss.html,"Namco Bandai Games America, Inc.","Namco Bandai Games America, Inc.",T (Teen)
videogame/videogames.yahoo.com/gc_mega-man-network-transmission.html,Capcom,"Capcom Co., Ltd.",E (Everyone)
videogame/videogames.yahoo.com/psp_burnout-dominator.html,,EA UK,E10+
videogame/videogames.yahoo.com/gc_ed-edd-n-eddy-the-misedventures.html,Midway,Artificial Mind and Movement,E (Everyone)
videogame/videogames.yahoo.com/gc_dakar-2-the-worlds-ultimate-rally.html,Acclaim,Acclaim Studios Cheltenham,E (Everyone)
videogame/videogames.yahoo.com/gc_pinball-hall-of-fame-the-gottlieb-collection.html,Crave,FarSight Studios,E (Everyone)
videogame/videogames.yahoo.com/psp_pilot-academy.html,Marvelous Interactive,Kuju Entertainment,
videogame/videogames.yahoo.com/gc_monster-4x4-masters-of-metal.html,Ubisoft Entertainment,"Inland Productions, Inc.",E (Everyone)
videogame/videogames.yahoo.com/psp_spectral-souls.html,"NIS America, Inc.",Andamiro,T (Teen)
videogame/videogames.yahoo.com/psp_tom-clancys-ghost-recon-advanced-warfighter-2.html,,Red Storm Entertainment,T (Teen)
videogame/videogames.yahoo.com/gc_donkey-konga-2-with-bongos.html,Nintendo,"Nintendo of America, Inc.",T (Teen)
videogame/videogames.yahoo.com/gc_ncaa-football-2003.html,EA,EA Tiburon,E (Everyone)
videogame/videogames.yahoo.com/gc_phantasy-star-online-episodes-i--ii--plus.html,Sega,Sonic Team,T (Teen)
videogame/videogames.yahoo.com/psp_juiced-2-hot-import-nights.html,,Juice Games,T (Teen)
videogame/videogames.yahoo.com/gc_fantastic-4.html,Activision,7 Studios,T (Teen)
videogame/videogames.yahoo.com/gc_avatar-the-last-airbender.html,THQ,THQ Studio Australia (Studio Oz),E10+
videogame/videogames.yahoo.com/psp_wtf-work-time-fun.html,D3Publisher of America,SCE Studios Japan,T (Teen)
videogame/videogames.yahoo.com/psp_winx-club-join-the-club.html,Konami,n-Space,E (Everyone)
videogame/videogames.yahoo.com/gc_cubix-robots-for-everyone-showdown.html,3DO,The 3DO Company,E (Everyone)
videogame/videogames.yahoo.com/gc_shrek-smash-n-crash-racing.html,Activision,"Activision, Inc.",E (Everyone)
videogame/videogames.yahoo.com/gc_finding-nemo.html,THQ,Traveller's Tales,E (Everyone)
videogame/videogames.yahoo.com/gc_barbarian-canceled.html,Titus,Saffire,T (Teen)
videogame/videogames.yahoo.com/psp_death-jr-2-root-of-evil.html,Konami,Backbone Entertainment,T (Teen)
videogame/videogames.yahoo.com/psp_destroy-all-humans-big-willy-unleashed-canceled.html,,Locomotive Games,T (Teen)
videogame/videogames.yahoo.com/psp_medal-of-honor-heroes-2.html,,EA Canada - Team Fusion,T (Teen)
videogame/videogames.yahoo.com/psp_battlezone.html,Atari,"Paradigm Entertainment, Inc.",E10+
videogame/videogames.yahoo.com/psp_tony-hawks-underground-2-remix.html,Activision,"Shaba Games, Inc.",T (Teen)
videogame/videogames.yahoo.com/psp_ratatouille.html,,Locomotive Games,E (Everyone)
videogame/videogames.yahoo.com/gc_tmnt-mutant-melee.html,Konami,"Konami Computer Entertainment Hawaii, Inc.",T (Teen)
videogame/videogames.yahoo.com/gc_lost-kingdoms-ii.html,Activision,"Activision, Inc.",T (Teen)
videogame/videogames.yahoo.com/gc_disneys-extreme-skate-adventure.html,Activision,Toys for Bob,E (Everyone)
videogame/videogames.yahoo.com/psp_winning-eleven-pro-evolution-soccer-2007.html,Konami,Konami Computer Entertainment Tokyo (KCET),E (Everyone)
videogame/videogames.yahoo.com/psp_burnout-legends.html,EA,Criterion Studios,E10+
