url,ISBN : ISBN13,STRING : AUTHOR,STRING : TITLE,STRING : EDITION,DATE : DATE,STRING : BINDING
book/bookshop.blackwell.co.uk/0001050427.html,9780001050426,Robert Goddard,Out of the Sun,,17 Jun 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050451.html,9780001050457,Elizabeth Smart,By Grand Central Station I Sat Down and Wept,Unabridged,22 Jan 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050478.html,9780001050471,John Webster,The Duchess of Malfi,Unabridged,22 Apr 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050486.html,9780001050488,George Bernard Shaw,John Bull's Other Island,Unabridged,22 Apr 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050494.html,9780001050495,Joseph Conrad,Heart of Darkness,Abridged edition,20 May 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050508.html,9780001050501,William Shakespeare,King Henry IV (Pt. 2),Unabridged,22 Jul 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050524.html,9780001050525,J. G. Ballard,Empire of the Sun,Abridged edition,27 Nov 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050532.html,9780001050532,Simon Callow,Orson Welles,Abridged edition,27 Nov 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050540.html,9780001050549,Frederick Forsyth,The Fist of God,Abridged edition,27 Nov 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050559.html,9780001050556,Frederick Forsyth,The Deceiver,Abridged edition,27 Nov 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050591.html,9780001050594,Clive Cussler,Treasure,Abridged edition,04 Dec 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050737.html,9780001050730,Tom Sharpe,Grantchester Grind,Abridged edition,19 Feb 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050745.html,9780001050747,Tom Sharpe,Riotous Assembly,Abridged edition,22 Jan 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050753.html,9780001050754,Tom Sharpe,Indecent Exposure,Abridged edition,19 Feb 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050761.html,9780001050761,Tom Sharpe,The Throwback,Abridged edition,18 Mar 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050788.html,9780001050785,Timothy Zahn,Star Wars: Heir to the Empire,Abridged edition,23 Oct 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050796.html,9780001050792,Timothy Zahn,Star Wars: Dark Force Rising,Abridged edition,23 Oct 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050818.html,9780001050815,Kathy Tyers,Star Wars: Truce at Bakura,Abridged edition,27 Nov 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050826.html,9780001050822,Vonda N. McIntyre,Star Wars: Crystal Star,Abridged edition,04 Dec 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050834.html,9780001050839,Dave Wolverton,Star Wars: Courtship of Princess Leia,Abridged edition,04 Dec 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050842.html,9780001050846,Kevin J. Anderson,Star Wars,Abridged edition,22 Jan 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050850.html,9780001050853,Kevin J. Anderson,Star Wars,Abridged edition,19 Feb 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050869.html,9780001050860,Kevin J. Anderson,Star Wars,Abridged edition,18 Mar 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050877.html,9780001050877,Roger MacBride Allen,Star Wars,Abridged edition,20 May 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050885.html,9780001050884,Roger MacBride Allen,Star Wars,Abridged edition,17 Jun 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050893.html,9780001050891,Roger MacBride Allen,Star Wars,Abridged edition,22 Jul 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050907.html,9780001050907,Kevin J. Anderson,Star Wars: Darksaber,Abridged edition,19 Aug 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050915.html,9780001050914,Kathy Tyers,Star Wars: We Don't Do Weddings,Unabridged,19 Aug 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050923.html,9780001050921,Barbara Hambly,Star Wars: Nightlily - The Lover's Tale,Unabridged,16 Sep 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050931.html,9780001050938,Michael A. Stackpole,Star Wars: X Wing/Rogue Squadron,Abridged edition,21 Oct 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050990.html,9780001050990,Bernard Cornwell,The Bloody Ground,Abridged edition,22 Jan 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052004.html,9780001052000,Timothy Zahn,Star Wars Box Set,Abridged edition,02 Nov 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001052012.html,9780001052017,Thomas Hardy,The Woodlanders,Film tie-in edition,20 May 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052020.html,9780001052024,Joseph Conrad,Lord Jim,Abridged edition,22 Apr 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052039.html,9780001052031,Michael Dibdin,Dark Spectre,Abridged edition,17 Jun 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052047.html,9780001052048,Reginald Hill,An April Shroud,Abridged edition,19 Feb 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052055.html,9780001052055,Reginald Hill,A Clubbable Woman,Abridged edition,19 Feb 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052063.html,9780001052062,Reginald Hill,An Advancement of Learning,Abridged edition,19 Feb 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052071.html,9780001052079,David Guterson,Snow Falling on Cedars,Abridged edition,18 Mar 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052098.html,9780001052093,Ellis Peters,The Rose Rent,Abridged edition,18 Mar 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052101.html,9780001052109,Barbara Taylor Bradford,Her Own Rules,Abridged edition,22 Jul 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052128.html,9780001052123,Joanna Trollope,Next of Kin,Abridged edition,20 May 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052136.html,9780001052130,Marcel Proust,Swann's Way,Abridged edition,22 Jul 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052144.html,9780001052147,Paul Merton,My Struggle,Unabridged,20 May 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052152.html,9780001052154,Jeffrey Archer,Fourth Estate,Abridged edition,07 May 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052160.html,9780001052161,Michael Dobbs,Goodfellowe MP,Abridged edition,23 Jan 1997,Audio Cassette
book/bookshop.blackwell.co.uk/0001052187.html,9780001052185,Kevin J. Anderson,"""X-files""",Abridged edition,10 Jun 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052195.html,9780001052192,Michael Parkinson,Sporting Profiles,Unabridged,16 Sep 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052209.html,9780001052208,Ruth Rendell,"""A Dark Blue Perfume and Other Stories",,16 Sep 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052217.html,9780001052215,Ruth Rendell,"""A Needle for the Devil and Other Stories",Unabridged,19 Aug 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001052225.html,9780001052222,Philippa Gregory,A Respectable Trade,Abridged edition,16 Mar 1998,Audio Cassette
book/bookshop.blackwell.co.uk/0002199963.html,9780002199964,"Wolfgang Lippert, Dieter Podlech",Wild Flowers of Britain and Northern Europe,illustrated edition,31 May 1994,Paperback
book/bookshop.blackwell.co.uk/0002200074.html,9780002200073,Brian Spooner,Mushrooms and Toadstools of Britain and Europe,illustrated edition,05 Sep 1996,Paperback
book/bookshop.blackwell.co.uk/0002200082.html,9780002200080,John A. Burton,Wild Animals,illustrated edition,06 Apr 1998,Paperback
book/bookshop.blackwell.co.uk/0002200090.html,9780002200097,J.R. Press,Trees of Britain and Ireland,,05 Sep 1996,Paperback
book/bookshop.blackwell.co.uk/0002200104.html,9780002200103,John Still,Butterflies and Moths of Britain and Europe,,18 Apr 1996,Paperback
book/bookshop.blackwell.co.uk/0002200112.html,9780002200110,John Gooders,Birds of Britain and Europe,,06 Jul 1998,Paperback
book/bookshop.blackwell.co.uk/0002200120.html,9780002200127,Regis Courtecuisse,Mushrooms of Britain and Europe,illustrated edition,07 Jun 1999,Paperback
book/bookshop.blackwell.co.uk/0002200139.html,9780002200134,Keith D. Rushforth,Trees of Britain and Europe,illustrated edition,04 May 1999,Paperback
book/bookshop.blackwell.co.uk/0002200147.html,9780002200141,Mark R. Chartrand,Night Sky,,04 May 1999,Paperback
book/bookshop.blackwell.co.uk/0002200171.html,9780002200172,"Marjorie Blamey, Christopher Grey-Wilson",Alpine Flowers of Britain and Europe,2nd Revised edition,10 Jan 1998,Paperback
book/bookshop.blackwell.co.uk/0002200252.html,9780002200257,"Regis Courtecuisse, Bernard Duhem",Mushrooms and Toadstools of Britain and Europe,illustrated edition,09 Nov 1995,Hardback
book/bookshop.blackwell.co.uk/0002200295.html,9780002200295,"Helga Hofmann, Thomas Marktanner",Butterflies and Moths of Britain and Europe,illustrated edition,08 Jun 1995,Paperback
book/bookshop.blackwell.co.uk/0002200341.html,9780002200349,"David Hosking, Martin Withers",Birds of East Africa,illustrated edition,03 Oct 1996,illustrated edition
book/bookshop.blackwell.co.uk/0002200368.html,9780002200363,"David Hosking, Martin Withers",Wild Animals of East Africa,,03 Oct 1996,
book/bookshop.blackwell.co.uk/0002200376.html,9780002200370,Geoff Sample,Bird Songs and Calls of Britain and Northern Europe,illustrated edition,18 Apr 1996,Hardback
book/bookshop.blackwell.co.uk/0002200430.html,9780002200431,Dalai Lama XIV,The Way to Freedom,New edition,03 Feb 1997,Paperback
book/bookshop.blackwell.co.uk/0002200457.html,9780002200455,Dalai Lama XIV,"Awakening the Mind, Enlightening the Heart",New edition,03 Feb 1997,Paperback
book/bookshop.blackwell.co.uk/0002200562.html,9780002200561,Detlef Singer,Garden Birds of Britain and Europe,illustrated edition,11 Mar 1996,Paperback
book/bookshop.blackwell.co.uk/0002200597.html,9780002200592,Michael Chinery,Butterflies of Britain and Europe,illustrated edition,23 Jul 1998,Paperback
book/bookshop.blackwell.co.uk/0002200627.html,9780002200622,"R. S. R. Fitter, Alastair H. Fitter, Marjorie Blamey",Wild Flowers of Britain and Northern Europe,5th Revised edition,18 Apr 1996,Paperback
book/bookshop.blackwell.co.uk/0002200635.html,9780002200639,"Keith Harris, Stefan T. Buczacki","Pests, Diseases and Disorders of Garden Plants",2nd Revised edition,06 Jul 1998,Hardback
book/bookshop.blackwell.co.uk/0002200651.html,9780002200653,Gael Lindenfield,Self Esteem,Reissue,20 Mar 2000,Audio Cassette
book/bookshop.blackwell.co.uk/0002200678.html,9780002200677,"Patrick Harding, Gill Tomblin",Collins How to Identify Trees,Reissue,05 May 1998,Paperback
book/bookshop.blackwell.co.uk/0002200694.html,9780002200691,Dominic Couzens,Wings,Television tie-in edition,03 Feb 1997,Paperback
book/bookshop.blackwell.co.uk/0002200708.html,9780002200707,,Rocks and Fossils,,08 Aug 1996,Hardback
book/bookshop.blackwell.co.uk/0002200716.html,9780002200714,Paul Sterry,Collins Complete British Wildlife,illustrated edition,22 Apr 1997,Paperback
book/bookshop.blackwell.co.uk/0002200724.html,9780002200721,Michael Chinery,Garden Wildlife,illustrated edition,22 Jul 1997,Paperback
book/bookshop.blackwell.co.uk/0002200740.html,9780002200745,"David S. Ingram, N.F. Robertson",Plant Disease,,04 Oct 1999,Hardback
book/bookshop.blackwell.co.uk/0002200759.html,9780002200752,"David S. Ingram, N.F. Robertson",Plant Disease,,04 Oct 1999,Paperback
book/bookshop.blackwell.co.uk/0002200775.html,9780002200776,Martin De La Pena,Birds of Southern South America and Antarctica,illustrated edition,05 Jun 1998,Paperback
book/bookshop.blackwell.co.uk/0002200783.html,9780002200783,,Bible,Cross-referenced ed,03 Nov 1997,Hardback
book/bookshop.blackwell.co.uk/0002200791.html,9780002200790,David Cabot,Ireland,,04 Jul 1998,Hardback
book/bookshop.blackwell.co.uk/0002200805.html,9780002200806,David Cabot,Ireland,illustrated edition,01 Mar 1999,Paperback
book/bookshop.blackwell.co.uk/0002200813.html,9780002200813,O.L. Gilbert,Lichens,,06 Mar 2000,Hardback
book/bookshop.blackwell.co.uk/0002200821.html,9780002200820,O.L. Gilbert,Lichens,,06 Mar 2000,Paperback
book/bookshop.blackwell.co.uk/0002200880.html,9780002200882,Harper Collins Publishers,Seashore,,03 Mar 1997,Paperback
book/bookshop.blackwell.co.uk/0002200899.html,9780002200899,Harper Collins Publishers,"Whales, Dolphins and Seals",,03 Mar 1997,Paperback
book/bookshop.blackwell.co.uk/0002200910.html,9780002200912,Harper Collins Publishers,Wild Life of the Town,,03 Mar 1997,Paperback
book/bookshop.blackwell.co.uk/0002200929.html,9780002200929,Harper Collins Publishers,Flowers on the Way-side,,03 Mar 1997,
book/bookshop.blackwell.co.uk/0002200937.html,9780002200936,The Nature Company Guides,Bird Watching,,07 Apr 1997,Hardback
book/bookshop.blackwell.co.uk/0002201003.html,9780002201001,Harper Collins Publishers,Birds in Winter,,06 Oct 1997,Spiral / Comb Bound
book/bookshop.blackwell.co.uk/0002201011.html,9780002201018,"Harper Collins Publishers, Elisabeth Trotignon",Trees of the Countryside,,06 Oct 1997,Spiral / Comb Bound
book/bookshop.blackwell.co.uk/0002201046.html,9780002201049,,Sharks and Rays,,01 Sep 1997,Hardback
book/bookshop.blackwell.co.uk/0002201054.html,9780002201056,Peter Gill,Whales and Dolphins,Reissue,17 Mar 1997,Hardback
book/bookshop.blackwell.co.uk/0002201070.html,9780002201070,"Christopher Grey-Wilson, Lisa Alderson",Wild Flowers,illustrated edition,03 Apr 2000,Paperback
book/bookshop.blackwell.co.uk/0002201089.html,9780002201087,Dwight Holing,Nature Journeys,,03 Nov 1997,Hardback
book/bookshop.blackwell.co.uk/0002201097.html,9780002201094,,Birds of North America,,02 Nov 1998,Paperback
book/bookshop.blackwell.co.uk/0002201100.html,9780002201100,"Sir Peter Scott, M. A. Ogilvie",Wildfowl of the World,Revised edition,02 Nov 1998,Paperback
book/bookshop.blackwell.co.uk/0002201119.html,9780002201117,,Good News Bible,,30 Jun 1997,Hardback
book/bookshop.blackwell.co.uk/0002201127.html,9780002201124,,Bible,,30 Jun 1997,Hardback
book/bookshop.blackwell.co.uk/0002201135.html,9780002201131,Richard Sale,North Wales,illustrated edition,03 Jul 2000,Paperback
book/bookshop.blackwell.co.uk/0002201143.html,9780002201148,Dennis Skinner,South Downs,Reissue,07 May 2002,Paperback
book/bookshop.blackwell.co.uk/0002201151.html,9780002201155,Chris Townsend,Ben Nevis and Glen Coe,illustrated edition,02 May 2000,Paperback
book/bookshop.blackwell.co.uk/0002201178.html,9780002201179,Ber van Perlo,Birds of Southern Africa,,07 Jun 1999,Paperback
book/bookshop.blackwell.co.uk/0002201194.html,9780002201193,"HarperCollins Publishers, HarperCollins UK",Bible,New edition,01 Jun 1998,Hardback
book/bookshop.blackwell.co.uk/0002201208.html,9780002201209,,Bible,Cross-reference ed,02 Mar 1998,Paperback
book/bookshop.blackwell.co.uk/0002201216.html,9780002201216,Paddy Dillon,Connemara,illustrated edition,02 Jul 2001,Paperback
book/bookshop.blackwell.co.uk/0002201224.html,9780002201223,Geoff Sample,Bird Call Identification,illustrated edition,06 Apr 1998,Multimedia Item
book/bookshop.blackwell.co.uk/0002201232.html,9780002201230,Richard Lewington,How to Identify Butterflies,,06 Apr 1999,Paperback
book/bookshop.blackwell.co.uk/0002201240.html,9780002201247,Dalai Lama XIV,The Joy of Living and Dying in Peace,New edition,16 Mar 1998,Paperback
book/bookshop.blackwell.co.uk/0002201259.html,9780002201254,C.J.O. Harrison,"Bird Nests, Eggs and Nestlings of Britain and Europe",2nd edition,01 Jun 1998,Hardback
book/bookshop.blackwell.co.uk/0002201275.html,9780002201278,"Storm Dunlop, Wil Tirion",Night Sky,,06 Apr 1999,Paperback
book/bookshop.blackwell.co.uk/0002201283.html,9780002201285,John O'Byrne,Collins Spacewatching,,05 Oct 1998,Hardback
book/bookshop.blackwell.co.uk/0002201321.html,9780002201322,Graham Pizzey,Birds of Australia,New edition,02 Nov 1998,Paperback
book/bookshop.blackwell.co.uk/0002201348.html,9780002201346,Bob Gibbons,Insects of Britain and Northern Europe,illustrated edition,06 Apr 1999,Paperback
book/bookshop.blackwell.co.uk/0002201380.html,9780002201384,David M. Ludlum,Weather,illustrated edition,02 Jan 2002,Paperback
book/bookshop.blackwell.co.uk/0002201399.html,9780002201391,Peter Heukels,Wild Flowers of Britain and Europe,illustrated edition,07 Aug 2000,Paperback
book/bookshop.blackwell.co.uk/0002201585.html,9780002201582,,Bible,,04 May 1999,Paperback
book/bookshop.blackwell.co.uk/0002201607.html,9780002201605,,Bible,,11 Jun 1999,Hardback
book/bookshop.blackwell.co.uk/0002201615.html,9780002201612,Paul Sterry,Complete Mediterranean Wildlife,New edition,07 Feb 2000,Paperback
book/bookshop.blackwell.co.uk/0002201658.html,9780002201650,,Bible,Special edition,04 Oct 1999,Hardback
book/bookshop.blackwell.co.uk/0002201666.html,9780002201667,Richard Sale,Dartmoor,illustrated edition,03 Jul 2000,Paperback
book/bookshop.blackwell.co.uk/0002201682.html,9780002201681,Stephen Moss,Gardening for Birds,,03 Apr 2000,Hardback
book/bookshop.blackwell.co.uk/0002201690.html,9780002201698,,The Millennium Experience,,03 Apr 2000,Hardback
book/bookshop.blackwell.co.uk/0002201712.html,9780002201711,HarperCollins UK,A Moment in Time...,illustrated edition,31 Jan 2000,Hardback
book/bookshop.blackwell.co.uk/0002201720.html,9780002201728,Magnum Photo Agency,GMT 2000,,31 Jan 2000,Paperback
book/bookshop.blackwell.co.uk/0002201747.html,9780002201742,Peter MacDonald,Eclipse,,11 Jun 1999,Paperback
book/bookshop.blackwell.co.uk/0002201771.html,9780002201773,Adrian P. Jones,Rocks and Minerals,illustrated edition,02 Oct 2000,Paperback
book/bookshop.blackwell.co.uk/0002201887.html,9780002201889,,The Bible,,03 Jul 2000,Hardback
book/bookshop.blackwell.co.uk/0002201895.html,9780002201896,,Bible,,02 May 2000,Hardback
book/bookshop.blackwell.co.uk/0002201909.html,9780002201902,,Bible,New edition,02 May 2000,Paperback
book/bookshop.blackwell.co.uk/0002201925.html,9780002201926,,Bible,,02 May 2000,Hardback
book/bookshop.blackwell.co.uk/0002201933.html,9780002201933,,Bible,,02 May 2000,Hardback
book/bookshop.blackwell.co.uk/0002201941.html,9780002201940,,Bible,General edition,03 Apr 2000,Hardback
book/bookshop.blackwell.co.uk/0002201976.html,9780002201971,,The Bible,,03 Jul 2000,Hardback
book/bookshop.blackwell.co.uk/0004140265.html,9780004140261,"Nanette Newman, Emma Forbes, Sarah Standing",Take 3 Cooks,New edition,07 Jul 1997,Paperback
book/bookshop.blackwell.co.uk/0004140273.html,9780004140278,Rose Elliot,Rose Elliot's Vegetarian Meals in Minutes,New edition,06 Apr 1998,Paperback
book/bookshop.blackwell.co.uk/0004140281.html,9780004140285,Michael van Straten,Foods for Mind and Body,,03 Nov 1997,Hardback
book/bookshop.blackwell.co.uk/0004140338.html,9780004140339,Rose Elliot,Rose Elliot's Vegetarian Barbecues and Grills,,06 Apr 1999,Hardback
book/bookshop.blackwell.co.uk/0004140354.html,9780004140353,"Albert Jackson, David Day",Collins Care and Repair of Period Houses,Revised edition,05 May 1998,Hardback
book/bookshop.blackwell.co.uk/0004140400.html,9780004140407,Antony Worrall Thompson,Simply Antony,,05 May 1998,Paperback
book/bookshop.blackwell.co.uk/0004140419.html,9780004140414,"Mick Nosh, Nick Nosh",Winter Nosh,,03 Dec 1997,Paperback
book/bookshop.blackwell.co.uk/0004140427.html,9780004140421,"Richard Jackson, Carolyn Hutchinson",Collins Easy Gardening,,02 Mar 1998,Paperback
book/bookshop.blackwell.co.uk/0004140451.html,9780004140452,"Albert Jackson, David Day",Collins Outdoor DIY Projects in a Weekend,,05 Oct 1998,Hardback
book/bookshop.blackwell.co.uk/0004140478.html,9780004140476,"Derry Moore, Clive Aslet",Inside the House of Lords,,05 Oct 1998,Hardback
book/bookshop.blackwell.co.uk/0004140516.html,9780004140513,Susan Brookes,Susan Brookes' Real Home Cooking,,05 Oct 1998,Hardback
book/bookshop.blackwell.co.uk/0004140524.html,9780004140520,"Albert Jackson, David Day",Collins Woodworking for Beginners,,02 Nov 1998,Hardback
book/bookshop.blackwell.co.uk/0004140540.html,9780004140544,Antony Wild,The East India Company,Television tie-in edition,06 Sep 1999,Hardback
