url,STRING : TITLE,STRING : AUTHOR,ISBN : ISBN13
book/www.goodreads.com/915147.Heart_of_Darkness.html,English,Joseph Conrad,9780001050495
book/www.goodreads.com/1236503.King_Henry_IV_part_two.html,"Henry IV, Part 2 (Henry IV, Part II)",William Shakespeare,9780001050501
book/www.goodreads.com/1930435.Empire_Of_The_Sun.html,Empire of the Sun,Samuel West,9780001050525
book/www.goodreads.com/880624.Orson_Welles.html,Orson Welles: Volume 1: The Road to Xanadu,Simon Callow,9780001050532
book/www.goodreads.com/982002.The_Fist_Of_God.html,English,Frederick Forsyth,9780001050549
book/www.goodreads.com/6975358-the-deceiver.html,The Deceiver,Frederick Forsyth,9780001050556
book/www.goodreads.com/1931698.Grantchester_Grind.html,Grantchester Grind,Tom Sharpe,9780001050730
book/www.goodreads.com/1931696.Riotous_Assembly.html,Riotous Assembly,Tom Sharpe,9780001050747
book/www.goodreads.com/926153.Indecent_Exposure.html,Indecent Exposure,Tom Sharpe,9780001050754
book/www.goodreads.com/1380912.The_Throwback.html,The Throwback,Tom Sharpe,9780001050761
book/www.goodreads.com/1146537.Heir_to_the_Empire.html,Star Wars: Heir to the Empire,Timothy Zahn,9780001050785
book/www.goodreads.com/1172976.Dark_Force_Rising.html,Star Wars: Dark Force Rising,Timothy Zahn,9780001050792
book/www.goodreads.com/3214812-star-wars.html,The Truce at Bakura,Kathy Tyers,9780001050815
book/www.goodreads.com/1078425.The_Crystal_Star.html,English,Vonda N. McIntyre,9780001050822
book/www.goodreads.com/821008.The_Courtship_of_Princess_Leia.html,The Courtship of Princess Leia,Dave Wolverton,9780001050839
book/www.goodreads.com/878573.Star_Wars.html,"Jedi Search (Star Wars: The Jedi Academy Trilogy, )",Kevin J. Anderson,9780001050846
book/www.goodreads.com/513206.Star_Wars_Jedi_Academy_Trilogy_2.html,"Dark Apprentice (Star Wars: The Jedi Academy Trilogy, )",Kevin J. Anderson,9780001050853
book/www.goodreads.com/760114.Star_Wars.html,Star Wars: Jedi Academy Trilogy,Kevin J. Anderson,9780001050860
book/www.goodreads.com/878604.Star_Wars.html,Star Wars: Ambush at Corellia,Roger MacBride Allen,9780001050877
book/www.goodreads.com/10827979-assault-at-selonia.html,English,Roger MacBride Allen,9780001050884
book/www.goodreads.com/878605.Star_Wars.html,Star Wars: Showdown at Centerpoint,Roger MacBride Allen,9780001050891
book/www.goodreads.com/3343865-star-wars.html,Night Lily: A Lover's Tale,Barbara Hambly,9780001050921
book/www.goodreads.com/908510.The_Bloody_Ground.html,The Bloody Ground,Bernard Cornwell,9780001050990
book/www.goodreads.com/936010.The_Woodlanders.html,English,Thomas Hardy,9780001052017
book/www.goodreads.com/14747889-lord-jim.html,English,Joseph Conrad,9780001052024
book/www.goodreads.com/1402609.Dark_Spectre.html,Dark Spectre,Michael Dibdin,9780001052031
book/www.goodreads.com/1156953.An_Advancement_Of_Learning.html,English,Reginald Hill,9780001052062
book/www.goodreads.com/848469.Snow_Falling_on_Cedars.html,Snow Falling on Cedars,David Guterson,9780001052079
book/www.goodreads.com/4411690-her-own-rules.html,Her Own Rules,Barbara Taylor Bradford,9780001052109
book/www.goodreads.com/1371049.Swann_s_Way.html,English,Marcel Proust,9780001052130
book/www.goodreads.com/1139700.My_Struggle.html,My Struggle,Paul Merton,9780001052147
book/www.goodreads.com/2555471.Fourth_Estate.html,The Fourth Estate,Jeffrey Archer,9780001052154
book/www.goodreads.com/1264226.Ruins.html,Ruins (The X-Files),Kevin J. Anderson,9780001052185
book/www.goodreads.com/2006250.A_Dark_Blue_Perfume.html,A Dark Blue Perfume,Ruth Rendell,9780001052208
book/www.goodreads.com/2603556-a-needle-for-the-devil.html,A Needle for the Devil and Other Stories,Unknown Author 557,9780001052215
book/www.goodreads.com/1214033.Wild_Flowers_of_Britain_Europe.html,English,Wolfgang Lippert,9780002199964
book/www.goodreads.com/1300564.Birds_Of_Britain_And_Ireland.html,Birds of Britain and Ireland (Collins Wild Guide),Peter Holden,9780002200035
book/www.goodreads.com/10420191-mushrooms-toadstools-of-britain-and-europe.html,English,Brian Spooner,9780002200073
book/www.goodreads.com/12001461-wild-animals-of-britain-and-europe.html,,John A. Burton,9780002200080
book/www.goodreads.com/1910886.Trees_of_Britain_and_Ireland.html,Trees of Britain and Ireland (Collins Wild Guide),J.R. Press,9780002200097
book/www.goodreads.com/721194.Butterflies_Moths_of_Britain_and_Europe.html,Butterflies & Moths of Britain and Europe (Collins Wild Guide),John Still,9780002200103
book/www.goodreads.com/5629760-guide-birds-of-britain-europe.html,English,John Gooders,9780002200110
book/www.goodreads.com/1761578.Mushrooms_of_Brit_Eur.html,English,Regis Courtecuisse,9780002200127
book/www.goodreads.com/6021197-trees-of-britain-and-europe.html,English,Keith D. Rushforth,9780002200134
book/www.goodreads.com/7314191-collins-wildlife-trust-guide.html,English,Storm Dunlop,9780002200141
book/www.goodreads.com/10486035-alpine-flowers-of-britain-and-europe.html,,Christopher Grey-Wilson,9780002200172
book/www.goodreads.com/5242776-mushrooms-toadstools-of-britain-and-europe.html,Mushrooms and Toadstools of Britain and Europe (Collins Field Guide),Regis Courtecuisse,9780002200257
book/www.goodreads.com/7885443-collins-skywatching.html,,David H. Levy,9780002200288
book/www.goodreads.com/1067853.Butterflies_Moths_of_Britain_and_Europe.html,English,Helga Hofmann,9780002200295
book/www.goodreads.com/1369430.Common_Birds_Of_East_Africa.html,English,Martin B. Withers,9780002200349
book/www.goodreads.com/2944486-larger-animals-of-east-africa.html,English,David Hosking,9780002200363
book/www.goodreads.com/461757.Bird_Songs_Calls_of_Britain_and_Northern_Europe.html,English,Geoff Sample,9780002200370
book/www.goodreads.com/1054338.The_Way_To_Freedom.html,The Way to Freedom: Core Teachings of Tibetan Buddhism,Dalai Lama XIV,9780002200431
book/www.goodreads.com/1163241.Awakening_The_Mind_Enlightening_The_Heart.html,"Awakening the Mind, Lightening the Heart : Core Teachings of Tibetan Buddhism",Dalai Lama XIV,9780002200455
book/www.goodreads.com/608365.Collins_Nature_Guide.html,Collins Nature Guide: Garden Birds (Collins Nature Guide),Detlef Singer,9780002200561
book/www.goodreads.com/4516834-butterflies-of-brit-europe---wt-guide.html,English,M. Chinery,9780002200592
book/www.goodreads.com/1761569.Wild_Flowers_of_Britain_Northern_Europe.html,English,Richard Fitter,9780002200622
book/www.goodreads.com/12280776-pests-diseases-garden.html,English,Stefan Buczacki,9780002200639
book/www.goodreads.com/14748011-self-esteem.html,English,Gael Lindenfield,9780002200653
book/www.goodreads.com/5805931-how-to-identify-trees-of-britain-europe.html,How to Identify Trees of Britain & Europe (Collins),Patrick Harding,9780002200677
book/www.goodreads.com/10920046-wings-guide-to-british-birds.html,English,Dominic Couzens,9780002200691
book/www.goodreads.com/608363.Complete_British_Wildlife.html,English,P. Sterry,9780002200714
book/www.goodreads.com/7662897-management-of-the-school-room.html,,Ariel Parish,2940002200726
book/www.goodreads.com/7399430-plant-disease.html,English,David S. Ingram,9780002200745
book/www.goodreads.com/7274399-plant-disease.html,English,David S. Ingham,9780002200752
book/www.goodreads.com/1165978.Birds_of_Southern_South_America_Antarctica.html,English,Martin De La Pena,9780002200776
book/www.goodreads.com/15085842-the-new-naturalist.html,English,David Cabot,9780002200790
book/www.goodreads.com/4340305-the-new-naturalist-ireland.html,English,David Cabot,9780002200806
book/www.goodreads.com/11407542-lichens.html,English,Oliver Gilbert,9780002200820
book/www.goodreads.com/2367628.Seashore.html,English,HarperCollins Publishers,9780002200882
book/www.goodreads.com/10199073-whales-dolphins-seals.html,English,HarperCollins Publishers,9780002200899
book/www.goodreads.com/7353997-wildlife-of-the-town.html,English,HarperCollins Publishers,9780002200912
book/www.goodreads.com/2467853.Flowers_of_the_Wayside.html,English,HarperCollins Publishers,9780002200929
book/www.goodreads.com/12546961-birdwatching.html,,Arnoud Van Den Berg,9780002200936
book/www.goodreads.com/5727390-birds-in-winter.html,English,HarperCollins Publishers,9780002201001
book/www.goodreads.com/5727392-trees-of-the-countryside.html,English,HarperCollins Publishers,9780002201018
book/www.goodreads.com/4523757-sharks-rays.html,Sharks and Rays (Nature Company Guides),Leighton. Taylor,9780002201049
book/www.goodreads.com/7078792-savage-earth.html,English,Alwyn Scarth,9780002201063
book/www.goodreads.com/4856852-how-to-identify-wild-flowers.html,English,Christopher Grey-Wilson,9780002201070
book/www.goodreads.com/1469595.North_Wales.html,English,Richard Sale,9780002201131
book/www.goodreads.com/7730830-collins-rambler-s-guide.html,,Dennis Skinner,9780002201148
book/www.goodreads.com/665661.Ben_Nevis_Glen_Coe.html,English,Chris Townsend,9780002201155
book/www.goodreads.com/2796602-birds-of-south-africa.html,English,Ber van Perlo,9780002201179
book/www.goodreads.com/689641.NRSV_Cross_Reference_Apocrypha_Bible.html,,Anonymous,9780002201193
book/www.goodreads.com/3329681-connemara.html,Connemara,Paddy Dillon,9780002201216
book/www.goodreads.com/130492.Bird_Call_Identification.html,English,Geoff Sample,9780002201223
book/www.goodreads.com/3102933-how-to-identify-butterflies.html,English,Richard Lewington,9780002201230
book/www.goodreads.com/1163242.The_Joy_Of_Living_And_Dying_In_Peace.html,The Joy of Living and Dying in Peace (HarperCollins Library of Tibet),Dalai Lama XIV,9780002201247
book/www.goodreads.com/1049405.Bird_Nests_Eggs_And_Nestlings_Of_Britain_And_Europe.html,English,Colin Harrison,9780002201254
book/www.goodreads.com/6083032-collins-wild-guide-night-sky.html,Collins Wild Guide Night Sky (Collins Wild Guide),Storm Dunlop,9780002201278
book/www.goodreads.com/3448318-collins-spacewatching.html,Collins Spacewatching: The Ultimate Guide to the Stars and Beyond,John O'Byrne,9780002201285
book/www.goodreads.com/6814668-insects-of-britain-and-europe.html,English,Bob Gibbons,9780002201346
book/www.goodreads.com/2446714.Weather.html,English,David McWilliams Ludlum,9780002201384
book/www.goodreads.com/15085852-wild-flowers.html,English,Peter Heukels,9780002201391
book/www.goodreads.com/2364947.Giants.html,English,Nigel Marven,9780002201575
book/www.goodreads.com/901830.Complete_Mediterranean_Wildlife.html,English,Paul Sterry,9780002201612
book/www.goodreads.com/7399089-dartmoor.html,,Richard Sale,9780002201667
book/www.goodreads.com/2089617.Gardening_for_Birds.html,English,Stephen Moss,9780002201681
book/www.goodreads.com/1430789.The_Millennium_Dome.html,The Millennium Dome: The Official Book of the Dome,Elizabeth Wilhide,9780002201704
book/www.goodreads.com/12296349-a-moment-in-time.html,English,Trafalgar Square Press,9780002201711
book/www.goodreads.com/13201820-gmt-2000.html,English,Magnum Photo Agency,9780002201728
book/www.goodreads.com/4811473-rocks-minerals.html,English,Adrian P. Jones,9780002201773
book/www.goodreads.com/6168919-holy-bible.html,,Anonymous,9780002201926
book/www.goodreads.com/2844597-take-3-cooks.html,Take 3 Cooks,Nanette Newman,9780004140261
book/www.goodreads.com/2703094-rose-elliot-s-vegetarian-meals-in-minutes.html,Rose Elliot's Vegetarian Meals in Minutes,Rose Elliot,9780004140278
book/www.goodreads.com/3149865-michael-van-straten-s-foods-for-mind-and-body.html,Foods for Mind and Body: A Complete Guide to the Preventative and Healing Properties of Food,Michael van Straten,9780004140285
book/www.goodreads.com/2651719-rose-eliot-s-vegetarian-barbecues-and-grills.html,English,Rose Elliot,9780004140339
book/www.goodreads.com/1775991.Simply_Antony.html,Simply Antony (Carlton Food Network),Antony Worrall Thompson,9780004140407
book/www.goodreads.com/1839574.Winter_Nosh.html,Winter Nosh (Carlton Food Network),Mick Nosh,9780004140414
book/www.goodreads.com/7741667-collins-easy-gardening.html,,Richard Jackson,9780004140421
book/www.goodreads.com/13162179-collins-outdoor-diy-projects-in-a-weekend.html,,Albert Jackson,9780004140452
book/www.goodreads.com/4495047-inside-the-house-of-lords.html,Inside the House of Lords,Clive Aslet,9780004140476
book/www.goodreads.com/2396584.Complete_Bk_Soft_Furnishings_Old_Edn.html,English,Hilary More,9780004140490
book/www.goodreads.com/2061504.Woodworking_for_Beginners_.html,English,Jane Churchill,9780004140520
book/www.goodreads.com/3806617-the-east-india-company.html,English,Antony Wild,9780004140544
