movie	amctv	director																	
0092	1	Amy Heckerling																	
0093	1	Jane Campion																	
0094	1	Franklin J. Schaffner																	
0095	1	Guy Hamilton																	
0096	1	Roger Donaldson																	
0097	1	Lewis Gilbert																	
0098	1	John Glen																	
0099	1	Guy Hamilton																	
0100	1	Howard Deutch																	
0101	1	John Cassavetes																	
0102	1	David Lean																	
0103	1	Otto Preminger																	
0104	1	Elia Kazan																	
0105	1	Peter Hyams																	
0106	1	Andrei Tarkovsky																	
0107	1	Michael Cimino																	
0108	1	Terrence Malick																	
0109	1	Walter Lang																	
0110	1	Luis Buñuel																	
0111	1	Roman Polanski																	
0112	1	Ingmar Bergman																	
0113	1	George Cukor																	
0114	1	Spike Lee																	
0115	1	George Stevens																	
0116	1	Woody Allen																	
0117	1	Hal Ashby																	
0118	1	Louis Malle																	
0119	1	Francis Ford Coppola																	
0120	1	Louis Malle																	
0121	1	Nils Gaup																	
0122	1	James L. Brooks																	
0123	1	Milos Forman																	
0124	1	Robert Wise																	
0125	1	Justin Lin																	
0126	1	Larry Carroll																	
0127	1	Leonard Kirtman																	
0128	1	James Cameron																	
0129	1	Jan de Bont																	
0130	1	James Cameron																	
0131	1	William Girdler																	
0132	1	Brian De Palma																	
0133	1	Brian Helgeland																	
0134	1	John Landis																	
0135	1	Martin Scorsese																	
0136	1	Martin Scorsese																	
0137	1	Jean-Jacques Annaud																	
0138	1	Stephen Frears																	
0139	1	Brian De Palma																	
0140	1	John Huston																	
0141	1	Raoul Walsh																	
0142	1	John Huston																	
0143	1	Sidney Lumet																	
0144	1	Peter Yates																	
0145	1	Steven Soderbergh																	
0146	1	John Schlesinger																	
0147	1	Jim McBride																	
0148	1	Raoul Walsh																	
0149	1	Randal Kleiser																	
0150	1	Robert Wise																	
0151	1	Alan J. Pakula																	
0152	1	Gilbert Cates																	
0153	1	Robert Benton																	
0154	1	Norman Jewison																	
0155	1	Fred Zinnemann																	
0156	1	Woody Allen																	
0157	1	Robert Benton																	
0158	1	Sydney Pollack																	
0159	1	Robert Zemeckis																	
0160	1	Rob Reiner																	
0161	1	Ivan Reitman																	
0162	1	Whit Stillman																	
0163	1	Martha Coolidge																	
0164	1	Allan Arkush																	
0165	1	John Landis																	
0166	1	Juzo Itami																	
0167	1	Steve Rash																	
0168	1	John Byrum																	
0169	1	Don Michael Paul																	
0170	1	Lindsay Anderson																	
0171	1	John Hughes																	
0172	1	Steven Spielberg																	
0173	1	Fred Sears																	
0174	1	Bill Couturie																	
0175	1	Peter Yates																	
0176	1	Woody Allen																	
0177	1	Woody Allen																	
0178	1	Peter Weir																	
0179	1	Oliver Stone																	
0180	1	David Mamet																	
0181	1	Paul Verhoeven																	
0182	1	John McTiernan																	
0183	1	Jonathan Kaplan																	
0184	1	Martin Scorsese																	
0185	1	Steven Soderbergh																	
0186	1	Stephen Frears																	
0187	1	Philip Kaufman																	
0188	1	Paul Mazursky																	
0189	1	Peter Greenaway																	
0190	1	Danny DeVito																	
0191	1	Robert Altman																	
0192	1	Oliver Stone																	
0193	1	Barry Levinson																	
0194	1	Richard Linklater																	
0195	1	Lawrence Kasdan																	
0196	1	Charles Burnett																	
0197	1	John Huston																	
0198	1	Woody Allen																	
0199	1	Quentin Tarantino																	
0200	1	Quentin Tarantino																	
0201	1	Edward Zwick																	
0202	1	Terrence Malick																	
0203	1	Janet Meyers																	
0204	1	Ron Howard																	
0205	1	Hal Ashby																	
0206	1	Martin Ritt																	
0207	1	Sidney J. Furie																	
0208	2	Jeffrey Friedman	Robert Epstein																
0209	1	Lee Unkrich																	
0210	2	John Lasseter	Andrew Stanton																
0211	1	Brad Bird																	
0212	2	Nick Park	Peter Lord																
0213	1	Steven Spielberg																	
0214	1	Michael Caton-Jones																	
0215	1	Richard Donner																	
0216	1	Alan Parker																	
0217	1	Jerry Zucker																	
0218	1	Peter Medak																	
0219	1	Frank LaLoggia																	
0220	1	Stuart Baird																	
0221	1	Arthur B. Woods																	
0222	2	Larry Wachowski	Andy Wachowski																
0223	1	Steven Spielberg																	
0224	1	Luc Besson																	
0225	1	Alex Proyas																	
0226	1	Kathryn Bigelow																	
0227	1	Alejandro Amenábar																	
0228	1	Ang Lee																	
0229	1	Sofia Coppola																	
0230	1	Richard Kelly																	
0231	1	Atom Egoyan																	
0232	1	Tsui Hark																	
0233	1	James Cameron																	
0234	1	Carroll Ballard																	
0235	1	Lee Tamahori																	
0236	1	Jonathan Demme																	
0237	1	Jonathan Demme																	
0238	1	Julian Schnabel																	
0239	1	Paul Schrader																	
0240	1	Leo McCarey																	
0241	1	Mick Jackson																	
0242	1	Lewis Gilbert																	
0243	1	Rob Reiner																	
0244	1	Alexander MacKendrick																	
0245	1	Christopher Nolan																	
0246	1	Zack Snyder																	
0247	1	Ron Shelton																	
0248	1	Gavin Hood																	
0249	1	Wolfgang Petersen																	
0250	2	Frank Oz	Jim Henson																
0251	1	Ridley Scott																	
0252	1	Ron Howard																	
0253	1	Spike Lee																	
0254	1	Don Chaffey																	
0255	1	Mike Newell																	
0256	1	Brian Pimental																	
0257	1	Dick Sebast																	
0258	1	Kevin Lima																	
0259	0	<NULL>																	
0260	1	Joel Coen																	
0261	1	Tommy Lee Jones																	
0262	1	Don Siegel																	
0263	1	Sam Raimi																	
0264	1	Walter Hill																	
0265	2	David Mackay	Brad Krevoy																
0266	3	Kelly Asbury	Conrad Vernon	Andrew Adamson															
0267	1	Hayao Miyazaki																	
0268	1	Ron Howard																	
0269	2	Christopher Miller	Phil Lord																
0270	2	Carlos Saldanha	Chris Wedge																
0271	1	John Badham																	
0272	1	Aristomenis Tsirbas																	
0273	1	David Lynch																	
0274	1	George Lucas																	
0275	1	Lee Tamahori																	
0276	1	Marc Forster																	
0277	1	J.J. Abrams																	
0278	2	Peter Farrelly	Bobby Farrelly																
0279	1	Frank Oz																	
0280	1	Paul Weitz																	
0281	1	Blake Edwards																	
0282	2	Adam Wierzbianski	Billy Kent																
0283	1	Steven Soderbergh																	
0284	1	Rudolph Maté																	
0285	1	Joseph L. Mankiewicz																	
0286	1	D.J. Caruso																	
0287	1	David Lynch																	
0288	1	Terry Gilliam																	
0289	1	Danny DeVito																	
0290	1	Richard Donner																	
0291	1	Nicolas Roeg																	
0292	1	Satyajit Ray																	
0293	1	Fernando Meirelles																	
0294	1	Mira Nair																	
0295	1	Agnieszka Holland																	
0296	1	Paul Thomas Anderson																	
0297	1	Albert Brooks																	
0298	1	Marc Forster																	
0299	1	Bille August																	
0300	1	Robert Zemeckis																	
0301	1	Jerry Schatzberg																	
0302	1	Jacques Perrin																	
0303	1	Jamie Uys																	
0304	1	Richard Linklater																	
0305	1	Terry Zwigoff																	
0306	1	Anand Tucker																	
0307	1	Wim Wenders																	
0308	1	Pedro Almodóvar																	
0309	1	Atom Egoyan																	
0310	1	Atom Egoyan																	
0311	1	George Stevens																	
0312	1	Martin Scorsese																	
0313	1	Stephen Frears																	
0314	1	Michael Moore																	
0315	1	Peter Davis																	
0316	1	Rick Rosenthal																	
0317	1	Uli Edel																	
0318	2	Tim O'Grady	John Allison																
0319	1	Otto Preminger																	
0320	1	Victor Fleming																	
0321	1	Mel Stuart																	
0322	1	George Seaton																	
0323	1	John Erman																	
0324	1	Fritz Lang																	
0325	1	Rob Cohen																	
0326	1	Charles Chaplin																	
0327	1	Zhang Yimou																	
0328	1	Rod Hardy																	
0329	1	Earl Bellamy																	
0330	1	John Ford																	
0331	1	John Frankenheimer																	
0332	8	Norman Wright	Bill Roberts	Samuel Armstrong	Paul Satterfield	Perce Pearce	Graham Heid	David Hand	James Algar										
0333	1	Peter Jackson																	
0334	1	Fritz Lang																	
0335	1	John Ford																	
0336	1	W.S. Van Dyke																	
0337	7	James Algar	Francis Glebas	Pixote Hunt	Eric Goldberg	Hendel Butoy	Paul Brizzi	Gaëtan Brizzi											
0338	2	George Dunning	Dick Emery																
0339	1	W.S. Van Dyke																	
0340	1	Woody Allen																	
0341	1	Ted Kotcheff																	
0342	1	Billy Wilder																	
0343	1	Henri-Georges Clouzot																	
0344	1	Roman Polanski																	
0345	1	Richard Lester																	
0346	1	Mike Nichols																	
0347	1	Neil Jordan																	
0348	1	Krzysztof Kieslowski																	
0349	1	Robert Altman																	
0350	1	Ernst Lubitsch																	
0351	1	Clarence Brown																	
0352	1	James Ivory																	
0353	1	Wes Craven																	
0354	1	Richard Donner																	
0355	1	William Wyler																	
0356	1	Albert Brooks																	
0357	1	Charles Band																	
0358	1	Joel Coen																	
0359	1	Michael Apted																	
0360	1	Samuel Fuller																	
0361	1	Stephen Gaghan																	
0362	3	Tsui Hark	Ringo Lam	Johnny To															
0363	1	Raoul Walsh																	
0364	1	James Clavell																	
0365	1	James Goldstone																	
0366	1	Robert Hartford-Davis																	
0367	3	Tay Garnett	Taylor Garnett	Chuck D. Keen															
0368	1	Julian Jarrold																	
0369	1	Sam Peckinpah																	
0370	1	Joel Coen																	
0371	1	Jonathan Demme																	
0372	1	Harold Becker																	
0373	1	Ennio de Concini																	
0374	1	George Cukor																	
0375	1	Carroll Ballard																	
0376	1	Bille August																	
0377	1	George Miller																	
0378	1	John Schlesinger																	
0379	1	Alfred E. Green																	
0380	1	Steve Rash																	
0381	6	Walt Disney	Bill Roberts	Jack Kinney	Norman Ferguson	Harold Young	Clyde Geronimi												
0382	1	Robert Stevenson																	
0383	1	Marcel Carné																	
0384	2	Joe Drake	Jason Reitman																
0385	1	Burr Steers																	
0386	1	Lee Rose																	
0387	1	Paul Mazursky																	
0388	1	Robert Altman																	
0389	1	Peter Weir																	
0390	1	Emir Kusturica																	
0391	1	Tim Burton																	
0392	1	William Wellman																	
0393	1	Sam Peckinpah																	
0394	1	Wolfgang Petersen																	
0395	1	Ken Loach																	
0396	1	Lewis Gilbert																	
0397	1	John McTiernan																	
0398	1	Franklin J. Schaffner																	
0399	1	Tay Garnett																	
0400	1	Herbert Ross																	
0401	1	Ivan Reitman																	
0402	1	Herbert Ross																	
0403	1	Donald Petrie																	
0404	1	George Roy Hill																	
0405	1	Sydney Pollack																	
0406	1	Satyajit Ray																	
0407	1	Todd Haynes																	
0408	1	Henry Jaglom																	
0409	1	Fred Schepisi																	
0410	1	Bernardo Bertolucci																	
0411	1	Andrzej Wajda																	
0412	1	Louis Malle																	
0413	1	Lasse Hallström																	
0414	1	Sam Henry Kass																	
0415	1	Frank Lloyd																	
0416	1	John Waters																	
0417	1	Douglas Trumbull																	
0418	1	Fred Dekker																	
0419	1	Leonard Nimoy																	
0420	1	Nicholas Meyer																	
0421	1	John Badham																	
0422	1	Richard Brooks																	
0423	1	Richard Rich																	
0424	1	Andy Tennant																	
0425	1	George Cukor																	
0426	1	Yuen Woo Ping																	
0427	1	Harold Young																	
0428	1	Charles Chaplin																	
0429	1	Fred Zinnemann																	
0430	1	Burt Kennedy																	
0431	3	John Ford	George Marshall	Henry Hathaway															
0432	1	Mark Robson																	
0433	1	Robin Hardy																	
0434	1	Terry Zwigoff																	
0435	1	Kurt Kuenne																	
0436	1	Jonas Mekas																	
0437	1	John Dahl																	
0438	1	Edward Dmytryk																	
0439	1	Vincente Minnelli																	
0440	1	Haskell Wexler																	
0441	1	John Frankenheimer																	
0442	1	Daniel Petrie																	
0443	1	Blake Edwards																	
0444	1	Federico Fellini																	
0445	1	Nils Gaup																	
0446	1	Jean Herman																	
0447	1	Robert Wise																	
0448	1	Mike Leigh																	
0449	1	Hal Ashby																	
0450	1	James Ivory																	
0451	1	Richard Sarafian																	
0452	1	John G. Avildsen																	
0453	1	Paul Mazursky																	
0454	1	Marc B. Ray																	
0455	1	Robert J. Emery																	
0456	1	John McTiernan																	
0457	1	Martin Ritt																	
0458	1	Charles S. Dutton																	
0459	1	Charles Winkler																	
0460	1	Ron Shelton																	
0461	1	George Bowers																	
0462	1	Bob Clark																	
0463	1	Richard Donner																	
0464	1	Kevin Reynolds																	
0465	1	Don Siegel																	
0466	1	Richard Marquand																	
0467	1	Bernardo Bertolucci																	
0468	1	Jan de Bont																	
0469	1	Tim Hunter																	
0470	1	Robert Rodriguez																	
0471	1	Kathryn Bigelow																	
0472	1	Martin Rosen																	
0473	2	Margarethe von Trotta	Volker Schlöndorff																
0474	1	William Peter Blatty																	
0475	1	John Badham																	
0476	1	John Boorman																	
0477	1	Richard Fleischer																	
0478	1	Francis Girod																	
0479	1	Anna Thomas																	
0480	1	Katt Shea																	
0481	1	Katsuhiro Otomo																	
0482	1	Sam Raimi																	
0483	1	Tom Holland																	
0484	1	Sam Raimi																	
0485	1	Werner Herzog																	
0486	1	Luc Besson																	
0487	1	Fred Walton																	
0488	1	Roman Polanski																	
0489	1	Olivier Dahan																	
0490	1	William Gove																	
0491	1	Lukas Moodysson																	
0492	1	Francesco Massaro																	
0493	1	Edward Bianchi																	
0494	1	Tony Jiti Gill																	
0495	1	Joel Schumacher																	
0496	1	Frank Oz																	
0497	1	Frank Oz																	
0498	1	Peter Werner																	
0499	1	Brian Helgeland																	
0500	1	Brian Helgeland																	
0501	1	Robert Arkless																	
0502	1	Stuart Rosenberg																	
0503	1	Peter Weir																	
0504	1	Claude Berri																	
0505	1	Bruce Beresford																	
0506	1	Luc Besson																	
0507	1	Howard Hawks																	
0508	1	Ralph Nelson																	
0509	1	Andrew V. McLaglen																	
0510	1	Robert Mandel																	
0511	1	Rian Johnson																	
0512	1	Brian Robbins																	
0513	1	George Sluizer																	
0514	1	Bryan Singer																	
0515	1	Costa-Gavras																	
0516	1	Francis Ford Coppola																	
0517	1	Euzhan Palcy																	
0518	2	Anita Rosenberg	Gorman Bechard																
0519	1	Larry Peerce																	
0520	1	John Sayles																	
0521	1	William Richert																	
0522	1	Ken Russell																	
0523	1	Terrence Malick																	
0524	1	Paul Newman																	
0525	1	Peter Medak																	
0526	1	Fred Zinnemann																	
0527	1	George Tillman, Jr.																	
0528	1	Tata Amaral																	
0529	1	Kevin Tancharoen																	
0530	1	Michael Mann																	
0531	1	Michael Curtiz																	
0532	1	Mark Robson																	
0533	1	Raoul Walsh																	
0534	1	Richard Irving																	
0535	1	Robert Redford																	
0536	1	Robert Benton																	
0537	1	Peter Bogdanovich																	
0538	1	Zhang Yimou																	
0539	1	Michael Caton-Jones																	
0540	1	Alfred Hitchcock																	
0541	1	Robert Benton																	
0542	1	Alan Rudolph																	
0543	1	John Cassavetes																	
0544	1	Chen Kaige																	
0545	1	Martin Ritt																	
0546	2	Ron Clements	John Musker																
0547	1	Wolfgang Reitherman																	
0548	1	Byron Haskin																	
0549	1	Gurinder Chadha																	
0550	1	Agnès Varda																	
0551	1	Norman Z. McLeod																	
0552	1	Anthony Minghella																	
0553	1	Guillermo del Toro																	
0554	1	Claudia Weill																	
0555	1	Amy Heckerling																	
0556	1	Michael Ritchie																	
0557	1	Gus Van Sant																	
0558	1	Peter Sollett																	
0559	1	David Seltzer																	
0560	1	John Landis																	
0561	1	Harold Ramis																	
0562	1	Michael Moore																	
0563	1	Akira Kurosawa																	
0564	1	Richard Benjamin																	
0565	2	Bill Murray	Howard Franklin																
0566	1	James Ivory																	
0567	1	Lewis Gilbert																	
0568	1	Jessy Terrero																	
0569	1	Jerry Schatzberg																	
0570	1	Brian Gibson																	
0571	1	R.W. Goodwin																	
0572	1	Peter Rowe																	
0573	1	Stanley Kubrick																	
0574	1	Barry Levinson																	
0575	1	Brian De Palma																	
0576	1	Joe Dante																	
0577	2	Jeff McGrath	Cathy Malkasian																
0578	1	Joe Dante																	
0579	1	David Cronenberg																	
0580	1	Jonathan Mostow																	
0581	1	Walter Bernstein																	
0582	2	Lloyd Kaufman	Michael Herz																
0583	1	Xavier Koller																	
0584	1	Martin Brest																	
0585	1	Robert Young																	
0586	1	Richard Lester																	
0587	1	Louis Malle																	
0588	1	Cynthia Scott																	
0589	1	Edward Dmytryk																	
0590	1	Jean-Jacques Beineix																	
0591	1	Alan J. Pakula																	
0592	1	John Woo																	
0593	1	Fred Schepisi																	
0594	2	Peter Farrelly	Bobby Farrelly																
0595	1	Hal Ashby																	
0596	1	Robert Mulligan																	
0597	1	Joe Nussbaum																	
0598	1	Michael Wadleigh																	
0599	3	David Maysles	Albert Maysles	Charlotte Mitchell Zwerin															
0600	1	Nancy Savoca																	
0601	1	Peter Care																	
0602	1	James Mangold																	
0603	1	Diane Kurys																	
0604	1	Mike Leigh																	
0605	1	Barbet Schroeder																	
0606	1	Kenneth Branagh																	
0607	1	Doug Liman																	
0608	1	Jean-Luc Godard																	
0609	1	Martin Ritt																	
0610	1	Joan Micklin Silver																	
0611	1	Arthur N. Mele																	
0612	1	Donald Wrye																	
0613	1	Steven Soderbergh																	
0614	1	Paul Thomas Anderson																	
0615	1	Tony Scott																	
0616	1	Alfonso Cuarón																	
0617	1	Ang Lee																	
0618	1	Abel Ferrara																	
0619	1	Jim Sheridan																	
0620	1	Derek Jarman																	
0621	1	Andrew Marton																	
0622	1	Clint Eastwood																	
0623	1	John Roberts																	
0624	1	Pat O'Connor																	
0625	2	Albert Hughes	Allen Hughes																
0626	1	Radha Bharadwaj																	
0627	1	Freddie Francis																	
0628	1	Michael Hoffman																	
0629	1	Richard Linklater																	
0630	1	John Singleton																	
0631	1	Herbert Ross																	
0632	1	John Carpenter																	
0633	1	Martin Ritt																	
0634	1	Carl Reiner																	
0635	1	Peter Farrelly																	
0636	1	Steven Spielberg																	
0637	1	Antonia Bird																	
0638	1	Gary Fleder																	
0639	1	Mark Rappaport																	
0640	1	Marc Mauceri																	
0641	1	Jane Campion																	
0642	1	Alan J. Pakula																	
0643	1	Aviva Slesin																	
0644	1	Carlos Saldanha																	
0645	1	Barry Levinson																	
0646	0	<NULL>																	
0647	1	Robert Rodriguez																	
0648	1	Bryan Singer																	
0649	1	Ivan Reitman																	
0650	2	Simon J. Smith	Stephen Hickner																
0651	2	Nick Park	Steve Box																
0652	1	Joe Johnston																	
0653	1	Peter Faiman																	
0654	2	Dennis Bosher	Terry Bedford																
0655	1	Ridley Scott																	
0656	1	George Miller																	
0657	1	M. Night Shyamalan																	
0658	1	James Marsh																	
0659	1	David Gordon Green																	
0660	1	John Schlesinger																	
0661	1	Michael Tolkin																	
0662	1	Paul Aaron																	
0663	1	Lucio Fulci																	
0664	1	Don Siegel																	
0665	1	Steve Norrington																	
0666	1	William Keighley																	
0667	1	Raoul Walsh																	
0668	1	Alfred Hitchcock																	
0669	1	David Cronenberg																	
0670	1	Richard Linklater																	
0671	1	Steven Spielberg																	
0672	1	Michael Crichton																	
0673	1	Michael Winterbottom																	
0674	1	Francesco Rosi																	
0675	1	Luc Besson																	
0676	2	Yoshiyuki Takei	Shinichiro Watanabe																
0677	1	George A. Romero																	
0678	1	John Frankenheimer																	
0679	1	Brian De Palma																	
0680	1	David Cronenberg																	
0681	1	Walter Hill																	
0682	1	Mike Nichols																	
0683	1	George Huang																	
0684	1	Colin Higgins																	
0685	1	David Gordon Green																	
0686	1	Gary Ross																	
0687	1	Peter Jackson																	
0688	1	Todd Solondz																	
0689	1	John Woo																	
0690	1	Ingmar Bergman																	
0691	1	Sam Wood																	
0692	1	Wolfgang Petersen																	
0693	1	Joe Wright																	
0694	1	Carroll Ballard																	
0695	1	Michael Tolkin																	
0696	1	Pedro Almodóvar																	
0697	1	István Szabó																	
0698	1	Stanley Donen																	
0699	1	Hector Babenco																	
0700	1	Barbara Kopple																	
0701	1	Christopher Guest																	
0702	1	Jim Jarmusch																	
0703	1	Donald Petrie																	
0704	1	Cameron Crowe																	
0705	1	Curtis Hanson																	
0706	1	Lars Kraume																	
0707	1	Thomas Bezucha																	
0708	1	David Zucker																	
0709	1	Lauren Montgomery																	
0710	2	Bruce Timm	Eric Radomski																
0711	1	Matthew Vaughn																	
0712	1	M. Night Shyamalan																	
0713	1	Peter Berg																	
0714	1	Eric Matthies																	
0715	1	Mark L. Lester																	
0716	1	David J. Burke																	
0717	1	Ken Sanzel																	
0718	1	Adrian Pasdar																	
0719	1	Tim Story																	
0720	1	Pitof																	
0721	1	Warren Beatty																	
0722	1	Hayao Miyazaki																	
0723	1	John Milius																	
0724	1	Joshua Logan																	
0725	1	Joe Johnston																	
0726	1	Benny Chan																	
0727	1	Ben Affleck																	
0728	0	<NULL>																	
0729	1	Roger Young																	
0730	1	David Cronenberg																	
0731	1	Robert De Niro																	
0732	1	Martin Campbell																	
0733	1	Luigi Cozzi																	
0734	1	Gordon Hessler																	
0735	2	Arthur Rankin, Jr.	Jules Bass																
0736	1	Stephen Sommers																	
0737	1	Phil Weinstein																	
0738	2	Bob Walker	Aaron Blaise																
0739	2	Brian Smith	Jim Kammerud																
0740	2	Tom McGrath	Eric Darnell																
0741	2	Carlos Saldanha	Chris Wedge																
0742	2	Thilo Rothkirch	Piet de Rycker																
0743	1	Don Bluth																	
0744	1	Don Bluth																	
0745	5	Wolfgang Reitherman	Don Bluth	Art Stevens	John Lounsbery	Milt Kahl													
0746	1	Simon Wells																	
0747	1	Douglas McCarthy																	
0748	1	Alan Rudolph																	
0749	1	Roy Allen Smith																	
0750	0	<NULL>																	
0751	1	Guillermo Arriaga																	
0752	1	Gary Lee Davis																	
0753	1	Martin Hynes																	
0754	1	Joseph Manduke																	
0755	1	George Miller																	
0756	1	John Dahl																	
0757	1	Ramon Menendez																	
0758	1	Carl Franklin																	
0759	1	David Mackay																	
0760	1	Steven Soderbergh																	
0761	3	Rob Letterman	Vicky Jenson	Bibo Bergeron															
0762	2	Ron Clements	John Musker																
0763	3	Wilfred Jackson	Hamilton Luske	Clyde Geronimi															
0764	1	Hayao Miyazaki																	
0765	1	Bruce Beresford																	
0766	1	Mark Rydell																	
0767	1	Terry Izumi																	
0768	0	<NULL>																	
0769	1	Allan Arkush																	
0770	3	Wolfgang Reitherman	Hamilton Luske	Clyde Geronimi															
0771	2	Dean DeBlois	Chris Sanders																
0772	1	Wolfgang Petersen																	
0773	1	Shane Acker																	
0774	0	<NULL>																	
0775	1	George Lucas																	
0776	1	Kyle Newman																	
0777	1	Andrew Adamson																	
0778	2	Gary Goldman	Don Bluth																
0779	1	Michael Apted																	
0780	1	John Woo																	
0781	1	Tony Scott																	
0782	1	Walter Hill																	
0783	1	Ringo Lam																	
0784	1	Antoine Fuqua																	
0785	1	Doug Liman																	
0786	2	Neal Jimenez	Michael Steinberg																
0787	1	Garry Marshall																	
0788	1	Edouard Molinaro																	
0789	1	Brian Henson																	
0790	1	J.B. Rogers																	
0791	1	James Beshears																	
0792	1	Jeff Schaffer																	
0793	1	Gerald Sindell																	
0794	1	Judd Apatow																	
0795	1	Peter Segal																	
0796	1	Roger Kumble																	
0797	1	Blake Edwards																	
0798	1	John Derek																	
0799	1	Nicole Holofcener																	
0800	1	Sharon Maguire																	
0801	1	Kevin Smith																	
0802	1	Neil LaBute																	
0803	1	Charles Herman-Wurmfeld																	
0804	1	Bobcat Goldthwait																	
0805	1	Brian Dannelly																	
0806	1	Valerie Breiman																	
0807	1	Wallace Wolodarsky																	
0808	1	John MacKenzie																	
0809	1	Jonathan Glazer																	
0810	1	Michael Mann																	
0811	1	Norman Foster																	
0812	1	Tao Ruspoli																	
0813	1	Bill Melendez																	
0814	1	Mike Newell																	
0815	1	Alain Berliner																	
0816	1	Barry Sonnenfeld																	
0817	1	Nicolas Roeg																	
0818	1	Mel Smith																	
0819	1	Luis Mandoki																	
0820	1	Mira Nair																	
0821	1	Ang Lee																	
0822	1	Gurinder Chadha																	
0823	1	Uri Barbash																	
0824	1	Caroline Thompson																	
0825	1	Vittorio De Sica																	
0826	1	Tim Blake Nelson																	
0827	1	Hal Hartley																	
0828	1	Joel Coen																	
0829	1	David Mackenzie																	
0830	1	Sydney Pollack																	
0831	1	Sydney Pollack																	
0832	1	Shekhar Kapur																	
0833	1	Richard Quine																	
0834	1	Paul Flaherty																	
0835	1	Nicolas Roeg																	
0836	1	Yaky Yosha																	
0837	1	Quentin Lee																	
0838	1	Michael Winterbottom																	
0839	2	Deborah Kaplan	Harry Elfont																
0840	1	David Cronenberg																	
0841	1	Werner Herzog																	
0842	2	Ross Kauffman	Zana Briski																
0843	1	Leon Gast																	
0844	2	Andy Byatt	Alastair Fothergill																
0845	1	Judy Irving																	
0846	1	Jamie Uys																	
0847	1	Mark Lewis																	
0848	1	Masanori Hata																	
0849	1	Wim Wenders																	
0850	1	Tom Gilroy																	
0851	1	Hans Canosa																	
0852	1	Eric Rohmer																	
0853	1	John Landis																	
0854	1	Todd Haynes																	
0855	1	Bob Rafelson																	
0856	1	Sue Brooks																	
