url,NUMBER : value,NUMBER : var %,NUMBER : var $,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/www.marketwatch.com/CR.html,24.06,0.00%,0.00,$24.59,$23.82,547,$42.94,$10.87
finance/www.marketwatch.com/CREE.html,28.74,0.00%,0.00,$29.36,$28.30,"4,928",$31.75,$12.57
finance/www.marketwatch.com/CCK.html,23.25,0.00%,0.00,$23.62,$23.01,"1,147",$29.60,$13.37
finance/www.marketwatch.com/CSX.html,36.52,0.00%,0.00,$36.57,$34.77,"18,362",$69.50,$20.70
finance/www.marketwatch.com/CRGN.html,1.38,0.00%,0.00,$1.39,$1.35,100,$1.48,$0.41
finance/www.marketwatch.com/CVS.html,30.35,-0.16%,-0.05,$30.36,$29.90,"48,420",$42.78,$23.19
finance/www.marketwatch.com/DHR.html,62.77,0.00%,0.00,$63.03,$62.00,"3,755",$85.00,$47.20
finance/www.marketwatch.com/DRI.html,33.80,0.00%,0.00,$33.83,$32.67,"16,727",$41.21,$13.21
finance/www.marketwatch.com/DE.html,44.77,0.00%,0.00,$44.78,$43.70,"36,043",$81.22,$24.51
finance/www.marketwatch.com/DELL.html,13.39,+0.52%,+0.07,$13.40,$13.05,"312,363",$26.04,$7.84
finance/www.marketwatch.com/DAL.html,6.40,-0.16%,-0.01,$6.74,$6.37,"390,044",$12.65,$3.51
finance/www.marketwatch.com/DEL.html,38.57,0.00%,0.00,$38.85,$37.09,"5,902",$75.08,$26.94
finance/www.marketwatch.com/DLX.html,14.71,0.00%,0.00,$14.99,$14.26,"13,492",$21.13,$6.20
finance/www.marketwatch.com/DIA.html,88.31,-0.16%,-0.14,88.33,87.37,"674,484",123.43,64.78
finance/www.marketwatch.com/DDS.html,10.04,0.00%,0.00,$10.08,$9.46,"4,627",$15.37,$2.50
finance/www.marketwatch.com/DIS.html,25.06,0.00%,0.00,$25.39,$24.52,"77,579",$34.85,$15.14
finance/www.marketwatch.com/DLTR.html,43.29,0.00%,0.00,$43.70,$42.56,"4,000",$46.74,$27.61
finance/www.marketwatch.com/D.html,33.39,0.00%,0.00,$33.52,$32.44,"41,313",$48.50,$27.15
finance/www.marketwatch.com/DOV.html,36.16,0.00%,0.00,$36.16,$35.35,"9,051",$52.43,$21.79
finance/www.marketwatch.com/DOW.html,17.34,0.00%,0.00,$17.50,$17.05,"139,635",$39.99,$5.89
finance/www.marketwatch.com/DJ.html,10.41,0.00%,0.00,$10.48,$10.09,"65,017",$18.13,$4.95
finance/www.marketwatch.com/DTE.html,31.96,0.00%,0.00,$32.10,$31.15,"9,484",$44.97,$23.32
finance/www.marketwatch.com/DUK.html,14.67,+1.02%,+0.15,$14.76,$14.25,"44,271",$19.10,$11.72
finance/www.marketwatch.com/DNB.html,83.55,0.00%,0.00,$83.70,$82.55,760,$98.90,$64.00
finance/www.marketwatch.com/DD.html,27.02,-0.07%,-0.02,$27.24,$26.61,"119,966",$48.22,$16.05
finance/www.marketwatch.com/ELNK.html,7.77,0.00%,0.00,$7.90,$7.65,"7,699",$10.16,$5.52
finance/www.marketwatch.com/EMN.html,40.65,0.00%,0.00,$41.31,$40.13,"67,435",$75.81,$17.76
finance/www.marketwatch.com/EK.html,2.95,0.00%,0.00,$2.96,$2.78,"13,052",$17.71,$2.01
finance/www.marketwatch.com/ETN.html,49.20,-0.04%,-0.02,$49.22,$48.04,"21,143",$97.93,$30.02
finance/www.marketwatch.com/EBAY.html,17.80,-0.56%,-0.10,$17.95,$17.45,"76,868",$29.33,$9.91
finance/www.marketwatch.com/ELON.html,8.06,0.00%,0.00,$8.09,$7.66,378,$15.74,$4.92
finance/www.marketwatch.com/DISH.html,15.33,0.00%,0.00,$15.71,$14.99,"119,588",$34.34,$8.34
finance/www.marketwatch.com/ECL.html,38.69,0.00%,0.00,$38.80,$37.94,"15,568",$52.16,$29.27
finance/www.marketwatch.com/EIX.html,32.49,0.00%,0.00,$32.52,$31.23,"19,105",$53.07,$23.09
finance/www.marketwatch.com/ERTS.html,21.93,+0.78%,+0.17,$22.04,$21.60,"19,541",$50.17,$14.24
finance/www.marketwatch.com/EMC.html,13.26,0.00%,0.00,$13.28,$12.74,"509,172",$16.67,$8.25
finance/www.marketwatch.com/EMR.html,35.07,0.00%,0.00,$35.08,$34.33,"18,894",$56.41,$24.39
finance/www.marketwatch.com/ETR.html,78.24,0.00%,0.00,$78.67,$74.95,"12,803",$123.14,$59.87
finance/www.marketwatch.com/ENZ.html,5.49,0.00%,0.00,$5.49,$5.30,963,$14.90,$2.70
finance/www.marketwatch.com/EFX.html,27.29,0.00%,0.00,$27.29,$26.73,"11,904",$37.29,$19.38
finance/www.marketwatch.com/XOM.html,73.78,+0.03%,+0.02,$74.16,$73.10,"517,767",$89.63,$56.51
finance/www.marketwatch.com/FRE.html,0.70,-1.43%,-0.01,$0.71,$0.69,"54,890",$24.23,$0.25
finance/www.marketwatch.com/FNM.html,0.66,0.00%,0.00,$0.67,$0.65,"133,121",$25.99,$0.30
finance/www.marketwatch.com/FDX.html,54.39,0.00%,0.00,$56.22,$53.63,"23,657",$96.99,$34.02
finance/www.marketwatch.com/FITB.html,8.03,+0.12%,+0.01,$8.03,$7.74,"110,870",$21.00,$1.01
finance/www.marketwatch.com/FE.html,40.48,0.00%,0.00,$40.60,$38.56,"10,584",$84.00,$35.26
finance/www.marketwatch.com/FLEX.html,4.40,+0.23%,+0.01,$4.60,$4.35,"30,282",$10.99,$1.23
finance/www.marketwatch.com/FLR.html,53.79,-0.45%,-0.24,$53.85,$52.80,"15,522",$101.36,$28.60
finance/www.marketwatch.com/FMC.html,52.45,0.00%,0.00,$52.81,$52.02,"6,856",$80.23,$28.53
finance/www.marketwatch.com/F.html,6.11,-0.49%,-0.03,$6.15,$5.92,"384,129",$6.75,$1.01
finance/www.marketwatch.com/FO.html,37.03,0.00%,0.00,$37.13,$36.26,"7,376",$66.72,$17.68
finance/www.marketwatch.com/FOSL.html,23.12,0.00%,0.00,$23.64,$22.66,"5,500",$33.36,$11.00
finance/www.marketwatch.com/FPL.html,57.39,0.00%,0.00,$57.90,$55.72,"9,896",$68.76,$33.81
finance/www.marketwatch.com/BEN.html,75.99,0.00%,0.00,$76.89,$74.64,818,$133.37,$37.11
finance/www.marketwatch.com/FCX.html,58.51,+0.15%,+0.09,$60.27,$58.09,"57,336",$126.64,$15.70
finance/www.marketwatch.com/FCEL.html,4.59,0.00%,0.00,$4.77,$4.50,"19,074",$8.83,$1.98
finance/www.marketwatch.com/GCI.html,4.22,0.00%,0.00,$4.27,$4.15,"47,266",$26.42,$1.85
finance/www.marketwatch.com/GPS.html,16.37,0.00%,0.00,$16.61,$15.90,"61,904",$20.80,$9.41
finance/www.marketwatch.com/GM.html,1.17,0.00%,0.00,$1.23,$1.05,"528,040",$16.76,$0.27
finance/www.marketwatch.com/GD.html,59.76,0.00%,0.00,$60.03,$58.63,"7,106",$94.41,$35.28
finance/www.marketwatch.com/GE.html,13.51,-0.22%,-0.03,$13.52,$13.29,"787,217",$30.39,$5.73
finance/www.marketwatch.com/GIS.html,54.92,0.00%,0.00,$55.11,$54.21,"5,491",$72.01,$46.37
finance/www.marketwatch.com/OSCI.html,0.27,-5.56%,-0.02,$0.32,$0.25,"68,978",$1.80,$0.06
finance/www.marketwatch.com/GPC.html,33.79,0.00%,0.00,$33.97,$33.43,"1,164",$44.20,$24.93
finance/www.marketwatch.com/G.html,11.26,0.00%,0.00,$11.26,$10.87,"5,884",$15.70,$6.30
finance/www.marketwatch.com/GR.html,53.36,0.00%,0.00,$53.36,$51.54,"37,042",$55.34,$25.11
finance/www.marketwatch.com/GT.html,12.42,-0.08%,-0.01,$13.05,$12.17,"22,955",$23.14,$3.17
finance/www.marketwatch.com/GOOG.html,424.84,-0.36%,-1.54,$427.70,$421.21,"11,722",$579.10,$247.30
finance/www.marketwatch.com/GRA.html,13.48,0.00%,0.00,$13.70,$13.28,"5,143",$28.09,$2.95
finance/www.marketwatch.com/GWW.html,83.81,0.00%,0.00,$83.96,$82.91,"10,856",$93.99,$58.86
finance/www.marketwatch.com/GAP.html,4.98,0.00%,0.00,$5.00,$4.76,"7,035",$25.39,$3.01
finance/www.marketwatch.com/GES.html,26.56,0.00%,0.00,$26.67,$25.35,"8,164",$43.13,$10.26
finance/www.marketwatch.com/HAL.html,23.99,-0.42%,-0.10,$24.13,$23.60,"97,948",$55.38,$12.80
finance/www.marketwatch.com/HIG.html,12.95,-0.08%,-0.01,$13.60,$12.80,"151,986",$73.89,$3.33
finance/www.marketwatch.com/HAS.html,25.09,+0.64%,+0.16,$25.65,$24.74,"17,724",$41.68,$21.14
finance/www.marketwatch.com/HLTH.html,11.92,0.00%,0.00,$12.01,$11.62,"16,412",$12.70,$6.80
finance/www.marketwatch.com/HNZ.html,36.32,0.00%,0.00,$36.46,$35.84,"1,870",$53.00,$30.51
finance/www.marketwatch.com/HELX.html,5.06,0.00%,0.00,$5.06,$4.93,"23,900",$11.30,$2.52
finance/www.marketwatch.com/HP.html,34.92,0.00%,0.00,$35.13,$33.86,"33,995",$77.24,$17.01
finance/www.marketwatch.com/HSY.html,35.39,0.00%,0.00,$35.45,$34.90,"2,416",$44.32,$30.27
finance/www.marketwatch.com/HD.html,24.15,0.00%,0.00,$24.24,$23.83,"90,845",$30.74,$17.05
finance/www.marketwatch.com/HMC.html,28.86,-0.49%,-0.14,$28.89,$28.51,"1,700",$36.29,$17.35
finance/www.marketwatch.com/HON.html,35.41,-0.54%,-0.19,$35.67,$35.05,"10,674",$56.88,$23.06
finance/www.marketwatch.com/HOTT.html,7.14,0.00%,0.00,$7.30,$6.95,"47,271",$13.87,$4.61
finance/www.marketwatch.com/HGSI.html,2.89,-1.38%,-0.04,$3.00,$2.77,"40,418",$8.00,$0.45
finance/www.marketwatch.com/HUM.html,29.41,0.00%,0.00,$29.63,$28.44,888,$51.39,$18.57
finance/www.marketwatch.com/HBAN.html,4.15,+10.84%,+0.45,$4.26,$4.11,3.51m,$13.50,$1.00
finance/www.marketwatch.com/ITW.html,38.08,0.00%,0.00,$38.19,$37.28,"3,018",$51.00,$25.60
finance/www.marketwatch.com/RX.html,13.29,0.00%,0.00,$13.35,$12.33,"30,116",$23.93,$9.63
finance/www.marketwatch.com/N.html,11.84,-1.76%,-0.21,$11.91,$11.15,"20,600",$22.25,$5.43
finance/www.marketwatch.com/INCY.html,3.33,0.00%,0.00,$3.35,$3.23,"8,562",$10.42,$1.85
finance/www.marketwatch.com/INSP.html,7.21,0.00%,0.00,$7.28,$7.00,"1,386",$11.94,$5.07
finance/www.marketwatch.com/INFY.html,37.12,0.00%,0.00,$37.13,$36.30,"14,324",$47.41,$21.10
finance/www.marketwatch.com/IR.html,23.05,+0.04%,+0.01,$23.06,$22.44,"87,284",$41.14,$11.46
finance/www.marketwatch.com/INTC.html,16.31,-0.18%,-0.03,$16.31,$16.02,"271,599",$24.75,$12.05
finance/www.marketwatch.com/ICGE.html,6.07,0.00%,0.00,$6.13,$5.97,"3,438",$9.84,$3.04
finance/www.marketwatch.com/IPG.html,6.00,0.00%,0.00,$6.00,$5.83,"4,012",$9.69,$2.57
finance/www.marketwatch.com/ISIL.html,13.02,0.00%,0.00,$13.25,$12.77,"12,232",$27.34,$7.18
finance/www.marketwatch.com/IBM.html,108.21,+0.15%,+0.16,$109.28,$107.75,"68,234",$130.93,$69.50
finance/www.marketwatch.com/IFF.html,32.96,0.00%,0.00,$33.15,$32.55,"6,984",$45.21,$24.72
finance/www.marketwatch.com/IP.html,15.81,0.00%,0.00,$15.85,$15.01,"113,655",$31.07,$3.93
finance/www.marketwatch.com/INTU.html,28.64,0.00%,0.00,$28.64,$28.01,"21,083",$32.00,$20.18
finance/www.marketwatch.com/ITT.html,46.66,0.00%,0.00,$46.73,$45.55,"5,842",$69.73,$31.94
finance/www.marketwatch.com/JBL.html,7.55,0.00%,0.00,$7.61,$7.40,"13,687",$18.78,$3.10
finance/www.marketwatch.com/JKHY.html,19.09,0.00%,0.00,$19.12,$18.83,"7,994",$24.45,$14.29
finance/www.marketwatch.com/JNJ.html,56.06,0.00%,0.00,$56.54,$55.72,"67,991",$72.76,$46.25
finance/www.marketwatch.com/JCI.html,21.57,0.00%,0.00,$21.91,$21.09,"15,783",$36.00,$8.35
finance/www.marketwatch.com/JNPR.html,23.87,-0.17%,-0.04,$23.93,$23.43,"26,189",$27.65,$12.43
finance/www.marketwatch.com/KBH.html,14.09,0.00%,0.00,$14.50,$13.82,"3,052",$25.43,$6.90
finance/www.marketwatch.com/KEI.html,3.99,0.00%,0.00,$4.51,$3.99,"1,348",$10.65,$1.86
finance/www.marketwatch.com/K.html,44.55,0.00%,0.00,$44.61,$43.50,"6,466",$58.51,$35.64
finance/www.marketwatch.com/KEY.html,6.10,+0.66%,+0.04,$6.17,$5.92,"153,026",$18.48,$4.40
finance/www.marketwatch.com/KEYN.html,8.73,0.00%,0.00,$8.88,$8.41,808,$14.31,$6.34
finance/www.marketwatch.com/KMB.html,52.73,0.00%,0.00,$52.95,$52.15,"7,150",$66.66,$43.05
finance/www.marketwatch.com/KLAC.html,25.88,0.00%,0.00,$26.57,$25.41,"35,007",$43.06,$14.81
finance/www.marketwatch.com/KSS.html,46.59,0.00%,0.00,$46.68,$45.15,"1,940",$56.00,$24.28
finance/www.marketwatch.com/KKD.html,3.44,0.00%,0.00,$3.45,$3.31,"31,618",$5.65,$1.01
finance/www.marketwatch.com/KR.html,21.72,0.00%,0.00,$21.90,$21.49,"13,280",$30.99,$19.39
