url,NUMBER : value,NUMBER : var %,NUMBER : var $,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : 52wk high,NUMBER : 52wk low
finance/www.bloomberg.com/ba.html,51.440,1.540,0.780,50.760,51.560,50.110,77.80,29.05
finance/www.bloomberg.com/bsx.html,9.370,0.214,0.020,9.450,9.500,9.170,14.20,5.41
finance/www.bloomberg.com/bp.html,51.200,-1.934,-1.010,50.940,51.240,50.575,70.09,33.70
finance/www.bloomberg.com/bgg.html,15.880,-1.182,-0.190,15.920,16.000,15.590,21.51,11.13
finance/www.bloomberg.com/bmy.html,19.810,-0.950,-0.190,19.900,20.000,19.670,23.98,16.00
finance/www.bloomberg.com/bsy.html,29.190,-1.551,-0.460,29.120,29.200,28.850,42.00,19.90
finance/www.bloomberg.com/brcm.html,26.300,-2.303,-0.620,26.670,26.670,25.660,29.91,12.98
finance/www.bloomberg.com/brcd.html,7.800,1.695,0.130,7.760,7.920,7.590,9.09,2.05
finance/www.bloomberg.com/bc.html,4.320,0.465,0.020,4.330,4.370,4.190,16.64,1.82
finance/www.bloomberg.com/bni.html,77.360,2.900,2.180,75.340,77.700,75.130,110.04,50.86
finance/www.bloomberg.com/br.html,17.180,-0.521,-0.090,17.160,17.220,16.930,23.00,9.21
finance/www.bloomberg.com/cpn.html,11.820,0.767,0.090,11.790,11.868,11.350,23.08,4.76
finance/www.bloomberg.com/cpb.html,29.100,0.172,0.050,29.000,29.300,28.800,40.85,24.63
finance/www.bloomberg.com/cof.html,23.940,-2.643,-0.650,24.500,24.500,23.720,63.50,7.80
finance/www.bloomberg.com/cah.html,30.960,0.389,0.120,30.860,31.430,30.670,56.45,27.75
finance/www.bloomberg.com/ccl.html,24.170,1.854,0.440,24.110,24.200,23.580,42.39,14.85
finance/www.bloomberg.com/cat.html,37.730,0.319,0.120,37.470,37.770,37.020,82.35,21.71
finance/www.bloomberg.com/cra.html,7.940,-3.524,-0.290,8.190,8.380,7.810,17.56,5.03
finance/www.bloomberg.com/celg.html,43.230,-0.208,-0.090,43.640,43.640,42.680,77.39,36.90
finance/www.bloomberg.com/ctx.html,8.480,-0.469,-0.040,8.540,8.550,8.260,18.71,4.91
finance/www.bloomberg.com/ctl.html,32.060,-3.463,-1.150,32.380,32.380,31.400,40.35,20.45
finance/www.bloomberg.com/cf.html,82.500,-0.410,-0.340,82.130,83.710,80.980,172.99,37.71
finance/www.bloomberg.com/chkp.html,24.090,1.049,0.250,23.830,24.170,23.690,25.74,16.80
finance/www.bloomberg.com/cvx.html,72.670,1.071,0.770,71.190,72.750,70.690,100.90,55.50
finance/www.bloomberg.com/chl.html,52.980,-1.962,-1.060,52.670,53.030,52.260,71.70,34.33
finance/www.bloomberg.com/china.html,1.660,3.106,0.050,1.640,1.660,1.570,3.17,0.65
finance/www.bloomberg.com/cb.html,40.820,-1.018,-0.420,41.200,41.240,40.560,69.39,33.47
finance/www.bloomberg.com/ci.html,20.890,-0.048,-0.010,20.630,21.160,20.210,44.14,8.00
finance/www.bloomberg.com/cinf.html,23.840,-0.667,-0.160,23.860,24.150,23.695,35.00,13.68
finance/www.bloomberg.com/csco.html,19.910,-0.945,-0.190,19.930,20.000,19.630,26.70,13.61
finance/www.bloomberg.com/c.html,3.470,-0.287,-0.010,3.470,3.550,3.440,23.50,0.97
finance/www.bloomberg.com/ctxs.html,34.100,2.126,0.710,33.240,34.190,32.800,34.41,19.00
finance/www.bloomberg.com/ccu.html,35.690,4.326,1.480,33.910,35.990,33.850,36.16,22.54
finance/www.bloomberg.com/clx.html,56.390,5.107,2.740,54.600,56.490,54.360,65.00,45.67
finance/www.bloomberg.com/cms.html,12.300,2.075,0.250,11.990,12.370,11.900,15.89,8.33
finance/www.bloomberg.com/coke.html,56.350,-0.530,-0.300,56.720,56.720,55.670,57.11,31.41
finance/www.bloomberg.com/ko.html,48.890,0.638,0.310,48.680,49.040,48.480,57.10,37.44
finance/www.bloomberg.com/cce.html,17.180,-1.547,-0.270,17.320,17.400,17.070,19.60,7.25
finance/www.bloomberg.com/cl.html,71.380,1.594,1.120,69.960,72.000,69.790,80.49,54.36
finance/www.bloomberg.com/cmcsk.html,13.730,-1.081,-0.150,13.690,13.750,13.390,22.37,10.33
finance/www.bloomberg.com/cma.html,22.630,-0.789,-0.180,22.840,23.150,22.380,43.99,11.72
finance/www.bloomberg.com/ca.html,17.730,-0.617,-0.110,17.690,17.990,17.460,24.67,12.00
finance/www.bloomberg.com/csc.html,44.990,0.784,0.350,45.060,45.120,44.095,49.37,23.93
finance/www.bloomberg.com/cpwr.html,7.430,-1.065,-0.080,7.440,7.660,7.305,11.91,5.08
finance/www.bloomberg.com/cmvt.html,7.600,0.662,0.050,7.500,7.700,7.500,18.73,4.98
finance/www.bloomberg.com/cag.html,19.460,-0.815,-0.160,19.520,19.690,19.340,23.12,13.52
finance/www.bloomberg.com/ed.html,37.080,1.091,0.400,36.490,37.150,36.130,46.39,32.56
finance/www.bloomberg.com/ceg.html,27.230,1.001,0.270,26.900,27.470,26.700,86.72,13.00
finance/www.bloomberg.com/cal.html,9.090,-1.730,-0.160,9.250,9.460,9.050,21.83,5.91
finance/www.bloomberg.com/cvg.html,9.280,-1.382,-0.130,9.400,9.400,9.151,16.99,4.02
finance/www.bloomberg.com/cbe.html,34.130,-0.843,-0.290,34.240,34.260,33.670,49.64,18.86
finance/www.bloomberg.com/ctb.html,9.220,-7.430,-0.740,9.880,9.880,8.950,12.15,2.96
finance/www.bloomberg.com/glw.html,15.890,-0.439,-0.070,15.820,15.900,15.410,27.56,7.36
finance/www.bloomberg.com/cost.html,47.030,1.643,0.760,46.350,47.100,45.960,74.89,38.17
finance/www.bloomberg.com/cr.html,24.060,-2.473,-0.610,24.590,24.590,23.823,42.79,10.87
finance/www.bloomberg.com/cree.html,28.740,-2.112,-0.620,29.310,29.360,28.300,31.75,12.57
finance/www.bloomberg.com/cck.html,23.250,-1.774,-0.420,23.610,23.620,23.010,29.60,13.37
finance/www.bloomberg.com/csx.html,36.520,4.762,1.660,35.130,36.573,34.765,69.50,20.70
finance/www.bloomberg.com/crgn.html,1.380,-0.719,-0.010,1.370,1.390,1.350,1.48,0.41
finance/www.bloomberg.com/cvs.html,30.350,0.264,0.080,30.080,30.360,29.900,42.78,23.19
finance/www.bloomberg.com/dhr.html,62.770,-0.743,-0.470,63.030,63.030,62.000,85.00,47.20
finance/www.bloomberg.com/dri.html,33.800,2.517,0.830,32.840,33.830,32.670,41.21,13.21
finance/www.bloomberg.com/de.html,44.770,-0.688,-0.310,44.680,44.780,43.700,81.22,24.51
finance/www.bloomberg.com/dell.html,13.390,0.904,0.120,13.220,13.400,13.050,26.04,7.84
finance/www.bloomberg.com/dal.html,6.400,-4.192,-0.280,6.680,6.740,6.370,12.65,3.51
finance/www.bloomberg.com/del.html,38.570,2.037,0.770,37.600,38.850,37.090,75.08,26.94
finance/www.bloomberg.com/dlx.html,14.710,-2.712,-0.410,14.990,14.990,14.260,21.13,6.20
finance/www.bloomberg.com/dds.html,10.040,3.826,0.370,9.590,10.080,9.460,15.37,2.50
finance/www.bloomberg.com/dis.html,25.060,-0.674,-0.170,25.030,25.390,24.520,34.85,15.14
finance/www.bloomberg.com/dltr.html,43.290,-0.391,-0.170,43.360,43.700,42.560,46.74,30.17
finance/www.bloomberg.com/d.html,33.390,1.335,0.440,32.880,33.520,32.440,48.50,27.15
finance/www.bloomberg.com/dov.html,36.160,-0.110,-0.040,35.860,36.160,35.350,52.43,21.79
finance/www.bloomberg.com/dow.html,17.340,-0.516,-0.090,17.320,17.500,17.050,39.99,5.89
finance/www.bloomberg.com/dte.html,31.960,1.364,0.430,31.300,32.100,31.150,44.97,23.32
finance/www.bloomberg.com/duk.html,14.670,1.593,0.230,14.410,14.760,14.250,19.10,11.72
finance/www.bloomberg.com/dnb.html,83.550,-0.370,-0.310,83.460,83.700,82.550,98.90,64.00
finance/www.bloomberg.com/dd.html,27.000,-0.406,-0.110,27.040,27.240,26.610,48.22,16.05
finance/www.bloomberg.com/elnk.html,7.770,-1.271,-0.100,7.880,7.900,7.650,10.16,5.52
finance/www.bloomberg.com/emn.html,40.650,-2.237,-0.930,41.310,41.310,40.130,75.81,17.76
finance/www.bloomberg.com/ek.html,2.950,2.431,0.070,2.850,2.960,2.782,17.71,2.01
finance/www.bloomberg.com/etn.html,49.180,0.923,0.450,48.500,49.220,48.040,97.93,30.02
finance/www.bloomberg.com/ebay.html,17.800,-0.447,-0.080,17.940,17.950,17.450,29.33,9.91
finance/www.bloomberg.com/elon.html,8.060,2.806,0.220,7.770,8.090,7.660,15.74,4.92
finance/www.bloomberg.com/dish.html,15.330,-1.415,-0.220,15.500,15.710,14.990,34.10,8.34
finance/www.bloomberg.com/ecl.html,38.690,0.703,0.270,38.210,38.800,37.940,52.16,29.27
finance/www.bloomberg.com/eix.html,32.490,2.138,0.680,31.720,32.520,31.230,53.00,23.09
finance/www.bloomberg.com/erts.html,21.930,0.274,0.060,21.800,22.035,21.600,50.17,14.24
finance/www.bloomberg.com/emc.html,13.260,1.376,0.180,13.010,13.280,12.740,16.67,8.25
finance/www.bloomberg.com/emr.html,35.070,0.372,0.130,34.800,35.080,34.330,56.41,24.39
finance/www.bloomberg.com/ec.html,24.770,-0.482,-0.120,24.420,25.000,24.410,27.38,13.66
finance/www.bloomberg.com/etr.html,78.240,2.934,2.230,75.820,78.667,74.950,123.14,59.87
finance/www.bloomberg.com/enz.html,5.490,0.734,0.040,5.410,5.490,5.300,14.90,2.70
finance/www.bloomberg.com/efx.html,27.290,-0.037,-0.010,27.070,27.290,26.730,37.29,19.38
finance/www.bloomberg.com/xom.html,73.780,-0.365,-0.270,73.430,74.160,73.100,89.63,56.51
finance/www.bloomberg.com/fre.html,0.700,-1.408,-0.010,0.700,0.710,0.690,24.23,0.25
finance/www.bloomberg.com/fnm.html,0.660,-1.493,-0.010,0.662,0.670,0.650,25.99,0.30
finance/www.bloomberg.com/fdx.html,54.390,-3.152,-1.770,55.750,56.220,53.630,96.99,34.02
finance/www.bloomberg.com/fitb.html,8.030,3.346,0.260,7.750,8.030,7.740,21.00,1.01
finance/www.bloomberg.com/fe.html,40.480,3.556,1.390,39.010,40.600,38.560,84.00,35.26
finance/www.bloomberg.com/flex.html,4.400,-4.762,-0.220,4.580,4.600,4.350,10.99,1.23
finance/www.bloomberg.com/flr.html,53.850,0.056,0.030,53.220,53.850,52.800,101.36,28.60
finance/www.bloomberg.com/fmc.html,52.450,-1.539,-0.820,52.590,52.810,52.020,80.23,28.53
finance/www.bloomberg.com/f.html,6.110,2.174,0.130,6.010,6.150,5.920,6.75,1.01
finance/www.bloomberg.com/fo.html,37.030,-0.081,-0.030,36.890,37.130,36.260,66.72,17.68
finance/www.bloomberg.com/fosl.html,23.120,-2.241,-0.530,23.500,23.640,22.663,33.36,11.00
finance/www.bloomberg.com/fpl.html,57.390,1.539,0.870,56.330,57.900,55.720,68.76,33.81
finance/www.bloomberg.com/ben.html,75.990,-0.511,-0.390,76.600,76.890,74.640,133.37,37.11
finance/www.bloomberg.com/fcx.html,58.510,-3.161,-1.910,59.400,60.270,58.090,126.64,15.70
finance/www.bloomberg.com/fcel.html,4.590,-2.548,-0.120,4.630,4.770,4.500,8.83,1.98
finance/www.bloomberg.com/gci.html,4.220,-1.402,-0.060,4.250,4.270,4.150,26.10,1.85
finance/www.bloomberg.com/gps.html,16.370,0.863,0.140,16.520,16.610,15.900,20.80,9.41
finance/www.bloomberg.com/gd.html,59.760,0.793,0.470,59.170,60.030,58.630,94.41,35.28
finance/www.bloomberg.com/ge.html,13.510,0.371,0.050,13.450,13.520,13.290,30.39,5.73
finance/www.bloomberg.com/gis.html,54.920,0.384,0.210,54.630,55.110,54.210,72.01,46.37
finance/www.bloomberg.com/osci.html,0.270,-28.000,-0.105,0.251,0.315,0.251,1.80,0.06
finance/www.bloomberg.com/gpc.html,33.790,-0.207,-0.070,33.750,33.970,33.430,44.20,24.93
finance/www.bloomberg.com/g.html,11.260,-0.618,-0.070,11.150,11.260,10.870,15.70,6.30
finance/www.bloomberg.com/gr.html,53.360,3.171,1.640,51.720,53.360,51.540,55.34,25.11
finance/www.bloomberg.com/gt.html,12.410,-5.122,-0.670,12.970,13.050,12.170,23.14,3.17
finance/www.bloomberg.com/goog.html,424.840,-0.970,-4.160,426.860,427.700,421.210,579.10,247.30
finance/www.bloomberg.com/gra.html,13.480,-1.892,-0.260,13.580,13.700,13.280,28.09,2.95
finance/www.bloomberg.com/gww.html,83.810,-0.369,-0.310,83.840,83.960,82.910,93.99,58.86
finance/www.bloomberg.com/gap.html,4.980,3.106,0.150,4.790,5.000,4.760,25.39,3.01
finance/www.bloomberg.com/ges.html,26.560,1.529,0.400,26.230,26.670,25.350,43.13,10.26
finance/www.bloomberg.com/hal.html,23.990,-1.397,-0.340,23.750,24.130,23.600,55.38,12.80
finance/www.bloomberg.com/hig.html,12.950,-8.026,-1.130,13.500,13.600,12.800,73.89,3.33
finance/www.bloomberg.com/has.html,25.090,-3.611,-0.940,25.490,25.650,24.740,41.68,21.14
finance/www.bloomberg.com/hlth.html,11.920,0.931,0.110,11.680,12.010,11.620,12.70,6.80
finance/www.bloomberg.com/hnz.html,36.320,0.805,0.290,36.120,36.460,35.840,53.00,30.51
finance/www.bloomberg.com/hp.html,34.920,-2.020,-0.720,35.110,35.130,33.860,77.24,17.01
finance/www.bloomberg.com/hsy.html,35.390,0.511,0.180,35.010,35.450,34.900,44.32,30.27
finance/www.bloomberg.com/hd.html,24.150,-0.330,-0.080,24.190,24.240,23.830,30.74,17.05
finance/www.bloomberg.com/hmc.html,28.860,-1.569,-0.460,28.820,28.890,28.510,36.29,17.35
finance/www.bloomberg.com/hon.html,35.410,-1.062,-0.380,35.600,35.670,35.048,56.88,23.06
finance/www.bloomberg.com/hott.html,7.140,-2.192,-0.160,7.270,7.300,6.950,13.87,4.61
finance/www.bloomberg.com/hgsi.html,2.890,-9.404,-0.300,2.890,3.000,2.765,8.00,0.45
finance/www.bloomberg.com/hum.html,29.410,1.065,0.310,28.900,29.630,28.440,51.39,18.57
finance/www.bloomberg.com/hban.html,4.150,0.484,0.020,4.110,4.260,4.110,13.50,1.00
finance/www.bloomberg.com/itw.html,38.080,0.555,0.210,37.730,38.190,37.280,51.00,25.60
finance/www.bloomberg.com/rx.html,13.290,6.405,0.800,12.450,13.350,12.330,23.93,9.62
finance/www.bloomberg.com/n.html,11.840,5.714,0.640,11.250,11.910,11.150,22.25,5.43
finance/www.bloomberg.com/incy.html,3.330,0.301,0.010,3.350,3.440,3.230,10.42,1.85
finance/www.bloomberg.com/insp.html,7.210,1.122,0.080,7.100,7.280,7.000,11.94,5.07
finance/www.bloomberg.com/infy.html,37.120,-0.027,-0.010,36.550,37.130,36.300,47.41,21.10
finance/www.bloomberg.com/ir.html,23.060,0.831,0.190,22.740,23.060,22.440,41.14,11.46
finance/www.bloomberg.com/intc.html,16.310,-0.245,-0.040,16.240,16.310,16.020,24.75,12.05
finance/www.bloomberg.com/icge.html,6.070,0.165,0.010,6.010,6.130,5.970,9.84,3.04
finance/www.bloomberg.com/ipg.html,6.000,0.503,0.030,5.920,6.000,5.830,9.69,2.57
finance/www.bloomberg.com/isil.html,13.020,-2.399,-0.320,13.250,13.250,12.770,27.34,7.18
finance/www.bloomberg.com/ibm.html,108.210,-1.088,-1.190,108.400,109.280,107.750,130.93,69.50
finance/www.bloomberg.com/iff.html,32.960,-0.603,-0.200,33.000,33.150,32.550,45.21,24.72
finance/www.bloomberg.com/ip.html,15.810,1.737,0.270,15.410,15.850,15.005,31.07,3.93
finance/www.bloomberg.com/intu.html,28.640,0.774,0.220,28.340,28.640,28.010,32.00,20.18
finance/www.bloomberg.com/itt.html,46.660,1.149,0.530,45.950,46.730,45.550,69.73,31.94
finance/www.bloomberg.com/jbl.html,7.550,-0.788,-0.060,7.570,7.610,7.400,18.78,3.10
finance/www.bloomberg.com/jkhy.html,19.090,-0.417,-0.080,19.020,19.120,18.830,24.45,14.29
finance/www.bloomberg.com/jnj.html,56.060,0.018,0.010,55.880,56.540,55.720,72.76,46.25
finance/www.bloomberg.com/jci.html,21.570,-1.999,-0.440,21.900,21.910,21.090,36.00,8.35
finance/www.bloomberg.com/jnpr.html,23.870,-0.042,-0.010,23.580,23.930,23.430,27.65,12.43
finance/www.bloomberg.com/kbh.html,14.090,-2.491,-0.360,14.360,14.500,13.820,25.43,6.90
finance/www.bloomberg.com/kei.html,3.990,-12.882,-0.590,4.400,4.510,3.990,10.65,1.86
finance/www.bloomberg.com/k.html,44.550,1.365,0.600,43.850,44.610,43.500,58.51,35.64
finance/www.bloomberg.com/key.html,6.120,2.513,0.150,5.970,6.170,5.920,18.48,4.40
finance/www.bloomberg.com/keyn.html,8.730,3.314,0.280,8.410,8.881,8.200,14.31,6.34
finance/www.bloomberg.com/kmb.html,52.730,0.591,0.310,52.160,52.950,52.150,66.66,43.05
finance/www.bloomberg.com/klac.html,25.880,-1.895,-0.500,26.360,26.570,25.410,43.06,14.81
finance/www.bloomberg.com/kss.html,46.590,1.459,0.670,46.330,46.680,45.150,56.00,24.28
finance/www.bloomberg.com/kkd.html,3.440,0.880,0.030,3.380,3.450,3.310,5.65,1.01
finance/www.bloomberg.com/kr.html,21.720,-0.595,-0.130,21.850,21.898,21.490,30.99,19.39
finance/www.bloomberg.com/ksws.html,8.860,-0.784,-0.070,8.880,8.910,8.510,17.65,6.44
finance/www.bloomberg.com/kyo.html,76.940,-1.510,-1.180,77.150,77.290,76.450,100.78,45.41
finance/www.bloomberg.com/lrcx.html,25.640,-0.466,-0.120,25.740,26.020,24.810,40.42,14.72
finance/www.bloomberg.com/leg.html,15.500,-1.587,-0.250,15.690,15.760,15.215,24.60,10.03
finance/www.bloomberg.com/lxk.html,16.270,-0.732,-0.120,16.340,16.540,16.120,37.01,14.82
finance/www.bloomberg.com/lly.html,34.290,-0.262,-0.090,34.390,34.840,34.070,49.78,27.21
finance/www.bloomberg.com/lnc.html,17.750,-6.332,-1.200,18.700,18.770,17.200,59.99,4.76
finance/www.bloomberg.com/lltc.html,23.580,-0.590,-0.140,23.800,23.800,23.030,34.49,17.69
finance/www.bloomberg.com/liz.html,4.630,-8.858,-0.450,4.990,4.990,4.540,20.14,1.46
finance/www.bloomberg.com/lmt.html,82.770,0.669,0.550,81.690,82.880,81.610,120.30,57.41
finance/www.bloomberg.com/lpx.html,4.420,4.492,0.190,4.230,4.420,4.180,11.75,1.03
finance/www.bloomberg.com/low.html,19.850,-0.501,-0.100,19.860,19.930,19.540,28.49,13.00
finance/www.bloomberg.com/mar.html,24.010,-0.373,-0.090,23.890,24.200,23.630,30.27,11.88
finance/www.bloomberg.com/mmc.html,20.640,0.292,0.060,20.550,20.660,20.300,36.82,17.18
finance/www.bloomberg.com/mso.html,3.270,0.615,0.020,3.250,3.330,3.210,9.99,1.60
finance/www.bloomberg.com/mas.html,9.930,-0.799,-0.080,9.960,10.060,9.640,22.00,3.64
finance/www.bloomberg.com/mat.html,16.280,-1.453,-0.240,16.270,16.430,16.000,21.95,10.36
finance/www.bloomberg.com/mxim.html,16.510,-0.542,-0.090,16.490,16.620,16.260,22.80,10.72
finance/www.bloomberg.com/mbi.html,5.850,0.171,0.010,5.710,5.950,5.710,19.08,2.17
finance/www.bloomberg.com/mdr.html,23.280,-3.161,-0.760,23.600,23.828,23.062,64.82,5.98
finance/www.bloomberg.com/mcd.html,58.360,1.196,0.690,57.720,58.480,57.500,67.00,45.79
finance/www.bloomberg.com/mhp.html,31.990,0.251,0.080,31.720,31.990,31.320,47.13,17.15
finance/www.bloomberg.com/mck.html,42.980,-0.163,-0.070,42.930,43.160,42.240,60.45,28.27
finance/www.bloomberg.com/medx.html,7.280,-0.274,-0.020,7.210,7.390,7.210,10.12,3.40
finance/www.bloomberg.com/mdt.html,33.620,-0.356,-0.120,33.620,33.825,33.230,56.97,24.06
finance/www.bloomberg.com/mrk.html,26.080,-0.420,-0.110,26.120,27.070,25.680,38.90,20.05
finance/www.bloomberg.com/mdp.html,28.200,-1.399,-0.400,28.330,28.470,27.330,31.31,10.60
finance/www.bloomberg.com/met.html,31.080,-2.936,-0.940,31.950,32.090,30.500,65.50,11.37
finance/www.bloomberg.com/mgm.html,7.130,2.149,0.150,7.070,7.150,6.710,43.64,1.81
finance/www.bloomberg.com/mtg.html,4.800,-2.240,-0.110,4.760,4.940,4.680,12.50,0.70
finance/www.bloomberg.com/mgg.html,21.100,1.834,0.380,20.680,21.150,20.500,23.82,11.28
