url,NUMBER : value,NUMBER : var %,NUMBER : var $,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/www.quote.com/cmcsk.html,13.73,-1.08,-0.15,13.69,13.75,13.39,"4,576,784",22.37,10.33
finance/www.quote.com/cma.html,22.63,-0.79,-0.18,22.84,23.15,22.38,"1,960,754",54.00,11.72
finance/www.quote.com/ca.html,17.73,-0.62,-0.11,17.69,17.99,17.46,"3,595,606",24.67,12.00
finance/www.quote.com/csc.html,44.99,0.78,0.35,45.06,45.12,44.095,"1,133,822",49.37,23.93
finance/www.quote.com/cpwr.html,7.43,-1.07,-0.08,7.44,7.66,7.305,"2,904,081",11.91,5.08
finance/www.quote.com/cmvt.html,7.60,0.66,0.05,7.50,7.70,7.50,"165,015",18.94,4.98
finance/www.quote.com/cag.html,19.46,-0.82,-0.16,19.52,19.69,19.34,"4,408,301",23.505,13.52
finance/www.quote.com/ed.html,37.08,1.09,0.40,36.49,37.15,36.1301,"1,755,160",46.39,32.56
finance/www.quote.com/ceg.html,27.23,1.00,0.27,26.90,27.47,26.70,"3,096,042",87.04,13.00
finance/www.quote.com/cal.html,9.09,-1.73,-0.16,9.25,9.46,9.05,"4,564,492",21.83,5.91
finance/www.quote.com/cvg.html,9.28,-1.38,-0.13,9.40,9.40,9.1508,"555,634",16.99,4.02
finance/www.quote.com/cbe.html,34.13,-0.84,-0.29,34.24,34.26,33.67,"2,088,234",49.64,18.86
finance/www.quote.com/ctb.html,9.22,-7.43,-0.74,9.88,9.88,8.95,"1,237,578",12.15,2.96
finance/www.quote.com/glw.html,15.89,-0.44,-0.07,15.82,15.90,15.41,"10,949,120",27.56,7.36
finance/www.quote.com/cost.html,47.03,1.64,0.76,46.35,47.10,45.96,"4,735,611",74.89,38.1701
finance/www.quote.com/cree.html,28.74,-2.11,-0.62,29.31,29.36,28.30,"1,424,633",31.75,12.57
finance/www.quote.com/cck.html,23.25,-1.77,-0.42,23.61,23.62,23.01,"1,741,720",29.60,13.37
finance/www.quote.com/crgn.html,1.38,-0.72,-0.01,1.37,1.39,1.35,"545,924",1.48,0.41
finance/www.quote.com/cvs.html,30.35,0.26,0.08,30.08,30.36,29.90,"7,274,355",42.78,23.19
finance/www.quote.com/dcx.html,7.88,1.68,0.13,7.98,7.98,7.88,0,9.61,5.43
finance/www.quote.com/dhr.html,62.77,-0.74,-0.47,63.03,63.03,62.00,"1,456,590",85.00,47.20
finance/www.quote.com/dri.html,33.80,2.52,0.83,32.84,33.83,32.67,"2,024,967",41.21,13.21
finance/www.quote.com/de.html,44.77,-0.69,-0.31,44.68,44.78,43.70,"3,587,279",81.22,24.51
finance/www.quote.com/dell.html,13.39,0.90,0.12,13.22,13.40,13.05,"25,270,320",26.04,7.84
finance/www.quote.com/dal.html,6.40,-4.19,-0.28,6.68,6.74,6.37,"11,727,463",12.65,3.51
finance/www.quote.com/del.html,38.57,2.04,0.77,37.60,38.85,37.09,"40,765",75.08,26.9375
finance/www.quote.com/dlx.html,14.71,-2.71,-0.41,14.99,14.99,14.26,"222,798",21.13,6.20
finance/www.quote.com/dia.html,88.31,0.51,0.45,87.60,88.33,87.37,"12,743,832",123.43,64.78
finance/www.quote.com/dds.html,10.04,3.83,0.37,9.59,10.08,9.46,"755,492",15.37,2.50
finance/www.quote.com/dis.html,25.06,-0.67,-0.17,25.03,25.39,24.52,"7,332,339",34.85,15.14
finance/www.quote.com/dltr.html,43.29,-0.39,-0.17,43.36,43.70,42.56,"1,171,711",46.735,27.6111
finance/www.quote.com/d.html,33.39,1.34,0.44,32.88,33.52,32.44,"3,535,508",48.50,27.149
finance/www.quote.com/dov.html,36.16,-0.11,-0.04,35.86,36.16,35.35,"1,419,848",52.43,21.79
finance/www.quote.com/dow.html,17.34,-0.52,-0.09,17.32,17.50,17.05,"9,925,352",39.99,5.89
finance/www.quote.com/dte.html,31.96,1.36,0.43,31.30,32.10,31.15,"908,450",44.97,23.32
finance/www.quote.com/duk.html,14.67,1.59,0.23,14.41,14.76,14.25,"14,473,344",19.10,11.72
finance/www.quote.com/dnb.html,83.55,-0.37,-0.31,83.46,83.70,82.55,"229,914",98.90,64.00
finance/www.quote.com/dd.html,27.00,-0.41,-0.11,27.04,27.24,26.61,"7,121,153",48.22,16.05
finance/www.quote.com/elnk.html,7.77,-1.27,-0.10,7.88,7.90,7.65,"726,400",10.16,5.52
finance/www.quote.com/emn.html,40.65,-2.24,-0.93,41.31,41.31,40.13,"742,733",75.81,17.76
finance/www.quote.com/ek.html,2.95,2.43,0.07,2.85,2.96,2.782,"2,773,119",17.71,2.01
finance/www.quote.com/etn.html,49.18,0.92,0.45,48.50,49.22,48.04,"1,024,801",97.93,30.02
finance/www.quote.com/ebay.html,17.80,-0.45,-0.08,17.94,17.95,17.45,"10,883,867",29.33,9.91
finance/www.quote.com/elon.html,8.06,2.81,0.22,7.77,8.0895,7.66,"158,998",15.74,4.92
finance/www.quote.com/dish.html,15.33,-1.41,-0.22,15.50,15.71,14.99,"3,887,215",34.34,8.34
finance/www.quote.com/ecl.html,38.69,1.07,0.41,38.21,38.80,37.94,"1,602,171",52.16,29.27
finance/www.quote.com/eix.html,32.49,2.14,0.68,31.72,32.52,31.23,"3,656,784",53.065,23.09
finance/www.quote.com/erts.html,21.93,0.27,0.06,21.80,22.035,21.60,"5,139,125",50.17,14.24
finance/www.quote.com/eds.html,24.96,0.00,0.00,24.94,24.96,24.94,0,24.96,24.39
finance/www.quote.com/emc.html,13.26,1.38,0.18,13.01,13.28,12.74,"21,410,091",16.67,8.25
finance/www.quote.com/emr.html,35.07,0.37,0.13,34.80,35.08,34.33,"3,594,187",56.41,24.39
finance/www.quote.com/etr.html,78.24,2.93,2.23,75.82,78.667,74.95,"1,600,896",123.14,59.87
finance/www.quote.com/enz.html,5.49,0.73,0.04,5.41,5.49,5.30,"81,914",14.90,2.70
finance/www.quote.com/efx.html,27.29,-0.04,-0.01,27.07,27.29,26.73,"1,170,331",37.29,19.38
finance/www.quote.com/xom.html,73.78,-0.36,-0.27,73.43,74.16,73.10,"21,698,405",89.63,56.51
finance/www.quote.com/fre.html,0.70,-1.41,-0.01,0.7005,0.71,0.69,"4,772,987",24.23,0.25
finance/www.quote.com/fnm.html,0.66,-1.49,-0.01,0.6617,0.67,0.65,"10,702,263",25.99,0.30
finance/www.quote.com/fdx.html,54.39,-3.15,-1.77,55.75,56.22,53.63,"3,844,319",96.99,34.02
finance/www.quote.com/fitb.html,8.03,3.35,0.26,7.75,8.03,7.74,"22,625,444",21.00,1.01
finance/www.quote.com/fe.html,40.48,3.56,1.39,39.01,40.60,38.56,"4,120,716",84.00,35.26
finance/www.quote.com/flex.html,4.40,-4.76,-0.22,4.58,4.60,4.35,"4,894,772",10.99,1.23
finance/www.quote.com/flr.html,53.85,0.06,0.03,53.22,53.85,52.80,"2,637,308",101.365,28.60
finance/www.quote.com/fmc.html,52.45,-1.54,-0.82,52.59,52.81,52.02,"841,536",80.23,28.53
finance/www.quote.com/f.html,6.11,2.17,0.13,6.01,6.15,5.92,"54,584,184",6.75,1.01
finance/www.quote.com/fo.html,37.03,-0.08,-0.03,36.89,37.13,36.26,"857,798",66.72,17.675
finance/www.quote.com/fosl.html,23.12,-2.24,-0.53,23.50,23.64,22.663,"478,718",33.36,11.00
finance/www.quote.com/fdry.html,16.66,0.24,0.04,16.67,16.69,16.65,0,,
finance/www.quote.com/fpl.html,57.39,1.54,0.87,56.33,57.90,55.72,"1,827,107",68.76,33.81
finance/www.quote.com/ben.html,75.99,-0.51,-0.39,76.60,76.89,74.64,"1,060,548",109.00,37.11
finance/www.quote.com/fcx.html,58.51,-3.16,-1.91,59.40,60.27,58.09,"17,173,569",126.64,15.70
finance/www.quote.com/fcel.html,4.59,-2.55,-0.12,4.63,4.77,4.50,"659,644",8.83,1.98
finance/www.quote.com/gci.html,4.22,-1.40,-0.06,4.25,4.27,4.1499,"2,597,449",26.42,1.85
finance/www.quote.com/gps.html,16.37,0.86,0.14,16.52,16.61,15.90,"8,544,065",20.80,9.41
finance/www.quote.com/dna.html,94.97,0.23,0.22,95.00,95.00,94.97,0,,
finance/www.quote.com/gm.html,0.75,13.64,0.09,0.51,1.01,0.48,0,,
finance/www.quote.com/gd.html,59.76,0.79,0.47,59.17,60.03,58.63,"1,535,783",94.41,35.28
finance/www.quote.com/ge.html,13.51,0.37,0.05,13.45,13.52,13.29,"57,438,407",30.39,5.7279
finance/www.quote.com/gis.html,54.92,0.38,0.21,54.63,55.11,54.21,"1,818,304",72.01,46.37
finance/www.quote.com/osci.html,0.27,-28.00,-0.105,0.251,0.315,0.2508,"32,202,381",1.80,0.061
finance/www.quote.com/gpc.html,33.79,-0.21,-0.07,33.75,33.97,33.43,"717,800",44.20,24.93
finance/www.quote.com/gp.html,"1,263.87",-2.41,-31.22,"1,282.71","1,282.74","1,259.36",,,
finance/www.quote.com/g.html,11.26,-0.62,-0.07,11.15,11.26,10.87,"193,096",15.70,6.30
finance/www.quote.com/gr.html,53.36,3.17,1.64,51.72,53.36,51.54,"1,440,325",55.34,25.11
finance/www.quote.com/goog.html,424.84,-0.97,-4.16,426.86,427.70,421.21,"2,918,429",579.10,247.30
finance/www.quote.com/gra.html,13.48,-1.89,-0.26,13.58,13.70,13.28,"230,234",28.094,2.95
finance/www.quote.com/gww.html,83.81,-0.37,-0.31,83.84,83.96,82.91,"836,313",93.99,58.86
finance/www.quote.com/gap.html,4.98,3.11,0.15,4.79,5.00,4.76,"586,795",25.39,3.01
finance/www.quote.com/ges.html,26.56,1.53,0.40,26.23,26.67,25.35,"2,319,573",43.126,10.26
finance/www.quote.com/hal.html,23.99,-1.40,-0.34,23.75,24.13,23.60,"15,072,420",55.38,12.80
finance/www.quote.com/hig.html,12.95,-8.03,-1.13,13.50,13.60,12.80,"20,403,412",73.89,3.33
finance/www.quote.com/has.html,25.09,-3.61,-0.94,25.49,25.65,24.74,"3,273,163",41.68,21.14
finance/www.quote.com/hlth.html,11.92,0.93,0.11,11.68,12.01,11.62,"556,532",12.70,6.80
finance/www.quote.com/hnz.html,36.32,0.80,0.29,36.12,36.46,35.84,"2,037,039",53.00,30.51
finance/www.quote.com/hp.html,34.92,-2.02,-0.72,35.11,35.13,33.86,"1,424,822",77.24,17.01
finance/www.quote.com/hpc.html,19.17,-0.21,-0.04,19.44,19.89,18.87,0,,
finance/www.quote.com/hsy.html,35.39,0.51,0.18,35.01,35.45,34.90,"580,972",44.32,30.27
finance/www.quote.com/hd.html,24.15,-0.33,-0.08,24.19,24.24,23.8298,"18,283,987",30.74,17.05
finance/www.quote.com/hmc.html,28.86,-1.57,-0.46,28.82,28.89,28.51,"656,521",36.29,17.35
finance/www.quote.com/hon.html,35.41,-1.06,-0.38,35.60,35.67,35.0475,"4,422,483",56.88,23.06
finance/www.quote.com/hott.html,7.14,-2.19,-0.16,7.27,7.30,6.95,"1,741,202",13.87,4.61
finance/www.quote.com/hgsi.html,2.89,-9.40,-0.30,2.89,3.00,2.765,"9,788,301",8.00,0.45
finance/www.quote.com/hum.html,29.41,1.07,0.31,28.90,29.63,28.44,"1,926,098",51.39,18.57
finance/www.quote.com/hban.html,4.15,0.48,0.02,4.11,4.26,4.11,"24,840,740",13.50,1.00
finance/www.quote.com/itw.html,38.08,0.55,0.21,37.73,38.1903,37.28,"3,334,496",51.00,25.60
finance/www.quote.com/rx.html,13.29,6.41,0.80,12.45,13.35,12.33,"3,759,504",23.93,9.625
finance/www.quote.com/n.html,11.84,5.71,0.64,11.25,11.91,11.15,"167,786",22.25,5.43
finance/www.quote.com/incy.html,3.33,0.30,0.01,3.35,3.44,3.23,"1,079,243",10.42,1.85
finance/www.quote.com/insp.html,7.21,1.12,0.08,7.10,7.28,7.00,"99,360",11.94,5.07
finance/www.quote.com/infy.html,37.12,-0.03,-0.01,36.55,37.13,36.30,"1,814,687",47.41,21.10
finance/www.quote.com/ir.html,23.06,0.83,0.19,22.74,23.06,22.44,"4,848,617",41.14,11.46
finance/www.quote.com/intc.html,16.31,-0.24,-0.04,16.24,16.31,16.02,"47,625,571",24.75,12.05
finance/www.quote.com/icge.html,6.07,0.17,0.01,6.01,6.13,5.97,"145,743",9.84,3.04
finance/www.quote.com/ipg.html,6.00,0.50,0.03,5.92,6.00,5.83,"2,966,249",9.69,2.57
finance/www.quote.com/isil.html,13.02,-2.40,-0.32,13.25,13.25,12.77,"2,250,109",27.34,7.18
finance/www.quote.com/ibm.html,108.21,-1.09,-1.19,108.40,109.28,107.75,"7,250,917",130.93,69.50
finance/www.quote.com/iff.html,32.96,-0.60,-0.20,33.00,33.15,32.55,"625,251",45.21,24.72
finance/www.quote.com/intu.html,28.64,0.77,0.22,28.34,28.64,28.01,"2,289,884",32.00,20.183
finance/www.quote.com/itt.html,46.66,1.15,0.53,45.95,46.73,45.55,"1,300,741",69.73,31.94
finance/www.quote.com/jbl.html,7.55,-0.79,-0.06,7.57,7.61,7.40,"2,254,353",18.78,3.10
finance/www.quote.com/jkhy.html,19.09,-0.42,-0.08,19.02,19.12,18.83,"388,395",24.45,14.29
finance/www.quote.com/jbx.html,20.04,5.70,1.08,18.08,20.22,18.08,0,,
finance/www.quote.com/jnj.html,56.06,0.02,0.01,55.88,56.54,55.72,"11,882,289",72.76,46.25
finance/www.quote.com/jci.html,21.57,-2.00,-0.44,21.90,21.91,21.09,"5,372,819",36.00,8.35
finance/www.quote.com/jnpr.html,23.87,-0.04,-0.01,23.58,23.93,23.43,"6,592,309",27.65,12.43
finance/www.quote.com/kbh.html,14.09,-2.49,-0.36,14.36,14.50,13.82,"3,030,621",25.43,6.90
finance/www.quote.com/kei.html,3.99,-12.65,-0.578,4.40,4.51,3.99,"46,380",10.65,1.86
finance/www.quote.com/k.html,44.55,1.37,0.60,43.85,44.61,43.50,"1,921,859",58.51,35.64
finance/www.quote.com/key.html,6.12,2.51,0.15,5.97,6.17,5.92,"24,963,592",18.48,4.40
finance/www.quote.com/keyn.html,8.73,3.31,0.28,8.41,8.881,8.20,"27,648",14.31,6.34
finance/www.quote.com/kmb.html,52.73,0.59,0.31,52.16,52.95,52.15,"1,480,322",66.66,43.05
finance/www.quote.com/klac.html,25.88,-1.90,-0.50,26.36,26.57,25.41,"5,033,448",43.06,14.81
finance/www.quote.com/kss.html,46.59,1.46,0.67,46.33,46.68,45.15,"3,469,365",56.00,24.28
finance/www.quote.com/kkd.html,3.44,0.88,0.03,3.38,3.45,3.31,"335,303",5.65,1.01
finance/www.quote.com/kr.html,21.72,-0.59,-0.13,21.85,21.898,21.49,"6,422,818",30.99,19.39
finance/www.quote.com/ksws.html,8.86,-0.78,-0.07,8.88,8.91,8.51,"69,328",20.76,6.44
finance/www.quote.com/kyo.html,76.94,-1.51,-1.18,77.15,77.29,76.45,"160,836",100.78,45.41
finance/www.quote.com/lrcx.html,25.64,-0.47,-0.12,25.74,26.02,24.81,"1,990,920",40.42,14.72
finance/www.quote.com/leg.html,15.50,-1.59,-0.25,15.69,15.76,15.215,"1,531,566",24.595,10.03
finance/www.quote.com/leh.html,0.13,-56.67,-0.17,0.22,0.23,0.10,0,,
