url,NUMBER : value,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/quotes.freerealtime.com/DLTR.html,43.29,43.36,43.70,42.56,"1,171,711",46.735,27.6111
finance/quotes.freerealtime.com/D.html,33.39,32.88,33.52,32.44,"3,535,508",48.50,27.149
finance/quotes.freerealtime.com/DOV.html,36.16,35.86,36.16,35.35,"1,419,848",52.43,21.79
finance/quotes.freerealtime.com/DOW.html,17.34,17.32,17.50,17.05,"9,925,352",39.99,5.89
finance/quotes.freerealtime.com/DTE.html,31.96,31.30,32.10,31.15,"908,450",44.97,23.32
finance/quotes.freerealtime.com/DUK.html,14.67,14.41,14.76,14.25,"14,473,344",19.10,11.72
finance/quotes.freerealtime.com/DNB.html,83.55,83.46,83.70,82.55,"229,914",98.90,64
finance/quotes.freerealtime.com/DD.html,27,27.04,27.24,26.61,"7,121,153",48.22,16.05
finance/quotes.freerealtime.com/ELNK.html,7.77,7.88,7.90,7.65,"726,400",10.16,5.52
finance/quotes.freerealtime.com/EMN.html,40.65,41.31,41.31,40.13,"742,733",75.81,17.76
finance/quotes.freerealtime.com/EK.html,2.95,2.85,2.96,2.782,"2,773,119",17.71,2.01
finance/quotes.freerealtime.com/ETN.html,49.18,48.50,49.22,48.04,"1,024,801",97.93,30.02
finance/quotes.freerealtime.com/EBAY.html,17.80,17.94,17.95,17.45,"10,883,867",29.33,9.91
finance/quotes.freerealtime.com/ELON.html,8.06,7.77,8.0895,7.66,"158,998",15.74,4.92
finance/quotes.freerealtime.com/DISH.html,15.33,15.50,15.71,14.99,"3,887,215",34.34,8.34
finance/quotes.freerealtime.com/ECL.html,38.69,38.21,38.80,37.94,"1,602,171",52.16,29.27
finance/quotes.freerealtime.com/EIX.html,32.49,31.72,32.52,31.23,"3,656,784",53.065,23.09
finance/quotes.freerealtime.com/ERTS.html,21.93,21.80,22.035,21.60,"5,139,125",50.17,14.24
finance/quotes.freerealtime.com/EMC.html,13.26,13.01,13.28,12.74,"21,410,091",16.67,8.25
finance/quotes.freerealtime.com/EMR.html,35.07,34.80,35.08,34.33,"3,594,187",56.41,24.39
finance/quotes.freerealtime.com/EC.html,24.77,24.42,25,24.41,"19,271",27.85,13.90
finance/quotes.freerealtime.com/ETR.html,78.24,75.82,78.667,74.95,"1,600,896",123.14,59.87
finance/quotes.freerealtime.com/ENZ.html,5.49,5.41,5.49,5.30,"81,914",14.90,2.70
finance/quotes.freerealtime.com/EFX.html,27.29,27.07,27.29,26.73,"1,170,331",37.29,19.38
finance/quotes.freerealtime.com/XOM.html,73.78,73.43,74.16,73.10,"21,698,405",89.63,56.51
finance/quotes.freerealtime.com/FRE.html,0.70,0.7005,0.71,0.69,"4,772,987",24.23,0.25
finance/quotes.freerealtime.com/FNM.html,0.66,0.6617,0.67,0.65,"10,702,263",25.99,0.30
finance/quotes.freerealtime.com/FDX.html,54.39,55.75,56.22,53.63,"3,844,319",96.99,34.02
finance/quotes.freerealtime.com/FITB.html,8.03,7.75,8.03,7.74,"22,625,444",19,1.01
finance/quotes.freerealtime.com/FE.html,40.48,39.01,40.60,38.56,"4,120,716",84,35.26
finance/quotes.freerealtime.com/FLEX.html,4.40,4.58,4.60,4.35,"4,894,772",10.99,1.23
finance/quotes.freerealtime.com/FLR.html,53.85,53.22,53.85,52.80,"2,637,308",101.365,28.60
finance/quotes.freerealtime.com/FMC.html,52.45,52.59,52.81,52.02,"841,536",80.23,28.53
finance/quotes.freerealtime.com/F.html,6.11,6.01,6.15,5.92,"54,584,184",6.75,1.01
finance/quotes.freerealtime.com/FO.html,37.03,36.89,37.13,36.26,"857,798",66.72,17.675
finance/quotes.freerealtime.com/FOSL.html,23.12,23.50,23.64,22.663,"478,718",33.36,11
finance/quotes.freerealtime.com/FPL.html,57.39,56.33,57.90,55.72,"1,827,107",68.76,33.81
finance/quotes.freerealtime.com/BEN.html,75.99,76.60,76.89,74.64,"1,060,548",109,37.11
finance/quotes.freerealtime.com/FCX.html,58.51,59.40,60.27,58.09,"17,173,569",126.64,15.70
finance/quotes.freerealtime.com/FCEL.html,4.59,4.63,4.77,4.50,"659,644",8.83,1.98
finance/quotes.freerealtime.com/GCI.html,4.22,4.25,4.27,4.1499,"2,597,449",26.42,1.85
finance/quotes.freerealtime.com/GPS.html,16.37,16.52,16.61,15.90,"8,544,065",20.80,9.41
finance/quotes.freerealtime.com/GD.html,59.76,59.17,60.03,58.63,"1,535,783",94.41,35.28
finance/quotes.freerealtime.com/GE.html,13.51,13.45,13.52,13.29,"57,438,407",30.39,5.7279
finance/quotes.freerealtime.com/GIS.html,54.92,54.63,55.11,54.21,"1,818,304",72.01,46.37
finance/quotes.freerealtime.com/OSCI.html,0.27,0.251,0.315,0.2508,"32,202,381",1.80,0.061
finance/quotes.freerealtime.com/GPC.html,33.79,33.75,33.97,33.43,"717,800",44.20,24.93
finance/quotes.freerealtime.com/G.html,11.26,11.15,11.26,10.87,"193,096",15.70,6.30
finance/quotes.freerealtime.com/GR.html,53.36,51.72,53.36,51.54,"1,440,325",55.34,25.11
finance/quotes.freerealtime.com/GT.html,12.41,12.97,13.05,12.17,"5,454,284",23.14,3.17
finance/quotes.freerealtime.com/GOOG.html,424.84,426.86,427.70,421.21,"2,918,429",579.10,247.30
finance/quotes.freerealtime.com/GRA.html,13.48,13.58,13.70,13.28,"230,234",28.094,2.95
finance/quotes.freerealtime.com/GWW.html,83.81,83.84,83.96,82.91,"836,313",93.99,58.86
finance/quotes.freerealtime.com/GAP.html,4.98,4.79,5,4.76,"586,795",25.39,3.01
finance/quotes.freerealtime.com/GES.html,26.56,26.23,26.67,25.35,"2,319,573",43.126,10.26
finance/quotes.freerealtime.com/HAL.html,23.99,23.75,24.13,23.60,"15,072,420",55.38,12.80
finance/quotes.freerealtime.com/HIG.html,12.95,13.50,13.60,12.80,"20,403,412",73.89,3.33
finance/quotes.freerealtime.com/HAS.html,25.09,25.49,25.65,24.74,"3,273,163",41.68,21.14
finance/quotes.freerealtime.com/HLTH.html,11.92,11.68,12.01,11.62,"556,532",12.70,6.80
finance/quotes.freerealtime.com/HNZ.html,36.32,36.12,36.46,35.84,"2,037,039",53,30.51
finance/quotes.freerealtime.com/HP.html,34.92,35.11,35.13,33.86,"1,424,822",77.24,17.01
finance/quotes.freerealtime.com/HSY.html,35.39,35.01,35.45,34.90,"580,972",44.32,30.27
finance/quotes.freerealtime.com/HD.html,24.15,24.19,24.24,23.8298,"18,283,987",30.74,17.05
finance/quotes.freerealtime.com/HMC.html,28.86,28.82,28.89,28.51,"656,521",36.29,17.35
finance/quotes.freerealtime.com/HON.html,35.41,35.60,35.67,35.0475,"4,422,483",56.88,23.06
finance/quotes.freerealtime.com/HOTT.html,7.14,7.27,7.30,6.95,"1,741,202",13.87,4.61
finance/quotes.freerealtime.com/HGSI.html,2.89,2.89,3,2.765,"9,788,301",8,0.45
finance/quotes.freerealtime.com/HUM.html,29.41,28.90,29.63,28.44,"1,926,098",51.39,18.57
finance/quotes.freerealtime.com/HBAN.html,4.15,4.11,4.26,4.11,"24,840,740",13.50,1
finance/quotes.freerealtime.com/ITW.html,38.08,37.73,38.1903,37.28,"3,334,496",51,25.60
finance/quotes.freerealtime.com/RX.html,13.29,12.45,13.35,12.33,"3,759,504",23.93,9.625
finance/quotes.freerealtime.com/N.html,11.84,11.25,11.91,11.15,"167,786",22.25,5.43
finance/quotes.freerealtime.com/INCY.html,3.33,3.35,3.44,3.23,"1,079,243",10.42,1.85
finance/quotes.freerealtime.com/INSP.html,7.21,7.10,7.28,7,"99,360",11.94,5.07
finance/quotes.freerealtime.com/INFY.html,37.12,36.55,37.13,36.30,"1,814,687",47.41,21.10
finance/quotes.freerealtime.com/IR.html,23.06,22.74,23.06,22.44,"4,848,617",41.14,11.46
finance/quotes.freerealtime.com/INTC.html,16.31,16.24,16.31,16.02,"47,625,571",24.75,12.05
finance/quotes.freerealtime.com/ICGE.html,6.07,6.01,6.13,5.97,"145,743",9.84,3.04
finance/quotes.freerealtime.com/IPG.html,6,5.92,6,5.83,"2,966,249",9.69,2.57
finance/quotes.freerealtime.com/ISIL.html,13.02,13.25,13.25,12.77,"2,250,109",27.34,7.18
finance/quotes.freerealtime.com/IBM.html,108.21,108.40,109.28,107.75,"7,250,917",130.93,69.50
finance/quotes.freerealtime.com/IFF.html,32.96,33,33.15,32.55,"625,251",45.21,24.72
finance/quotes.freerealtime.com/IP.html,15.81,15.41,15.85,15.005,"5,700,002",31.07,3.93
finance/quotes.freerealtime.com/INTU.html,28.64,28.34,28.64,28.01,"2,289,884",32,20.183
finance/quotes.freerealtime.com/ITT.html,46.66,45.95,46.73,45.55,"1,300,741",69.73,31.94
finance/quotes.freerealtime.com/JBL.html,7.55,7.57,7.61,7.40,"2,254,353",18.78,3.10
finance/quotes.freerealtime.com/JKHY.html,19.09,19.02,19.12,18.83,"388,395",24.45,14.29
finance/quotes.freerealtime.com/JNJ.html,56.06,55.88,56.54,55.72,"11,882,289",72.76,46.25
finance/quotes.freerealtime.com/JCI.html,21.57,21.90,21.91,21.09,"5,372,819",36,8.35
finance/quotes.freerealtime.com/JNPR.html,23.87,23.58,23.93,23.43,"6,592,309",27.65,12.43
finance/quotes.freerealtime.com/KBH.html,14.09,14.36,14.50,13.82,"3,030,621",25.43,6.90
finance/quotes.freerealtime.com/KEI.html,3.99,4.40,4.51,3.99,"46,380",10.65,1.86
finance/quotes.freerealtime.com/K.html,44.55,43.85,44.61,43.50,"1,921,859",58.51,35.64
finance/quotes.freerealtime.com/KEY.html,6.12,5.97,6.17,5.92,"24,963,592",18.48,4.40
finance/quotes.freerealtime.com/KEYN.html,8.73,8.41,8.881,8.20,"27,648",14.31,6.34
finance/quotes.freerealtime.com/KMB.html,52.73,52.16,52.95,52.15,"1,480,322",66.66,43.05
finance/quotes.freerealtime.com/KLAC.html,25.88,26.36,26.57,25.41,"5,033,448",43.06,14.81
finance/quotes.freerealtime.com/KSS.html,46.59,46.33,46.68,45.15,"3,469,365",56,24.28
finance/quotes.freerealtime.com/KKD.html,3.44,3.38,3.45,3.31,"335,303",5.65,1.01
finance/quotes.freerealtime.com/KR.html,21.72,21.85,21.898,21.49,"6,422,818",30.99,19.39
finance/quotes.freerealtime.com/KSWS.html,8.86,8.88,8.91,8.51,"69,328",20.76,6.44
finance/quotes.freerealtime.com/KYO.html,76.94,77.15,77.29,76.45,"160,836",100.78,45.41
finance/quotes.freerealtime.com/LRCX.html,25.64,25.74,26.02,24.81,"1,990,920",40.42,14.72
finance/quotes.freerealtime.com/LEG.html,15.50,15.69,15.76,15.215,"1,531,566",24.595,10.03
finance/quotes.freerealtime.com/LXK.html,16.27,16.34,16.54,16.12,"1,431,131",37.01,14.815
finance/quotes.freerealtime.com/LLY.html,34.29,34.39,34.84,34.07,"5,266,112",49.78,27.21
finance/quotes.freerealtime.com/LNC.html,17.75,18.70,18.77,17.20,"8,809,006",59.99,4.76
finance/quotes.freerealtime.com/LLTC.html,23.58,23.80,23.80,23.03,"3,893,778",34.49,17.69
finance/quotes.freerealtime.com/LIZ.html,4.63,4.99,4.99,4.54,"1,680,533",20.14,1.46
finance/quotes.freerealtime.com/LMT.html,82.77,81.69,82.88,81.61,"2,313,572",120.30,57.41
finance/quotes.freerealtime.com/LPX.html,4.42,4.23,4.42,4.18,"1,445,798",11.75,1.03
finance/quotes.freerealtime.com/LOW.html,19.85,19.86,19.93,19.54,"11,532,373",28.49,13
finance/quotes.freerealtime.com/MAR.html,24.01,23.89,24.20,23.63,"3,268,928",30.27,11.8816
finance/quotes.freerealtime.com/MMC.html,20.64,20.55,20.66,20.30,"2,734,397",36.82,17.18
finance/quotes.freerealtime.com/MSO.html,3.27,3.25,3.33,3.21,"117,394",9.99,1.60
finance/quotes.freerealtime.com/MAS.html,9.93,9.96,10.06,9.64,"3,661,376",22,3.64
finance/quotes.freerealtime.com/MAT.html,16.28,16.27,16.43,16,"1,720,513",21.95,10.36
finance/quotes.freerealtime.com/MXIM.html,16.51,16.49,16.62,16.26,"4,515,517",16.94,10.72
finance/quotes.freerealtime.com/MAY.html,6.51,6.59,6.59,6.51,"4,980",9.77,4.44
finance/quotes.freerealtime.com/MBI.html,5.85,5.71,5.95,5.71,"2,975,241",19.08,2.17
finance/quotes.freerealtime.com/MDR.html,23.28,23.60,23.828,23.0619,"2,842,631",64.82,5.98
finance/quotes.freerealtime.com/MCD.html,58.36,57.72,58.48,57.50,"7,063,106",67,45.79
finance/quotes.freerealtime.com/MHP.html,31.99,31.72,31.99,31.32,"1,314,991",47.13,17.15
finance/quotes.freerealtime.com/MCK.html,42.98,42.93,43.16,42.24,"2,482,313",60.45,28.27
finance/quotes.freerealtime.com/MEDX.html,7.28,7.21,7.39,7.21,"1,305,007",10.12,3.40
finance/quotes.freerealtime.com/MDT.html,33.62,33.62,33.825,33.23,"6,295,951",56.97,24.06
finance/quotes.freerealtime.com/MRK.html,26.08,26.12,27.07,25.68,"29,773,101",38.90,20.05
