url,NUMBER : value,NUMBER : var %,NUMBER : var $,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk low,NUMBER : 52wk high
finance/quote.barchart.com/bc.html,4.32,+0.47 %,+0.02,4.33,4.37,4.19,449600,2.06,8.16
finance/quote.barchart.com/bni.html,77.36,+2.90 %,+2.18,75.34,77.70,75.13,2700800,50.60,80.86
finance/quote.barchart.com/br.html,17.18,-0.52 %,-0.09,17.15,17.22,16.93,604400,12.45,19.92
finance/quote.barchart.com/cpn.html,11.82,+0.77 %,+0.09,11.79,11.87,11.35,2921700,4.76,14.95
finance/quote.barchart.com/cpb.html,29.10,+0.17 %,+0.05,29.00,29.30,28.80,1863900,24.63,31.28
finance/quote.barchart.com/cof.html,23.94,-2.64 %,-0.65,24.50,24.50,23.72,8249101,7.79,33.68
finance/quote.barchart.com/cah.html,30.96,+0.39 %,+0.12,30.86,31.43,30.67,3244300,27.63,39.70
finance/quote.barchart.com/ccl.html,24.17,+1.85 %,+0.44,24.11,24.20,23.58,5108300,16.80,29.76
finance/quote.barchart.com/cat.html,37.73,+0.32 %,+0.12,37.47,37.77,37.02,8567300,21.44,46.03
finance/quote.barchart.com/cra.html,7.94,-3.52 %,-0.29,8.19,8.38,7.81,593400,5.03,11.71
finance/quote.barchart.com/celg.html,43.23,-0.21 %,-0.09,43.64,43.64,42.68,3608800,36.90,56.60
finance/quote.barchart.com/ctx.html,8.48,-0.47 %,-0.04,8.54,8.55,8.26,3757800,5.03,12.49
finance/quote.barchart.com/ctl.html,32.06,-1.39 %,-0.45,32.38,32.38,31.40,2082000,22.31,32.91
finance/quote.barchart.com/cf.html,82.50,-0.41 %,-0.34,82.13,83.71,80.98,1108500,42.17,84.61
finance/quote.barchart.com/chkp.html,24.09,+1.05 %,+0.25,23.83,24.17,23.69,2498800,18.94,25.44
finance/quote.barchart.com/cvx.html,72.67,+1.07 %,+0.77,71.19,72.75,70.69,13931500,55.58,76.99
finance/quote.barchart.com/chl.html,52.98,-1.96 %,-1.06,52.67,53.03,52.26,1614600,39.47,54.83
finance/quote.barchart.com/china.html,1.66,+3.11 %,+0.05,1.64,1.66,1.57,674300,0.73,1.85
finance/quote.barchart.com/cb.html,40.82,-1.02 %,-0.42,41.20,41.24,40.56,1571100,34.14,50.56
finance/quote.barchart.com/ci.html,20.89,-0.05 %,-0.01,20.63,21.16,20.21,4074700,12.64,24.63
finance/quote.barchart.com/cinf.html,23.84,-0.67 %,-0.16,23.86,24.15,23.69,709700,17.52,29.13
finance/quote.barchart.com/csco.html,19.91,-0.95 %,-0.19,19.93,20.00,19.63,41372301,13.61,20.35
finance/quote.barchart.com/c.html,3.47,-0.29 %,-0.01,3.47,3.55,3.44,138941500,0.97,7.56
finance/quote.barchart.com/ctxs.html,34.10,+2.13 %,+0.71,33.24,34.19,32.80,4170300,20.00,34.41
finance/quote.barchart.com/ccu.html,35.69,+4.33 %,+1.48,33.91,35.99,33.85,81300,25.43,
finance/quote.barchart.com/clx.html,56.39,+5.11 %,+2.74,54.60,56.49,54.36,3982400,45.30,56.79
finance/quote.barchart.com/cms.html,12.30,+2.07 %,+0.25,11.99,12.37,11.90,5084900,9.88,12.92
finance/quote.barchart.com/coke.html,56.35,-0.53 %,-0.30,56.72,56.72,55.67,9300,37.56,57.11
finance/quote.barchart.com/ko.html,48.89,+0.64 %,+0.31,48.68,49.04,48.48,8620300,36.74,49.52
finance/quote.barchart.com/cce.html,17.18,-1.55 %,-0.27,17.32,17.40,17.07,2736100,9.60,17.76
finance/quote.barchart.com/cl.html,71.38,+1.59 %,+1.12,69.96,72.00,69.79,3068500,54.12,
finance/quote.barchart.com/cmcsk.html,13.73,-1.08 %,-0.15,13.70,13.75,13.39,4576700,10.28,17.20
finance/quote.barchart.com/cma.html,22.63,-0.79 %,-0.18,22.84,23.15,22.38,1960700,11.66,26.41
finance/quote.barchart.com/ca.html,17.73,-0.62 %,-0.11,17.69,17.99,17.46,3595600,15.10,19.10
finance/quote.barchart.com/csc.html,44.99,+0.78 %,+0.35,45.06,45.12,44.10,1133800,31.11,45.16
finance/quote.barchart.com/cpwr.html,7.43,-1.07 %,-0.08,7.44,7.66,7.30,2904000,5.18,8.18
finance/quote.barchart.com/cmvt.html,7.6000,+0.66 %,+0.0500,7.5000,7.7000,7.5000,165000,5.2500,
finance/quote.barchart.com/cag.html,19.46,-0.82 %,-0.16,19.52,19.69,19.34,4408300,13.85,19.92
finance/quote.barchart.com/ed.html,37.08,+1.09 %,+0.40,36.49,37.15,36.13,1755100,32.05,40.53
finance/quote.barchart.com/ceg.html,27.23,+1.00 %,+0.27,26.90,27.47,26.70,3096000,14.92,27.81
finance/quote.barchart.com/cal.html,9.09,-1.73 %,-0.16,9.25,9.46,9.05,4564400,6.37,21.83
finance/quote.barchart.com/cvg.html,9.28,-1.38 %,-0.13,9.40,9.40,9.15,555600,5.49,10.66
finance/quote.barchart.com/cbe.html,34.13,-0.84 %,-0.29,34.24,34.26,33.67,2088200,18.72,36.43
finance/quote.barchart.com/ctb.html,9.22,-7.43 %,-0.74,9.80,9.88,8.95,1237500,2.93,11.63
finance/quote.barchart.com/glw.html,15.89,-0.44 %,-0.07,15.82,15.90,15.41,10949100,8.90,16.43
finance/quote.barchart.com/cost.html,47.03,+1.64 %,+0.76,46.35,47.10,45.96,4735600,38.03,53.22
finance/quote.barchart.com/cr.html,24.06,-2.47 %,-0.61,24.59,24.59,23.82,365500,12.36,25.63
finance/quote.barchart.com/cree.html,28.74,-2.11 %,-0.62,29.31,29.36,28.30,1424600,15.59,31.75
finance/quote.barchart.com/cck.html,23.25,-1.77 %,-0.42,23.61,23.62,23.01,1741700,17.35,24.87
finance/quote.barchart.com/csx.html,36.52,+4.76 %,+1.66,35.13,36.57,34.77,8477400,20.55,
finance/quote.barchart.com/crgn.html,1.38,-0.72 %,-0.01,1.37,1.39,1.35,545900,0.47,1.48
finance/quote.barchart.com/cvs.html,30.35,+0.26 %,+0.08,30.08,30.36,29.90,7274300,23.68,34.22
finance/quote.barchart.com/dcx.html,7.88,+1.68 %,+0.13,7.98,7.98,7.88,9300,5.43,8.00
finance/quote.barchart.com/dhr.html,62.77,-0.74 %,-0.47,63.03,63.03,62.00,1456500,47.71,64.90
finance/quote.barchart.com/dri.html,33.80,+2.52 %,+0.83,32.84,33.83,32.67,2024900,23.19,41.21
finance/quote.barchart.com/de.html,44.77,-0.69 %,-0.31,44.75,44.78,43.70,3587200,24.32,47.98
finance/quote.barchart.com/dell.html,13.39,+0.90 %,+0.12,13.22,13.40,13.05,25270301,7.84,
finance/quote.barchart.com/dal.html,6.40,-4.19 %,-0.28,6.68,6.74,6.37,11721600,3.51,12.65
finance/quote.barchart.com/del.html,38.57,+2.04 %,+0.77,37.60,38.85,37.09,40700,26.88,47.90
finance/quote.barchart.com/dlx.html,14.71,-2.71 %,-0.41,14.99,14.99,14.26,222700,6.09,15.85
finance/quote.barchart.com/dia.html,88.31,+0.51 %,+0.45,87.60,88.33,87.37,12743500,64.33,89.83
finance/quote.barchart.com/dds.html,10.04,+3.83 %,+0.37,9.59,10.08,9.46,755400,2.94,11.50
finance/quote.barchart.com/dis.html,25.06,-0.67 %,-0.17,25.03,25.39,24.52,7332300,15.14,26.29
finance/quote.barchart.com/dltr.html,43.29,-0.39 %,-0.17,43.36,43.70,42.56,1171700,32.94,46.74
finance/quote.barchart.com/d.html,33.39,+1.34 %,+0.44,32.88,33.52,32.44,3535500,26.78,36.16
finance/quote.barchart.com/dov.html,36.16,-0.11 %,-0.04,35.86,36.16,35.35,1419800,21.62,36.55
finance/quote.barchart.com/dow.html,17.34,-0.52 %,-0.09,17.32,17.50,17.05,9925300,5.80,18.99
finance/quote.barchart.com/dte.html,31.96,+1.36 %,+0.43,31.30,32.10,31.15,908400,22.45,35.72
finance/quote.barchart.com/duk.html,14.67,+1.59 %,+0.23,14.41,14.76,14.25,14472300,11.53,15.46
finance/quote.barchart.com/dnb.html,83.55,-0.37 %,-0.31,83.46,83.70,82.55,229900,68.69,84.76
finance/quote.barchart.com/dd.html,27.00,-0.41 %,-0.11,27.04,27.24,26.61,7121100,15.82,30.23
finance/quote.barchart.com/elnk.html,7.77,-1.27 %,-0.10,7.88,7.90,7.65,726400,6.02,8.17
finance/quote.barchart.com/emn.html,40.65,-2.24 %,-0.93,41.31,41.31,40.13,742700,17.21,45.36
finance/quote.barchart.com/ek.html,2.95,+2.43 %,+0.07,2.85,2.96,2.78,2773100,2.01,7.66
finance/quote.barchart.com/etn.html,49.18,+0.92 %,+0.45,48.50,49.22,48.04,1024800,29.68,52.13
finance/quote.barchart.com/ebay.html,17.80,-0.45 %,-0.08,17.94,17.95,17.45,10883801,9.91,18.39
finance/quote.barchart.com/elon.html,8.06,+2.81 %,+0.22,7.77,8.09,7.66,158900,5.13,8.94
finance/quote.barchart.com/dish.html,15.33,-1.41 %,-0.22,15.50,15.71,14.99,3887200,8.79,18.61
finance/quote.barchart.com/ecl.html,38.69,+1.06 %,+0.41,38.21,38.80,37.94,1602100,29.17,39.90
finance/quote.barchart.com/eix.html,32.49,+2.14 %,+0.68,31.72,32.52,31.23,3656700,22.85,33.81
finance/quote.barchart.com/erts.html,21.93,+0.27 %,+0.06,21.80,22.03,21.60,5139100,14.24,23.76
finance/quote.barchart.com/emc.html,13.26,+1.38 %,+0.18,13.01,13.28,12.74,21410000,9.61,13.40
finance/quote.barchart.com/emr.html,35.07,+0.37 %,+0.13,34.80,35.08,34.33,3594100,24.17,38.72
finance/quote.barchart.com/ec.html,24.77,-0.48 %,-0.12,24.42,25.00,24.41,19200,14.75,
finance/quote.barchart.com/etr.html,78.24,+2.93 %,+2.23,75.82,78.67,74.95,1600800,59.27,84.88
finance/quote.barchart.com/enz.html,5.49,+0.73 %,+0.04,5.41,5.49,5.30,81900,2.70,5.82
finance/quote.barchart.com/efx.html,27.29,-0.04 %,-0.01,27.07,27.29,26.73,1170300,19.61,29.58
finance/quote.barchart.com/xom.html,73.78,-0.36 %,-0.27,73.43,74.16,73.10,21693498,61.50,81.83
finance/quote.barchart.com/fre.html,0.70,-1.41 %,-0.01,0.70,0.71,0.69,4757200,0.35,1.50
finance/quote.barchart.com/fnm.html,0.66,-1.49 %,-0.01,0.66,0.67,0.65,10680700,0.35,1.43
finance/quote.barchart.com/fdx.html,54.39,-3.15 %,-1.77,55.99,56.22,53.63,3844300,34.02,64.55
finance/quote.barchart.com/fitb.html,8.03,+3.35 %,+0.26,7.74,8.03,7.74,22625400,1.01,9.15
finance/quote.barchart.com/fe.html,40.48,+3.56 %,+1.39,39.01,40.60,38.56,4120700,35.18,52.95
finance/quote.barchart.com/flex.html,4.40,-4.76 %,-0.22,4.60,4.60,4.35,4894700,1.81,4.73
finance/quote.barchart.com/flr.html,53.85,+0.06 %,+0.03,53.22,53.85,52.80,2636900,30.01,55.40
finance/quote.barchart.com/fmc.html,52.45,-1.54 %,-0.82,52.59,52.81,52.02,841500,34.81,56.25
finance/quote.barchart.com/f.html,6.11,+2.17 %,+0.13,6.01,6.15,5.92,54571699,1.50,6.54
finance/quote.barchart.com/fo.html,37.03,-0.08 %,-0.03,36.89,37.13,36.26,857700,17.60,43.29
finance/quote.barchart.com/fosl.html,23.12,-2.24 %,-0.53,23.50,23.64,22.66,478700,11.00,24.64
finance/quote.barchart.com/fpl.html,57.39,+1.54 %,+0.87,56.33,57.90,55.72,1827100,41.14,58.05
finance/quote.barchart.com/ben.html,75.99,-0.51 %,-0.39,76.60,76.89,74.64,1060500,36.97,77.62
finance/quote.barchart.com/fcx.html,58.51,-3.16 %,-1.91,59.40,60.27,58.09,17173500,21.16,61.55
finance/quote.barchart.com/fcel.html,4.59,-2.55 %,-0.12,4.63,4.77,4.50,659600,1.98,5.47
finance/quote.barchart.com/gci.html,4.22,-1.40 %,-0.06,4.25,4.27,4.15,2597400,1.84,9.16
finance/quote.barchart.com/gps.html,16.37,+0.86 %,+0.14,16.52,16.61,15.90,8544000,9.51,18.76
finance/quote.barchart.com/gd.html,59.76,+0.79 %,+0.47,59.17,60.03,58.63,1535700,34.99,61.12
finance/quote.barchart.com/ge.html,13.51,+0.37 %,+0.05,13.45,13.52,13.29,57423500,5.73,16.75
finance/quote.barchart.com/gis.html,54.92,+0.38 %,+0.21,54.63,55.11,54.21,1818300,45.98,60.93
finance/quote.barchart.com/osci.html,0.27,-28.95 %,-0.11,0.25,0.31,0.25,32202299,0.06,0.53
finance/quote.barchart.com/gpc.html,33.79,-0.21 %,-0.07,33.97,33.97,33.43,717800,24.65,38.81
finance/quote.barchart.com/g.html,11.26,-0.62 %,-0.07,11.15,11.26,10.87,193000,7.08,11.35
finance/quote.barchart.com/gr.html,53.36,+3.17 %,+1.64,52.00,53.36,51.54,1440300,29.79,55.34
finance/quote.barchart.com/gt.html,12.41,-5.12 %,-0.67,13.00,13.05,12.17,5454200,3.17,14.26
finance/quote.barchart.com/goog.html,424.84,-0.97 %,-4.16,427.50,427.70,421.21,2918400,282.75,447.34
finance/quote.barchart.com/gra.html,13.48,-1.89 %,-0.26,13.58,13.70,13.28,230200,3.95,14.61
finance/quote.barchart.com/gww.html,83.81,-0.37 %,-0.31,83.84,83.96,82.91,836300,59.62,85.88
finance/quote.barchart.com/gap.html,4.98,+3.11 %,+0.15,4.79,5.00,4.76,586700,3.01,8.64
finance/quote.barchart.com/ges.html,26.56,+1.53 %,+0.40,26.23,26.67,25.35,2319500,12.84,29.40
finance/quote.barchart.com/hal.html,23.99,-1.40 %,-0.34,23.75,24.13,23.60,15072199,14.62,24.76
finance/quote.barchart.com/hig.html,12.95,-8.03 %,-1.13,13.50,13.60,12.80,20397301,3.32,19.70
finance/quote.barchart.com/has.html,25.09,-3.61 %,-0.94,25.49,25.65,24.74,3273100,20.99,29.46
finance/quote.barchart.com/hlth.html,11.92,+0.93 %,+0.11,11.70,12.01,11.62,556500,9.65,12.48
finance/quote.barchart.com/hnz.html,36.32,+0.80 %,+0.29,36.12,36.46,35.84,2037000,30.13,38.72
finance/quote.barchart.com/hp.html,34.92,-2.02 %,-0.72,35.11,35.13,33.86,1424800,19.47,37.19
finance/quote.barchart.com/hsy.html,35.39,+0.51 %,+0.18,35.01,35.45,34.90,580900,30.02,37.59
finance/quote.barchart.com/hd.html,24.15,-0.33 %,-0.08,24.19,24.24,23.83,18283500,17.12,26.82
finance/quote.barchart.com/hmc.html,28.86,-1.57 %,-0.46,28.82,28.89,28.51,656500,20.28,31.00
finance/quote.barchart.com/hon.html,35.41,-1.06 %,-0.38,35.60,35.67,35.05,4422400,22.84,36.66
finance/quote.barchart.com/hott.html,7.14,-2.19 %,-0.16,7.27,7.30,6.95,1741200,6.85,13.87
finance/quote.barchart.com/hgsi.html,2.89,-9.40 %,-0.30,2.89,3.00,2.77,9788300,0.45,3.48
finance/quote.barchart.com/hum.html,29.41,+1.07 %,+0.31,28.90,29.63,28.44,1926000,18.57,46.01
finance/quote.barchart.com/hban.html,4.15,+0.48 %,+0.02,4.11,4.26,4.11,24840699,0.99,7.92
finance/quote.barchart.com/itw.html,38.08,+0.55 %,+0.21,37.73,38.19,37.28,3334400,25.36,38.42
finance/quote.barchart.com/rx.html,13.29,+6.41 %,+0.80,12.45,13.35,12.33,3759500,11.09,16.34
finance/quote.barchart.com/n.html,11.84,+5.71 %,+0.64,11.25,11.91,11.15,167700,6.65,14.40
finance/quote.barchart.com/incy.html,3.33,+0.30 %,+0.01,3.35,3.44,3.23,1079200,1.96,4.21
finance/quote.barchart.com/insp.html,7.21,+1.12 %,+0.08,7.16,7.28,7.00,99300,5.07,8.50
finance/quote.barchart.com/infy.html,37.12,-0.03 %,-0.01,36.55,37.13,36.30,1814600,22.46,37.89
finance/quote.barchart.com/ir.html,23.06,+0.83 %,+0.19,22.74,23.06,22.44,4848600,11.37,23.83
finance/quote.barchart.com/intc.html,16.31,-0.24 %,-0.04,16.24,16.31,16.02,47625496,11.95,16.70
finance/quote.barchart.com/icge.html,6.07,+0.17 %,+0.01,6.01,6.13,5.97,145700,3.25,6.31
finance/quote.barchart.com/ipg.html,6.00,+0.50 %,+0.03,6.00,6.00,5.83,2966200,3.08,6.41
finance/quote.barchart.com/isil.html,13.02,-2.40 %,-0.32,13.25,13.25,12.77,2250100,8.21,13.98
finance/quote.barchart.com/ibm.html,108.21,-1.09 %,-1.19,108.40,109.28,107.75,7250800,80.90,110.64
finance/quote.barchart.com/iff.html,32.96,-0.60 %,-0.20,33.00,33.15,32.55,625200,24.75,33.66
finance/quote.barchart.com/ip.html,15.81,+1.74 %,+0.27,15.41,15.85,15.01,5700000,3.92,15.96
finance/quote.barchart.com/intu.html,28.64,+0.77 %,+0.22,28.34,28.64,28.01,2289800,21.07,28.80
finance/quote.barchart.com/itt.html,46.66,+1.15 %,+0.53,45.95,46.73,45.55,1300700,31.78,50.87
finance/quote.barchart.com/jbl.html,7.55,-0.79 %,-0.06,7.47,7.61,7.40,2254300,3.07,9.06
finance/quote.barchart.com/jkhy.html,19.09,-0.42 %,-0.08,19.02,19.12,18.83,388300,14.22,19.74
finance/quote.barchart.com/jnj.html,56.06,+0.02 %,+0.01,55.88,56.54,55.72,11882200,45.85,59.97
finance/quote.barchart.com/jci.html,21.57,-2.00 %,-0.44,21.90,21.91,21.09,5372800,8.18,22.65
finance/quote.barchart.com/jnpr.html,23.87,-0.04 %,-0.01,23.58,23.93,23.43,6592300,12.43,25.44
finance/quote.barchart.com/kbh.html,14.09,-2.49 %,-0.36,14.36,14.50,13.82,3030600,7.83,19.61
finance/quote.barchart.com/kei.html,3.99,-12.68 %,-0.58,4.40,4.51,3.99,46300,1.83,4.58
finance/quote.barchart.com/k.html,44.55,+1.37 %,+0.60,43.85,44.61,43.50,1921800,35.36,45.18
finance/quote.barchart.com/key.html,6.12,+2.51 %,+0.15,5.97,6.17,5.92,24944000,4.40,9.80
finance/quote.barchart.com/keyn.html,8.73,+3.31 %,+0.28,8.41,8.88,8.20,27600,6.61,9.47
finance/quote.barchart.com/kmb.html,52.73,+0.59 %,+0.31,52.16,52.95,52.15,1480300,42.57,53.71
finance/quote.barchart.com/klac.html,25.88,-1.90 %,-0.50,26.36,26.57,25.41,5033400,15.18,29.67
finance/quote.barchart.com/kss.html,46.59,+1.46 %,+0.67,46.33,46.68,45.15,3469300,32.50,47.80
finance/quote.barchart.com/kkd.html,3.44,+0.88 %,+0.03,3.38,3.45,3.31,335300,1.01,4.38
finance/quote.barchart.com/kr.html,21.72,-0.59 %,-0.13,21.85,21.90,21.49,6422800,19.31,26.72
