url,STRING : nationality,STRING : birthplace,DATE : birthdate,SPACE : height,MASS : weight,STRING : national_team,STRING : position
soccer/www.123football.com/giovanni-hernandez.html,Colombian,"Cali, Colombia","June 16, 1976",170 cm,62 kg,,Attacking Midfielder
soccer/www.123football.com/nelson-cuevas.html,Paraguayan,"Asuncion, Paraguay","January 10, 1980",172 cm,63 kg,Paraguay,Forward
soccer/www.123football.com/franklin-salas.html,Ecuatorian,"Pichincha, Equator","August 30, 1981",165 cm,64 kg,Ecuador,Midfielder
soccer/www.123football.com/dennis-wise.html,English,"Kensington, England",15/12/1966,168 cm,64 kg,England,Central Midfielder
soccer/www.123football.com/shaun-wright-phillips.html,English,"Londres, England",25/10/1981,168 cm,64 kg,England,Midfielder
soccer/www.123football.com/eyal-berkovic.html,Israeli,"Haifa, Israel",02/04/1972,170 cm,64 kg,Israel,Central Midfielder
soccer/www.123football.com/nolberto-solano.html,Peruvian,"Callao, Peru",12/12/1974,174 cm,64 kg,Peru,Midfielder Right
soccer/www.123football.com/david-pizarro.html,Chilean,"Santiago, Chile",February 11 1979,176 cm,64 kg,Chile,Midfielder
soccer/www.123football.com/ergun-penbe.html,Turkish,"Zonduldak, Turkey","May 17, 1972",178 cm,64 kg,Turkey,Midfielder
soccer/www.123football.com/ariel-ibagaza.html,Argentinian,"Lanús, Argentina",27/10/1976,166 cm,65 kg,Argentina- U21,Midfielder
soccer/www.123football.com/clemente-rodriguez.html,Argentinian,"Capital Federal, Argentina",31/07/1981,167 cm,65 kg,Argentina,Defensive Midfielder
soccer/www.123football.com/yildiray-basturk.html,Turkish and German,"Herne, Germany",24/12/1978,169 cm,65 kg,Turkey,Attacking Midfielder
soccer/www.123football.com/jermaine-defoe.html,English,"Beckton, England",07/10/1982,170 cm,65 kg,England,Striker
soccer/www.123football.com/joaquin-botero.html,Bolivian,"La Paz, Bolivia","December 10, 1977",171 cm,65 kg,Bolivia,striker
soccer/www.123football.com/enzo-francescoli.html,Uruguayan,"Montevideo, Uruguay","November 12, 1961",182 cm,65 kg,Uruguay,Forward
soccer/www.123football.com/sergei-rebrov.html,Ukrainian,"Gorlovka, Ukraine",03/06/1974,173 cm,66 kg,Ukraine,Striker
soccer/www.123football.com/steven-pienaar.html,South African,"Johannesbourgh, South Africa",17/03/1982,176 cm,66 kg,South Africa,Forward
soccer/www.123football.com/maurizio-ganz.html,Italian,"Tolmezzo, Italy",13/10/1968,178 cm,66 kg,,Striker
soccer/www.123football.com/marco-van-basten.html,Dutch,"Utrecht, Holland","October 31, 1964",178 cm,66 kg,Holland,Forward
soccer/www.123football.com/ivica-olic.html,Croatian,"Raised, Croatia","September 14, 1979",,67 kg,Croatia,Forward
soccer/www.123football.com/thomas-hassler.html,German,"Berlin, Germany","May 30, 1966",166 cm,67 kg,,Attacking Midfielder
soccer/www.123football.com/benito-carbone.html,Italian,"Bagnara Calabra , Italy",14/08/1971,168 cm,67 kg,,Striker
soccer/www.123football.com/lionel-messi.html,Argentinian,"Santa Fe, Argentina",24/06/1987,169 cm,67 kg,"Argentina- A, U21",Forward
soccer/www.123football.com/wesley-sneijder.html,,"Utrecht, Holland",09/06/1984,170 cm,67 kg,,Midfielder
soccer/www.123football.com/claudio-caniggia.html,Argentinian,"Buenos Aires, Argentina",09/01/1967,172 cm,67 kg,Argentina,"Forward, Striker"
soccer/www.123football.com/gianluca-pessotto.html,Italian,"Latisana, Italy","11th August, 1970",173 cm,67 kg,Italy,Defender
soccer/www.123football.com/sylvinho.html,Brazilian,"Sao Paulo, Brazil",12/04/1974,173 cm,67 kg,Brazil,Defender
soccer/www.123football.com/ricardo-quaresma.html,Portuguese,"Lisbon, Portugal",26/9/1983,173 cm,67 kg,Portugal,Right Midfielder
soccer/www.123football.com/alex.html,Brazilian,"Curitiba, Brazil",14/09/1977,174 cm,67 kg,Brazil,Attacking Midfielder
soccer/www.123football.com/danny-murphy.html,English,Chester (England),18/03/1977,175 cm,67 kg,England,Midfielder
soccer/www.123football.com/steve-finnan.html,Irish,"Limerick, Ireland","April 20, 1976",175 cm,67 kg,Ireland,Defender
soccer/www.123football.com/tomas-rosicky.html,Czech,"Prague, Czech Republic",04/10/1980,179 cm,67 kg,Czech Republic,Central Midfielder
soccer/www.123football.com/kevin-kuranyi.html,,"Rio of Janeiro, Brazil","March 2, 1982",190 cm,67 kg,"Argentina- A, U21",Forward
soccer/www.123football.com/kevin-kuranyi.html,,"Rio of Janeiro, Brazil","March 2, 1982",190 cm,67 kg,"Argentina- A, U21",Forward
soccer/www.123football.com/edgar-davids.html,Dutch,"Paramaribo, Suriname",13/03/1973,169 cm,68 kg,"Holland- A, U21",Central Midfielder
soccer/www.123football.com/marcelo-gallardo.html,Argentinian,"Merlo, Argentina",18/01/1976,169 cm,68 kg,Argentina,"Right Midfielder, Central Midfielder"
soccer/www.123football.com/emre-belozoglu.html,Turkish,"Istanbul, Turkey",07/09/1980,171 cm,68 kg,Turkey,Midfielder
soccer/www.123football.com/tab-ramos.html,American,"Montevideo, Uruguay",21/09/1966,171 cm,68 kg,United States,"Right Midfielder, Attacking Midfielder"
soccer/www.123football.com/mauro-rosales.html,Argentinian,"Villa María, Argentina",24/02/1981,171 cm,68 kg,,Forward
soccer/www.123football.com/vincenzo-montella.html,Italian,"Pomigliano d'Arco, Italy",18/06/1974,172 cm,68 kg,Italy,Forward
soccer/www.123football.com/bernard-diomede.html,French,"Bourges, France",23/01/1974,172 cm,68 kg,France,Central Midfielder
soccer/www.123football.com/cicinho.html,Brazilian,"Pradópolis, São Paulo, Brazil","October 01, 1980",172 cm,68 kg,Brazil,Defender
soccer/www.123football.com/ashley-cole.html,English,"Stepney, England",20/12/1980,173 cm,68 kg,England,Left Back
soccer/www.123football.com/lee-bowyer.html,English,"London, England",03/01/1977,175 cm,68 kg,"England- A, U21",Right Midfielder
soccer/www.123football.com/bobby-charlton.html,English,"Ashington, England",11/10/1937,175 cm,68 kg,England,"Attacking Midfielder, Forward"
soccer/www.123football.com/craig-bellamy.html,Welsh,"Cardiff, Wales",13/07/1979,175 cm,68 kg,Wales,Striker
soccer/www.123football.com/jorge-campos.html,Mexican,"Acapulco, Mexico",15/10/1966,175 cm,68 kg,Mexico,"Goalkeeper, Forward"
soccer/www.123football.com/andrea-pirlo.html,Italian,"Brescia, Italy",19/05/1979,177 cm,68 kg,Italy,Midfielder
soccer/www.123football.com/christian-wilhelmsson.html,Swedish,Sweden,24/06/1987,177 cm,68 kg,Sweden,Midfield
soccer/www.123football.com/ivan-hurtado.html,Ecuadorean,"Esmeraldas, Ecuador","August 16, 1974",177 cm,68 kg,,Defender
soccer/www.123football.com/dennis-rommedahl.html,Danish,"Copenhagen, Denmark",22/07/1978,178 cm,68 kg,Denmark,Right Wing
soccer/www.123football.com/johan-cruyff.html,Dutch,"Amsterdam, Netherlands",25/04/1947,178 cm,68 kg,Holland,Forward
soccer/www.123football.com/ryan-giggs.html,Welsh,"Cardiff, Wales",29/11/1973,181 cm,68 kg,Wales,"Left Wing, Forward"
soccer/www.123football.com/ivan-de-la-pena.html,Spanish,"Santander, Spain",06/05/1976,169 cm,69 kg,Spain,Central Midfielder
soccer/www.123football.com/maniche.html,Portuguese,"Lisbon, Portugal",11/11/1977,173 cm,69 kg,Portugal,Midfielder
soccer/www.123football.com/pablo-zabaleta.html,Argentinian,"Buenos Aires, Argentina",16/01/1985,173 cm,69 kg,Argentina,Midfielder
soccer/www.123football.com/gaizka-mendieta.html,Spanish,Bilbao (Spain),17/03/1974,173 cm,69 kg,Spain,Midfielder
soccer/www.123football.com/francisco-farinos.html,Spanish,"Valencia, Spain",29/03/1978,173 cm,69 kg,Spain,Central Midfielder
soccer/www.123football.com/denis-irwin.html,Irish,"Cork, Ireland",31/10/1965,173 cm,69 kg,Ireland,Left Back
soccer/www.123football.com/cesar-delgado.html,Argentinian,Argentina,18 August 1981,174 cm,69 kg,Argentina,Forward
soccer/www.123football.com/victor-ikpeba.html,Nigerian,"Benin City, Nigeria","Jun 12, 1973",174 cm,69 kg,Nigeria,FW
soccer/www.123football.com/david-villa.html,Spanish,"Langreo, Spain",03/12/1981,175 cm,69 kg,Spain,forward
soccer/www.123football.com/shunsuke-nakamura.html,Japanese,"Yokohama, Japan",24/06/1978,178 cm,69 kg,Japan-A,Midfielder
soccer/www.123football.com/marcio-amoroso.html,Brazilian,"Brasilia, Brazil",05/10/1974,179 cm,69 kg,Brazil,Striker
soccer/www.123football.com/dario-silva.html,Uruguayan,"Treinta y Tres, Uruguay",02 11 1972,180 cm,69 kg,Uruguay,Forward
soccer/www.123football.com/savo-milosevic.html,Serbia-Montenegro,"Leytonstone, England",02/05/1975,180 cm,69 kg,Serbian,"Right Midfielder, Central Midfielder"
soccer/www.123football.com/cesc-fabregas.html,,Arenys of Mar,04/05/1987,180 cm,69 kg,Spain A,Midfielder
soccer/www.123football.com/dejan-stankovic.html,Serbian,"Belgrade, Yougoslavie",11/09/1978,180 cm,69 kg,Serbia-Montenegro,Midfielder
soccer/www.123football.com/marco-bresciano.html,Australian,"Melbourne, Australia",11th February 1980,180 cm,69 kg,Australia,Midfielder
soccer/www.123football.com/jon-dahl-tomasson.html,Danish,"Roskilde, Denmark","August 29, 1976",180 cm,69 kg,Denmark,Forward
soccer/www.123football.com/claudio-pizarro.html,Peruvian,"Callao, Peru","October 3, 1978",180 cm,69 kg,Peru,Foward
soccer/www.123football.com/stewart-downing.html,,"Moddlesbrough, England",22/07/1984,182 cm,69 kg,,Midfielder
soccer/www.123football.com/david-beckham.html,English,"Leytonstone, England",02/05/1975,180 cm,69kg,England,"Right Midfielder, Central Midfielder"
soccer/www.123football.com/roberto-carlos.html,Brazil,"Garca, Brazil",10/04/1973,168 cm,70 kg,Brazilian,Defender
soccer/www.123football.com/gaston-fernandez.html,Argentinian,"Avellaneda, Argentina",12/10/1983,170 cm,70 kg,,Forward
soccer/www.123football.com/obafemi-martins.html,Nigerian,"Lagos, Nigeria",28/10/1984,170 cm,70 kg,Nigeria,"Right Midfielder, Central Midfielder"
soccer/www.123football.com/denis-caniza.html,Paraguayan,"Bella Vista, Paraguay",02/05/1975,171 cm,70 kg,Paraguay,Defender
soccer/www.123football.com/alex-aguinaga.html,Ecuadorean,"Ibarra, Ecuador",07/06/1969,172 cm,70 kg,Ecuador,Midfielder
soccer/www.123football.com/stylianos-giannakopoulos.html,Greek,"Athens, Greece",12 07 1974,172 cm,70 kg,Greece,Midfielder
soccer/www.123football.com/ivan-cordoba.html,Colombian,"Medellin, Colombia",11/08/1976,173 cm,70 kg,Colombia,Defender
soccer/www.123football.com/claude-makelele.html,French,Kinshasa (Zaire),08/08/1992,174 cm,70 kg,France,Midfielder
soccer/www.123football.com/antonio-cassano.html,Italian,"Bari, Italy",12/07/1982,175 cm,70 kg,Italy,"Attacking Midfielder, Forward"
soccer/www.123football.com/jay-jay-okocha.html,Nigerian,"Enugu, Nigeria",14/08/1973,175 cm,70 kg,Nigeria,Midfielder
soccer/www.123football.com/marco-ferrante.html,Italian,"Velletri, Italy",04/02/1971,176 cm,70 kg,,Striker
soccer/www.123football.com/emmanuel-amunike.html,Nigerian,"Ezo Obodo, Nigeria",25/12/1970,176 cm,70 kg,Nigeria,Left Midfielder
soccer/www.123football.com/enrico-chiesa.html,Italian,"Genoa, Italy",29/12/1970,176 cm,70 kg,Italy,Striker
soccer/www.123football.com/damien-duff.html,Irish,"Ballyboden, Ireland",02/03/1979,177 cm,70 kg,Ireland,"Left Wing, Forward"
soccer/www.123football.com/antonio-di-natale.html,Italian,,13/10/1977,177 cm,70 kg,,Striker
soccer/www.123football.com/abdoulaye-cisse.html,French,"Azope, Ivory Coast",24/12/1983,177 cm,70 kg,,Striker
soccer/www.123football.com/pavel-nedved.html,Czech,"Cheb, Czech Republic",30/08/1972,177 cm,70 kg,Czech Republic,Midfielder
soccer/www.123football.com/jerome-rothen.html,,"Châtenay-Malabry, France",31/03/1978,177 cm,70 kg,,Midfielder
soccer/www.123football.com/denny-landzaat.html,,"Amsterdam, Holland","May 6, 1976",177 cm,70 kg,,Forward
soccer/www.123football.com/fernando-torres.html,Spanish,"Madrid, Spain",20/3/1984,178 cm,70 kg,Spain,Forward
soccer/www.123football.com/dmitry-alenichev.html,Russian,"Velike Luki, Russia",27/10/1972,178 cm,70 kg,Russia,"Right Midfielder, Central Midfielder"
soccer/www.123football.com/joseph-desire-job.html,Cameroon,"Venissieux, Cameroon","December 1, 1977",178 cm,70 kg,Cameroon,Forward
soccer/www.123football.com/luis-fernandez.html,French,"Tarifa, Spain",02/10/1959,180 cm,70 kg,France,Defensive Midfielder
soccer/www.123football.com/barry-ferguson.html,Scottish,"Glasgow, Scotland",09/02/1978,180 cm,70 kg,Scotland,Central Midfielder
soccer/www.123football.com/santiago-ezquerro.html,Spanish,"Calahorra, Spain",14/12/1976,180 cm,70 kg,,Striker
soccer/www.123football.com/raul-gonzalez.html,Spanish,"Madrid, Spain",27/06/1977,180 cm,70 kg,Spain,Striker
soccer/www.123football.com/hugo-rodallega.html,Colombian,"El Carmelo (Valle), Colombia","July 25, 1985",180 cm,70 kg,"Colombia- U21, U19",Forward
soccer/www.123football.com/lilian-thuram.html,French,Pointe-à-Pitre (Guadeloupe),01/01/1972,182 cm,70 kg,France,Defender
soccer/www.123football.com/juan-pablo-angel.html,Colombian,"Medelin, Colombia",24/10/1975,183 cm,70 kg,Colombia,Striker
soccer/www.123football.com/taylor-twellman.html,American,"St. Louis, Mo (United States)","February 29, 1980",170 cm,71 kg,United States,Forward
soccer/www.123football.com/alberto-garcia-aspe.html,Mexican,"Mexico City, Mexico",11/05/1967,171 cm,71 kg,Mexico,Midfielder
soccer/www.123football.com/ze-roberto.html,Brazilian,Ipiranga (Brazil),6 July 1974,172 cm,71 kg,Brazil,Midfielder
soccer/www.123football.com/didier-deschamps.html,French,"Bayonne, France",15/10/1968,174 cm,71 kg,France,Defensive Midfielder
soccer/www.123football.com/cristian-gonzalez.html,Argentinian,"Rosario, Argentina",04/08/1974,175 cm,71 kg,Argentina,"Attacking Midfielder, Forward"
soccer/www.123football.com/nick-barmby.html,English,"Hull, England",11/02/1974,178 cm,71 kg,England,"Attacking Midfielder, Forward"
soccer/www.123football.com/didier-domi.html,French,"Sarcelles, France",02/05/1978,179 cm,71 kg,,Left Back
soccer/www.123football.com/julen-guerrero.html,Spanish,"Portugalete, Spain",07/01/1974,179 cm,71 kg,Spain,Midfielder
soccer/www.123football.com/kieran-richardson.html,,Greenwich (England),21/10/1984,179 cm,71 kg,,Midfielder
soccer/www.123football.com/olivier-dacourt.html,French,"Montreuil, France",25/09/1974,180 cm,71 kg,France,Central Midfielder
soccer/www.123football.com/sebastian-deisler.html,German,"Lörrach, Germany",05/01/1980,181 cm,71 kg,"Germany- A, U21",Right Midfielder
soccer/www.123football.com/guti.html,Spanish,"Madrid, Spain",31/10/1976,181 cm,71 kg,Spain,Forward
soccer/www.123football.com/romario.html,Brazilian,"Rio de Janeiro, Brazil",29/01/1966,169 cm,72 kg,Brazil,Striker
soccer/www.123football.com/leonardo-astrada.html,Argentinian,"Capital Federal, Argentina",06/01/1970,174 cm,72 kg,Argentina,Midfielder
soccer/www.123football.com/bernardo-romeo.html,Argentinian,"Tandil, Argentina",10/09/1977,174 cm,72 kg,Argentina,Forward
soccer/www.123football.com/roberto-baggio.html,Italian,"Caldogno, Italy",18/02/1967,174 cm,72 kg,Italy,"Attacking Midfielder, Forward"
soccer/www.123football.com/just-fontaine.html,French,"Marrakech, Morocco",18/08/1933,174 cm,72 kg,France,Forward
soccer/www.123football.com/giovanni-tedesco.html,Italian,"Palerme, Italy",01/02/1976,175 cm,72 kg,Italy,Midfielder
soccer/www.123football.com/hidetoshi-nakata.html,Japanese,"Yamanashi, Japan",22/01/1977,175 cm,72 kg,Japan,Midfielder
soccer/www.123football.com/sidney-govou.html,,Le Puy-en-Velay (France),27/07/1979,175 cm,72 kg,,Forward
soccer/www.123football.com/paulo-futre.html,Portuguese,"Montijo, Portugal",28/02/1966,175 cm,72 kg,Portugal,"Midfielder, Attacking Midfielder, Forward"
soccer/www.123football.com/vicente.html,Spanish,"Valencia, Spain","July 16, 1981",175 cm,72 kg,Spain,Midfielder
soccer/www.123football.com/diego-placente.html,Argentinian,"Buenos Aires, Argentina",24/04/1977,176 cm,72 kg,Argentina,Defender
soccer/www.123football.com/niko-kovac.html,Croatian,"Berlin, Germany","October 15, 1971",176 cm,72 kg,Croatia,Midfielder
soccer/www.123football.com/matias-almeyda.html,Argentinian,"Azul, Argentina",21/12/1973,177 cm,72 kg,Argentina,Defensive Midfielder
soccer/www.123football.com/gheorghe-hagi.html,Romanian,"Brasov, Romania","February 5, 1965",177 cm,72 kg,,"Left Midfielder, Attacking Midfielder"
soccer/www.123football.com/simone-perrotta.html,Italian,"Ashon, England",17/09/1977,178 cm,72 kg,Italy,Midfielder
soccer/www.123football.com/claudio-reyna.html,American,"Livingston, New Jersey, United States",20/07/1973,178 cm,72 kg,United States,Central Midfielder
soccer/www.123football.com/carlos-bianchi.html,Argentinian,"Buenos Aires, Argentina",29/04/1949,178 cm,72 kg,Argentina,Striker
soccer/www.123football.com/gabriel-heinze.html,Argentinian,"Crespo, Argentina","March 19, 1978",178 cm,72 kg,,"Left Back, Central Defender"
soccer/www.123football.com/constantin-galca.html,Romanian,"Bucuresti, Romania",08/03/1972,179 cm,72 kg,Romania,Central Midfielder
soccer/www.123football.com/luciano-galletti.html,Argentinian,"La Plata, Argentina",09/04/1980,179 cm,72 kg,Argentina,Forward
soccer/www.123football.com/javier-portillo.html,Spanish,"Madrid, Spain",30/03/1982,180 cm,72 kg,,Striker
soccer/www.123football.com/salvador-cabanas.html,Paraguayan,"Asunción, Paraguay","August 5, 1980",180 cm,72 kg,"Paraguay- A, U21","Right Midfielder, Central Midfielder"
soccer/www.123football.com/luc-nilis.html,Belgian,"Birth Hasselt, Belgium","May 25, 1967",182 cm,72 kg,Belgium,Striker
soccer/www.123football.com/jared-borgetti.html,Mexican,"Culiacan, Mexico",14/08/1974,183 cm,72 kg,Mexico,Forward
soccer/www.123football.com/mustapha-hadji.html,Moroccan,"Ifrane, Morocco","November 16, 1971",184 cm,72 kg,,Midfielder
soccer/www.123football.com/vaclav-sverkos.html,Czech,Czech Republic,01/11/1983,185 cm,72 kg,Czech Republic,Forward
soccer/www.123football.com/marko-babic.html,Croatian,Croatia,28/01/1981,186 cm,72 kg,,Midfielder
soccer/www.123football.com/jefferson-farfan.html,Peruvian,"Lima, Peru",28/10/1984,74 cm,72 kg,Peru,Forward
soccer/www.123football.com/diego.html,Brazilian,"Ribeirão Preto, Brazil",28/02/1985,170 cm,73 kg,Brazil,"Attacking Midfielder, Forward"
soccer/www.123football.com/fabian-estay.html,Chilean,Chile,05/10/1968,172 cm,73 kg,Chile,Right Wing
soccer/www.123football.com/alessandro-del-piero.html,Italian,"Conegliano, Italy",09/11/1974,173 cm,73 kg,"Italy- A, U21","Attacking Midfielder, Forward"
soccer/www.123football.com/robert-warzycha.html,Polish,"Siemkowice, Poland",20/08/1963,173 cm,73 kg,Poland,"Midfielder, Right Wing"
soccer/www.123football.com/tomasz-radzinski.html,Canadian,"Poznan, Poland",14/12/1973,174 cm,73 kg,Canada,Forward
soccer/www.123football.com/deco.html,Portuguese,"São Bernardo do Campo, Brazil",27/08/1977,174 cm,73 kg,Portugal,Attacking Midfielder
soccer/www.123football.com/angelo-di-livio.html,Italian,"Roma, Italy",26/07/1966,175 cm,73 kg,Italy,Defensive Midfielder
soccer/www.123football.com/robbie-keane.html,Irish,"Dublin, Ireland",08/07/1980,176 cm,73 kg,Ireland,Forward
soccer/www.123football.com/ulises-de-la-cruz.html,Ecuadorian,"Quito, Equador",08/08/1974,176 cm,73 kg,Equador,Defender
soccer/www.123football.com/cuauhtemoc-blanco.html,Mexican,"Mexico City, Mexico",17/01/1973,177 cm,73 kg,Mexico,Forward
soccer/www.123football.com/javier-zanetti.html,Argentinian,"Buenos Aires, Argentina",10/08/1973,178 cm,73 kg,Argentina,"Right Back, Right Midfielder"
soccer/www.123football.com/eduardo-coudet.html,Argentinian,"Buenos Aires, Argentina",12/09/1974,178 cm,73 kg,,Midfielder
soccer/www.123football.com/ivan-zamorano.html,Chilean,"Colonia de Maipu, Chile",17/01/1967,178 cm,73 kg,Chile,Forward
soccer/www.123football.com/roberto-baronio.html,Italian,"Manerbio, Italy",11/12/1977,179 cm,73 kg,,Midfielder
soccer/www.123football.com/michel-platini.html,French,"Joeuf, France",21/06/1955,179 cm,73 kg,France,Midfielder
soccer/www.123football.com/massimo-maccarone.html,Italian,"Galliate, Italy",06/09/1979,180 cm,73 kg,Italy,Forward
soccer/www.123football.com/gonzalo-rodriguez.html,Argentinian,"Buenos Aires, Argentina",10/04/1984,180 cm,73 kg,Argentina,Defender
soccer/www.123football.com/josep-guardiola.html,Spanish,"Barcelona, Spain",18/01/1971,180 cm,73 kg,Spain,Central Midfielder
soccer/www.123football.com/hugo-viana.html,Portuguese,"Barcelos , Portugal",02/05/1975,181 cm,73 kg,Portugal,Midfielder
soccer/www.123football.com/giuseppe-favalli.html,Italian,"Ozinuovi, Italy",08/01/1972,181 cm,73 kg,Italy,Left Back
soccer/www.123football.com/florent-malouda.html,French Guiana,"Guyane, France",13/06/1980,181 cm,73 kg,France A-,Midfielder
soccer/www.123football.com/martijn-meerdink.html,,"Amsterdam, Holland",15/09/1976,181 cm,73 kg,,Forward
soccer/www.123football.com/paolo-guerrero.html,Peruvian,"Lima, Peru","January 1, 1984",183 cm,73 kg,Peru,Striker
soccer/www.123football.com/salif-diao.html,Senegalese,"Kendougou, Senegal",10/02/1977,184 cm,73 kg,Senegal,Midfielder
soccer/www.123football.com/roque-junior.html,Brazilian,"Mendoza, Argentina",31 August 1976,186 cm,73 kg,Brazil,"Right Back, Central Defender"
soccer/www.123football.com/philippe-christanval.html,French,,31/08/1978,190 cm,73 kg,France,"Sweeper, Defender"
soccer/www.123football.com/hugo-ibarra.html,Argentinian,"El Colorado, Argentina",01/04/1974,170 cm,74 kg,,Defender
soccer/www.123football.com/oliver-neuville.html,German,"Locarno, Switzerland",01/05/1973,171 cm,74 kg,Germany,Forward
soccer/www.123football.com/zinho.html,Brazilian,"Rio de Janeiro, Brazil",17/06/1967,172 cm,74 kg,Brazil,Attacking Midfielder
soccer/www.123football.com/ruben-sosa.html,Uruguayan,"Montevideo, Uruguay","April 25, 1966",172 cm,74 kg,Uruguay,Forward
soccer/www.123football.com/gabri.html,Spanish,"Barcelona, Spain",10/02/1979,174 cm,74 kg,Spain,"Right Back, Right Midfielder"
soccer/www.123football.com/lucas-castroman.html,Argentinian,"Villa Flandria, Argentina",10/02/1980,174 cm,74 kg,,Midfielder
soccer/www.123football.com/anders-andersson.html,Swedish,"Tomelilla, Sweden",15/03/1974,174 cm,74 kg,Sweden,Central Midfielder
soccer/www.123football.com/paulo-nunes.html,Brazilian,"Pontalina-GO, Brazil",30/10/1971,174 cm,74 kg,Brazil,Striker
soccer/www.123football.com/luigi-di-biagio.html,Italian,"Rome, Italy",03/06/1971,175 cm,74 kg,Italy,"Right Midfielder, Central Midfielder"
soccer/www.123football.com/luis-oliveira.html,Belgian,"São Luís, Maranhão, Brazil",24 March 1969,176 cm,74 kg,Belgium,Striker
soccer/www.123football.com/krasimir-balakov.html,Bulgarian,"Veliko Ternovo, Bulgaria",29/03/1966,176 cm,74 kg,Bulgaria,Central Midfielder
soccer/www.123football.com/flavio-conceicao.html,Brazilian,"São Paulo, Brazil",12/06/1974,178 cm,74 kg,Brazil,Defensive Midfielder
soccer/www.123football.com/adrian-ilie.html,Romanian,"Craiova, Romania",20/04/1974,178 cm,74 kg,Romania,"Attacking Midfielder, Forward"
soccer/www.123football.com/paul-ince.html,English,"Ilford, England",21/10/1967,178 cm,74 kg,England,Central Midfielder
soccer/www.123football.com/marcos-assuncao.html,Brazilian,,25/07/1976,178 cm,74 kg,Brazil,Attacking Midfielder
soccer/www.123football.com/john-harkes.html,American,"Kearney, New Jersey, United States","March 8, 1967",178 cm,74 kg,,Right Midfielder
soccer/www.123football.com/federico-insua.html,Argentinian,"Capital Federal, Argentina",03/01/1980,179 cm,74 kg,,Midfielder
soccer/www.123football.com/juninho-pernambucano.html,Brazilian,"Recife, Brazil",30/01/1975,179 cm,74 kg,Brazil,Midfielder
soccer/www.123football.com/paolo-montero.html,Uruguayan,"Montevideo, Uruguay","September 3, 1971",179 cm,74 kg,Uruguay,Defender
soccer/www.123football.com/cosmin-contra.html,Romanian,"Timisoara , Romania",02/05/1975,180 cm,74 kg,Romania,Defence
soccer/www.123football.com/junichi-inamoto.html,Japanese,"Osaka, Japan",18/09/1979,180 cm,74 kg,Japan,Central Midfielder
soccer/www.123football.com/sebastian-battaglia.html,Argentinian,"Santa Fe, Argentina",Nov 8 1980,180 cm,74 kg,Argentina,Midfielder
