url,NUMBER : shirt_number,STRING : position,SPACE : height,MASS : weight,DATE : birthdate,STRING : national_team
soccer/soccernet.espn.go.com/8054.html,3,Defender,1.72 M,67 Kg,"Dec 20, 1980",England
soccer/soccernet.espn.go.com/85695.html,22,Striker,1.72 M,73 Kg,"Jun 17, 1985",Brazil
soccer/soccernet.espn.go.com/83060.html,11,Midfielder,1.78 M,68 Kg,"Jun 16, 1982",Paraguay
soccer/soccernet.espn.go.com/81965.html,,Defender,,,,Nigeria
soccer/soccernet.espn.go.com/38880.html,,Defender,1.76 M,72 Kg,"Feb 14, 1983",France
soccer/soccernet.espn.go.com/20662.html,17,Forward,1.84 M,80 Kg,"Nov 12, 1977",South Africa
soccer/soccernet.espn.go.com/100777.html,5,Midfielder,1.78 M,68 Kg,"Jan 19, 1985",United States
soccer/soccernet.espn.go.com/101583.html,5,Midfielder,1.80 M,68 Kg,"Jan 19, 1985",United States
soccer/soccernet.espn.go.com/101577.html,4,Defender,1.89 M,84 Kg,"Mar 15, 1983",United States
soccer/soccernet.espn.go.com/79535.html,,Goalkeeper,,,,Germany
soccer/soccernet.espn.go.com/7777.html,1,Goalkeeper,1.88 M,91 Kg,"May 18, 1971",United States
soccer/soccernet.espn.go.com/101646.html,23,Goalkeeper,,,"Sep 09, 1984",United States
soccer/soccernet.espn.go.com/74669.html,23,Midfielder,1.93 M,95 Kg,"Sep 09, 1984",United States
soccer/soccernet.espn.go.com/66240.html,,Forward,1.86 M,70 Kg,"Aug 18, 1985",Costa Rica
soccer/soccernet.espn.go.com/20380.html,3,Defender,1.81 M,79 Kg,"Nov 24, 1968",Turkey
soccer/soccernet.espn.go.com/12338.html,,Defender,1.78 M,78 Kg,"Jun 07, 1970",Brazil
soccer/soccernet.espn.go.com/40914.html,3,Defender,1.83 M,77 Kg,"May 25, 1979",United States
soccer/soccernet.espn.go.com/20968.html,6,Midfielder,1.76 M,75 Kg,"Oct 02, 1977",Paraguay
soccer/soccernet.espn.go.com/11839.html,4,Defender,1.83 M,78 Kg,"Jul 31, 1979",Spain
soccer/soccernet.espn.go.com/20136.html,18,Forward,1.83 M,81 Kg,"May 14, 1979",Ecuador
soccer/soccernet.espn.go.com/72490.html,11,Striker,1.68 M,67 Kg,"Feb 05, 1984",Argentina
soccer/soccernet.espn.go.com/2884.html,5,Defender,1.77 M,74 Kg,"Aug 20, 1970",Paraguay
soccer/soccernet.espn.go.com/111870.html,,null,,,,Mexico
soccer/soccernet.espn.go.com/21301.html,16,Forward,1.83 M,73 Kg,"Jul 25, 1980",South Korea
soccer/soccernet.espn.go.com/102639.html,26,null,,,,South Korea
soccer/soccernet.espn.go.com/81967.html,,Defender,,,,Nigeria
soccer/soccernet.espn.go.com/46576.html,13,Defender,1.83 M,76 Kg,"Jul 29, 1983",South Korea
soccer/soccernet.espn.go.com/21307.html,11,Forward,1.84 M,79 Kg,"Sep 10, 1973",South Korea
soccer/soccernet.espn.go.com/21542.html,22,Midfielder,1.75 M,71 Kg,"Feb 20, 1979",South Korea
soccer/soccernet.espn.go.com/76891.html,23,Striker,1.68 M,68 Kg,"May 01, 1986",Ecuador
soccer/soccernet.espn.go.com/9368.html,17,Midfielder,1.82 M,76 Kg,"Feb 28, 1980",Denmark
soccer/soccernet.espn.go.com/10732.html,21,Defender,1.93 M,84 Kg,"Nov 05, 1980",Germany
soccer/soccernet.espn.go.com/11816.html,6,Midfielder,1.70 M,66 Kg,"Feb 18, 1973",France
soccer/soccernet.espn.go.com/20244.html,7,Midfielder,1.74 M,70 Kg,"Feb 18, 1973",France
soccer/soccernet.espn.go.com/21534.html,21,Forward,1.72 M,68 Kg,"Jan 09, 1967",Argentina
soccer/soccernet.espn.go.com/44424.html,3,Defender,1.75 M,74 Kg,"Feb 02, 1978",Paraguay
soccer/soccernet.espn.go.com/6780.html,10,Midfielder,1.78 M,72 Kg,"Jul 20, 1973",United States
soccer/soccernet.espn.go.com/2626.html,2,Defender,1.78 M,75 Kg,"Dec 17, 1968",Mexico
soccer/soccernet.espn.go.com/66244.html,16,Midfielder,1.78 M,67 Kg,"May 17, 1984",Costa Rica
soccer/soccernet.espn.go.com/72402.html,7,Midfielder,1.78 M,67 Kg,"May 17, 1984",Costa Rica
soccer/soccernet.espn.go.com/65465.html,10,Midfielder,1.62 M,60 Kg,"Apr 27, 1980",Ecuador
soccer/soccernet.espn.go.com/22774.html,17,Midfielder,1.84 M,75 Kg,"Feb 05, 1985",Portugal
soccer/soccernet.espn.go.com/19125.html,10,Forward,1.77 M,73 Kg,"Jan 17, 1973",Mexico
soccer/soccernet.espn.go.com/20643.html,2,Defender,1.82 M,75 Kg,"Jun 26, 1974",South Africa
soccer/soccernet.espn.go.com/8999.html,9,Striker,1.90 M,86 Kg,"Nov 05, 1974",Croatia
soccer/soccernet.espn.go.com/9506.html,4,Defender,1.90 M,88 Kg,"Apr 05, 1977",Sweden
soccer/soccernet.espn.go.com/20156.html,23,Midfielder,1.72 M,69 Kg,"May 19, 1980",Cameroon
soccer/soccernet.espn.go.com/101578.html,7,Defender,1.85 M,79 Kg,"Mar 17, 1980",United States
soccer/soccernet.espn.go.com/7814.html,2,Defender,1.80 M,74 Kg,"May 18, 1977",England
soccer/soccernet.espn.go.com/71154.html,20,Forward,1.85 M,83 Kg,"Aug 16, 1983",Paraguay
soccer/soccernet.espn.go.com/20633.html,6,Defender,1.88 M,84 Kg,"Sep 17, 1974",Uruguay
soccer/soccernet.espn.go.com/2959.html,9,Forward,1.78 M,73 Kg,"Nov 02, 1972",Uruguay
soccer/soccernet.espn.go.com/45110.html,17,Defender,1.83 M,80 Kg,"Dec 09, 1983",Poland
soccer/soccernet.espn.go.com/38178.html,22,Striker,1.77 M,70 Kg,"Feb 25, 1983",Croatia
soccer/soccernet.espn.go.com/23602.html,7,Midfielder,1.73 M,76 Kg,"Aug 27, 1984",England
soccer/soccernet.espn.go.com/7610.html,13,Goalkeeper,1.94 M,95 Kg,"Aug 01, 1970",England
soccer/soccernet.espn.go.com/12719.html,20,Striker,1.87 M,75 Kg,"Oct 15, 1977",France
soccer/soccernet.espn.go.com/28600.html,21,Striker,1.75 M,69 Kg,"Dec 03, 1981",Spain
soccer/soccernet.espn.go.com/81992.html,,Defender,,,,Ireland
soccer/soccernet.espn.go.com/11070.html,19,Forward,1.78 M,68 Kg,"Jul 22, 1978",Denmark
soccer/soccernet.espn.go.com/12107.html,17,Forward,1.77 M,65 Kg,"Aug 24, 1977",Brazil
soccer/soccernet.espn.go.com/2918.html,14,Midfielder,1.76 M,74 Kg,"Mar 01, 1980",Paraguay
soccer/soccernet.espn.go.com/8956.html,11,Midfielder,1.70 M,67 Kg,"Mar 01, 1980",Paraguay
soccer/soccernet.espn.go.com/101496.html,17,Midfielder,1.74 M,73 Kg,"Feb 28, 1985",Brazil
soccer/soccernet.espn.go.com/2673.html,,Midfielder,,,,Argentina
soccer/soccernet.espn.go.com/79583.html,,Midfielder,,,,Italy
soccer/soccernet.espn.go.com/27021.html,,Defender,1.88 M,79 Kg,"May 26, 1981",Croatia
soccer/soccernet.espn.go.com/82063.html,,Defender,,,,Belgium
soccer/soccernet.espn.go.com/9282.html,9,Striker,1.82 M,78 Kg,"Aug 12, 1981",France
soccer/soccernet.espn.go.com/46569.html,3,Midfielder,1.83 M,74 Kg,"Jan 29, 1982",South Korea
soccer/soccernet.espn.go.com/101613.html,15,null,1.85 M,,"Jan 15, 1984",United States
soccer/soccernet.espn.go.com/21161.html,17,Defender,1.87 M,80 Kg,"Feb 09, 1982",China
soccer/soccernet.espn.go.com/19137.html,8,Forward,1.75 M,66 Kg,"Mar 28, 1969",United States
soccer/soccernet.espn.go.com/9540.html,11,Forward,1.83 M,78 Kg,"Jul 19, 1972",Denmark
soccer/soccernet.espn.go.com/101610.html,11,Midfielder,1.83 M,,"Oct 25, 1986",United States
soccer/soccernet.espn.go.com/36438.html,9,Striker,1.83 M,82 Kg,"Mar 31, 1984",United States
soccer/soccernet.espn.go.com/19135.html,23,Defender,1.85 M,81 Kg,"Dec 24, 1973",United States
soccer/soccernet.espn.go.com/76749.html,15,Midfielder,1.74 M,70 Kg,"Mar 25, 1988",Paraguay
soccer/soccernet.espn.go.com/101616.html,15,Midfielder,1.78 M,72 Kg,"Apr 10, 1979",Paraguay
soccer/soccernet.espn.go.com/15132.html,20,Forward,1.85 M,73 Kg,"Sep 17, 1970",Brazil
soccer/soccernet.espn.go.com/2867.html,19,Midfielder,1.75 M,72 Kg,"Mar 16, 1979",Ecuador
soccer/soccernet.espn.go.com/35997.html,30,Defender,1.89 M,82 Kg,"Nov 27, 1981",Portugal
soccer/soccernet.espn.go.com/21640.html,16,Defender,1.85 M,79 Kg,"Oct 05, 1972",Nigeria
soccer/soccernet.espn.go.com/12339.html,5,Midfielder,1.84 M,82 Kg,"Apr 04, 1976",Brazil
soccer/soccernet.espn.go.com/14781.html,11,Forward,1.80 M,70 Kg,"Dec 22, 1978",Poland
soccer/soccernet.espn.go.com/73640.html,13,Midfielder,1.79 M,67 Kg,"Mar 10, 1979",Paraguay
soccer/soccernet.espn.go.com/101621.html,13,null,,,,Paraguay
soccer/soccernet.espn.go.com/19084.html,5,Midfielder,1.77 M,78 Kg,"Aug 18, 1980",Argentina
soccer/soccernet.espn.go.com/2942.html,1,Goalkeeper,1.89 M,82 Kg,"Dec 26, 1979",Uruguay
soccer/soccernet.espn.go.com/8851.html,16,Goalkeeper,1.83 M,78 Kg,"Jun 28, 1971",France
soccer/soccernet.espn.go.com/20286.html,5,Defender,1.75 M,72 Kg,"Sep 13, 1973",Italy
soccer/soccernet.espn.go.com/15299.html,3,Midfielder,1.90 M,82 Kg,"Nov 28, 1977",Italy
soccer/soccernet.espn.go.com/19667.html,27,Striker,1.82 M,73 Kg,"Oct 31, 1983",Italy
soccer/soccernet.espn.go.com/82047.html,,Midfielder,,,,Saudi Arabia
soccer/soccernet.espn.go.com/20367.html,4,Defender,1.80 M,77 Kg,"Dec 26, 1977",Turkey
soccer/soccernet.espn.go.com/3742.html,3,Defender,1.67 M,58 Kg,"Aug 08, 1983",Mexico
soccer/soccernet.espn.go.com/50959.html,28,Midfielder,1.70 M,61 Kg,"Sep 08, 1986",Portugal
soccer/soccernet.espn.go.com/68035.html,9,Striker,1.79 M,70 Kg,"Apr 02, 1983",Ecuador
soccer/soccernet.espn.go.com/68809.html,18,Forward,1.78 M,71 Kg,"Apr 02, 1983",Ecuador
soccer/soccernet.espn.go.com/20788.html,17,Defender,1.79 M,81 Kg,"Sep 10, 1973",Senegal
soccer/soccernet.espn.go.com/96984.html,20,Midfielder,1.74 M,65 Kg,"Apr 24, 1980",Mexico
soccer/soccernet.espn.go.com/3669.html,20,Forward,1.68 M,72 Kg,"Apr 24, 1980",Mexico
soccer/soccernet.espn.go.com/50961.html,16,Midfielder,1.77 M,65 Kg,"Apr 10, 1986",Argentina
soccer/soccernet.espn.go.com/12638.html,3,Defender,1.88 M,81 Kg,"May 08, 1978",Brazil
soccer/soccernet.espn.go.com/11883.html,18,Striker,1.81 M,74 Kg,"Aug 09, 1973",Italy
soccer/soccernet.espn.go.com/10624.html,7,Midfielder,1.81 M,73 Kg,"Jun 13, 1980",France
soccer/soccernet.espn.go.com/10293.html,10,Striker,1.80 M,80 Kg,"Sep 27, 1976",Italy
soccer/soccernet.espn.go.com/21516.html,11,Midfielder,1.80 M,78 Kg,"Aug 04, 1973",Spain
soccer/soccernet.espn.go.com/45946.html,17,Striker,1.84 M,79 Kg,"Oct 02, 1979",Mexico
soccer/soccernet.espn.go.com/40887.html,13,Goalkeeper,1.85 M,72 Kg,"Jul 13, 1985",Mexico
soccer/soccernet.espn.go.com/2638.html,,Forward,1.75 M,71 Kg,"Apr 28, 1973",Mexico
soccer/soccernet.espn.go.com/76924.html,22,Defender,1.84 M,68 Kg,"Oct 20, 1981",Mexico
soccer/soccernet.espn.go.com/14282.html,26,Midfielder,1.77 M,71 Kg,"Jun 20, 1980",Italy
soccer/soccernet.espn.go.com/8941.html,8,Midfielder,1.83 M,90 Kg,"Jun 20, 1978",England
soccer/soccernet.espn.go.com/10575.html,18,Defender,1.83 M,76 Kg,"Jan 22, 1968",France
soccer/soccernet.espn.go.com/47265.html,21,Forward,1.85 M,75 Kg,"Oct 03, 1983",Brazil
soccer/soccernet.espn.go.com/20353.html,9,Midfielder,1.76 M,75 Kg,"Apr 16, 1977",Sweden
soccer/soccernet.espn.go.com/8063.html,9,Midfielder,1.76 M,75 Kg,"Apr 16, 1977",Sweden
soccer/soccernet.espn.go.com/2658.html,9,Forward,1.85 M,73 Kg,"Feb 01, 1969",Argentina
soccer/soccernet.espn.go.com/10481.html,6,Defender,1.78 M,72 Kg,"Mar 19, 1978",Argentina
soccer/soccernet.espn.go.com/21308.html,13,Midfielder,1.85 M,78 Kg,"Jul 13, 1970",China
soccer/soccernet.espn.go.com/41579.html,15,Defender,1.83 M,73 Kg,"Mar 30, 1986",Spain
soccer/soccernet.espn.go.com/8185.html,4,Midfielder,1.83 M,79 Kg,"Feb 23, 1981",England
soccer/soccernet.espn.go.com/20263.html,18,Defender,1.73 M,69 Kg,"Jul 09, 1974",Ireland
soccer/soccernet.espn.go.com/82022.html,,Defender,,,,Ireland
soccer/soccernet.espn.go.com/20296.html,8,Midfielder,1.74 M,70 Kg,"Jan 09, 1978",Italy
soccer/soccernet.espn.go.com/32697.html,17,Defender,1.85 M,68 Kg,"Apr 12, 1977",Ecuador
soccer/soccernet.espn.go.com/16560.html,6,Midfielder,1.73 M,73 Kg,"Apr 30, 1979",Mexico
soccer/soccernet.espn.go.com/9711.html,11,Midfielder,1.89 M,86 Kg,"Sep 20, 1970",Belgium
soccer/soccernet.espn.go.com/82453.html,,Forward,,,,Italy
soccer/soccernet.espn.go.com/11949.html,19,Midfielder,1.81 M,79 Kg,"Feb 19, 1977",Italy
soccer/soccernet.espn.go.com/12947.html,1,Goalkeeper,1.91 M,83 Kg,"Jan 28, 1978",Italy
soccer/soccernet.espn.go.com/65539.html,16,Defender,1.80 M,78 Kg,"Apr 25, 1976",Brazil
soccer/soccernet.espn.go.com/3071.html,5,Defender,1.74 M,76 Kg,"Oct 01, 1979",Costa Rica
soccer/soccernet.espn.go.com/20131.html,17,Midfielder,1.91 M,78 Kg,"Oct 07, 1976",Brazil
soccer/soccernet.espn.go.com/96167.html,17,Defender,1.84 M,85 Kg,"Apr 12, 1977",Ecuador
soccer/soccernet.espn.go.com/81990.html,,Forward,,,,Italy
soccer/soccernet.espn.go.com/87372.html,3,Defender,1.78 M,79 Kg,"Aug 04, 1980",Poland
soccer/soccernet.espn.go.com/81776.html,,Defender,,,,Germany
soccer/soccernet.espn.go.com/2969.html,8,Forward,1.78 M,74 Kg,"May 14, 1978",Uruguay
soccer/soccernet.espn.go.com/82066.html,,Midfielder,,,,Saudi Arabia
soccer/soccernet.espn.go.com/21176.html,10,Forward,1.75 M,70 Kg,"Aug 25, 1970",China
soccer/soccernet.espn.go.com/3069.html,15,Defender,1.75 M,72 Kg,"Sep 07, 1975",Costa Rica
soccer/soccernet.espn.go.com/19162.html,8,Midfielder,1.71 M,72 Kg,"Feb 23, 1974",Tunisia
soccer/soccernet.espn.go.com/30124.html,41,Defender,1.88 M,80 Kg,"Aug 14, 1983",Germany
soccer/soccernet.espn.go.com/4266.html,11,Striker,1.78 M,75 Kg,"Sep 20, 1971",Sweden
soccer/soccernet.espn.go.com/12907.html,8,Midfielder,1.68 M,66 Kg,"Jan 25, 1980",Spain
soccer/soccernet.espn.go.com/91297.html,24,Midfielder,1.73 M,68 Kg,"May 21, 1979",Japan
soccer/soccernet.espn.go.com/11011.html,7,Midfielder,1.75 M,72 Kg,"Jan 22, 1977",Japan
soccer/soccernet.espn.go.com/81939.html,,Defender,,,,South Korea
soccer/soccernet.espn.go.com/67193.html,4,Defender,1.71 M,74 Kg,"Apr 01, 1974",Argentina
soccer/soccernet.espn.go.com/79628.html,13,Defender,1.72 M,65 Kg,"Jan 21, 1977",Saudi Arabia
soccer/soccernet.espn.go.com/21154.html,18,Forward,1.83 M,79 Kg,"Jul 14, 1968",South Korea
soccer/soccernet.espn.go.com/102617.html,2,Defender,,,"Nov 22, 1984",Saudi Arabia
soccer/soccernet.espn.go.com/19295.html,1,Goalkeeper,1.84 M,80 Kg,"May 20, 1981",Spain
soccer/soccernet.espn.go.com/20373.html,17,Forward,1.84 M,79 Kg,"Aug 10, 1975",Turkey
soccer/soccernet.espn.go.com/78705.html,,Goalkeeper,,,,Spain
soccer/soccernet.espn.go.com/18581.html,5,Defender,1.76 M,67 Kg,"Feb 20, 1980",Mexico
soccer/soccernet.espn.go.com/11880.html,8,Midfielder,1.77 M,77 Kg,"Jan 09, 1978",Italy
soccer/soccernet.espn.go.com/3110.html,3,Defender,1.80 M,77 Kg,"Aug 16, 1974",Ecuador
soccer/soccernet.espn.go.com/32689.html,3,Defender,1.80 M,77 Kg,"Aug 16, 1974",Ecuador
soccer/soccernet.espn.go.com/96179.html,3,Defender,1.80 M,78 Kg,"Aug 16, 1974",Ecuador
soccer/soccernet.espn.go.com/14586.html,10,Striker,1.83 M,71 Kg,"Oct 24, 1977",Ecuador
soccer/soccernet.espn.go.com/69562.html,7,Midfielder,1.84 M,72 Kg,"Mar 10, 1988",Croatia
soccer/soccernet.espn.go.com/21018.html,18,Striker,1.82 M,82 Kg,"Sep 14, 1979",Croatia
soccer/soccernet.espn.go.com/115903.html,,null,,,,South Korea
soccer/soccernet.espn.go.com/3063.html,,Midfielder,1.73 M,66 Kg,"Apr 01, 1976",Costa Rica
soccer/soccernet.espn.go.com/100544.html,4,Defender,,,"Jul 19, 1984",Ecuador
soccer/soccernet.espn.go.com/67640.html,16,Midfielder,1.75 M,71 Kg,"Dec 14, 1985",Poland
soccer/soccernet.espn.go.com/2629.html,9,Striker,1.85 M,78 Kg,"Aug 14, 1973",Mexico
soccer/soccernet.espn.go.com/20284.html,7,Midfielder,1.77 M,65 Kg,"Jun 18, 1971",Ireland
soccer/soccernet.espn.go.com/82023.html,,Forward,,,,Ireland
soccer/soccernet.espn.go.com/2663.html,,Defender,1.78 M,75 Kg,"Aug 10, 1973",Argentina
soccer/soccernet.espn.go.com/19909.html,8,Midfielder,1.83 M,77 Kg,"Sep 10, 1983",France
soccer/soccernet.espn.go.com/5159.html,17,Midfielder,1.79 M,76 Kg,"Feb 18, 1983",England
soccer/soccernet.espn.go.com/3070.html,2,Defender,1.72 M,66 Kg,"Sep 08, 1976",Costa Rica
soccer/soccernet.espn.go.com/20314.html,1,Goalkeeper,1.87 M,81 Kg,"Mar 23, 1973",Poland
soccer/soccernet.espn.go.com/16558.html,21,Midfielder,1.75 M,69 Kg,"May 08, 1973",Mexico
soccer/soccernet.espn.go.com/21159.html,22,Goalkeeper,1.98 M,87 Kg,"Oct 07, 1969",China
soccer/soccernet.espn.go.com/76838.html,15,Midfielder,1.74 M,60 Kg,"Feb 28, 1985",South Korea
soccer/soccernet.espn.go.com/21540.html,4,Defender,1.87 M,77 Kg,"Mar 26, 1971",South Korea
soccer/soccernet.espn.go.com/46568.html,6,Defender,1.83 M,83 Kg,"Feb 16, 1985",South Korea
soccer/soccernet.espn.go.com/21544.html,7,Striker,1.75 M,72 Kg,"Feb 25, 1981",South Korea
soccer/soccernet.espn.go.com/21518.html,22,Midfielder,1.79 M,75 Kg,"Jul 21, 1981",Spain
soccer/soccernet.espn.go.com/7976.html,11,Midfielder,1.76 M,73 Kg,"Nov 08, 1981",England
soccer/soccernet.espn.go.com/81941.html,,Midfielder,,,,South Korea
soccer/soccernet.espn.go.com/76840.html,25,Striker,1.85 M,78 Kg,"Apr 23, 1984",South Korea
soccer/soccernet.espn.go.com/100543.html,13,Defender,,,,Ecuador
soccer/soccernet.espn.go.com/101009.html,9,Striker,,,"Feb 23, 1976",Costa Rica
soccer/soccernet.espn.go.com/101017.html,9,Forward,,,"Feb 23, 1976",Costa Rica
soccer/soccernet.espn.go.com/43955.html,2,Defender,1.78 M,79 Kg,"Jan 11, 1981",Mexico
soccer/soccernet.espn.go.com/20115.html,5,Midfielder,1.73 M,66 Kg,"Aug 29, 1977",United States
soccer/soccernet.espn.go.com/81996.html,,Midfielder,,,,Ireland
soccer/soccernet.espn.go.com/34224.html,11,Midfielder,1.79 M,75 Kg,"Sep 10, 1981",Paraguay
soccer/soccernet.espn.go.com/100781.html,17,Defender,1.82 M,80 Kg,"Jan 03, 1986",United States
soccer/soccernet.espn.go.com/115900.html,,null,,,,South Korea
soccer/soccernet.espn.go.com/81468.html,,Midfielder,,,,South Korea
soccer/soccernet.espn.go.com/72585.html,17,Forward,,,,Paraguay
soccer/soccernet.espn.go.com/3269.html,15,Defender,1.73 M,55 Kg,"Aug 11, 1980",Mexico
soccer/soccernet.espn.go.com/12236.html,10,Striker,1.75 M,71 Kg,"Sep 01, 1983",Spain
soccer/soccernet.espn.go.com/82069.html,,Forward,,,,Spain
soccer/soccernet.espn.go.com/10362.html,31,Defender,1.83 M,75 Kg,"Aug 24, 1982",Portugal
soccer/soccernet.espn.go.com/82068.html,,Midfielder,,,,Spain
soccer/soccernet.espn.go.com/21835.html,12,Goalkeeper,1.81 M,82 Kg,"Jan 26, 1981",Mexico
soccer/soccernet.espn.go.com/2850.html,1,Goalkeeper,1.82 M,80 Kg,"Apr 17, 1971",Ecuador
soccer/soccernet.espn.go.com/20142.html,1,Goalkeeper,1.94 M,89 Kg,"Jul 27, 1965",Paraguay
soccer/soccernet.espn.go.com/43007.html,18,Goalkeeper,1.84 M,81 Kg,"Nov 08, 1970",Costa Rica
soccer/soccernet.espn.go.com/35912.html,25,Midfielder,1.79 M,65 Kg,"Mar 17, 1983",Portugal
soccer/soccernet.espn.go.com/20122.html,11,Midfielder,1.72 M,71 Kg,"Jul 10, 1974",Brazil
soccer/soccernet.espn.go.com/19115.html,16,Striker,1.76 M,72 Kg,"Feb 25, 1977",United States
soccer/soccernet.espn.go.com/82030.html,,Forward,,,,Belgium
soccer/soccernet.espn.go.com/101559.html,12,Goalkeeper,,,"May 06, 1984",Argentina
soccer/soccernet.espn.go.com/22438.html,4,Defender,1.81 M,73 Kg,"Feb 01, 1979",Brazil
soccer/soccernet.espn.go.com/2679.html,3,Midfielder,1.73 M,65 Kg,"May 05, 1976",Argentina
soccer/soccernet.espn.go.com/19082.html,10,Midfielder,1.82 M,75 Kg,"Jun 24, 1978",Argentina
soccer/soccernet.espn.go.com/79791.html,,Midfielder,1.86 M,79 Kg,"Mar 09, 1975",Argentina
soccer/soccernet.espn.go.com/8876.html,20,Midfielder,1.81 M,78 Kg,"Mar 09, 1975",Argentina
soccer/soccernet.espn.go.com/81855.html,,Defender,,,,Germany
soccer/soccernet.espn.go.com/81936.html,,Midfielder,,,,Spain
