url,STRING : position,DATE : birthdate,STRING : birthplace,SPACE : height,STRING : national_team
soccer/www.skysports.com/100572.html,Goalkeeper,"Jan 08, 1979","Split-SFR,Croatia","1,93m",Croatia
soccer/www.skysports.com/103113.html,Midfielder,"Aug 13, 1984","Zagreb, Croatia",1.85m,Croatia
soccer/www.skysports.com/103022.html,Striker,"Jan 01, 1981","Dubrave, Bosnia and Herzegovina",1.85m,Croatia
soccer/www.skysports.com/98642.html,Striker,"Jan 29, 1980","Hamburg,Germany","1,86m",Croatia
soccer/www.skysports.com/138752.html,Midfielder,"Mar 10, 1988","Rheinfelden, Switzerland",1.84m,Croatia
soccer/www.skysports.com/153468.html,Defender,,,,Croatia
soccer/www.skysports.com/127163.html,Striker,"Apr 22, 1980","Rijeka, Croatia",1.85m,Croatia
soccer/www.skysports.com/103018.html,Defender,"Jun 08, 1977","Metkovi�-SFR,Croatia","1,91m",Croatia
soccer/www.skysports.com/100581.html,Midfielder,"May 01, 1982","Metkovic,Croatia",1.82m,Croatia
soccer/www.skysports.com/98880.html,Defender,"Nov 12, 1975","Zagreb-SFR,Croatia",1.80m,Croatia
soccer/www.skysports.com/146948.html,Defender,"Feb 05, 1986","Derventa-SFR, Croatia",1.93m,Croatia
soccer/www.skysports.com/154453.html,Defender,"Nov 26, 1985","Cakovec-SFR,Croatia","1,85m",Croatia
soccer/www.skysports.com/124085.html,Striker,"Sep 14, 1979","Davor, Croatia",1.82m,Croatia
soccer/www.skysports.com/146080.html,Midfielder,"Oct 15, 1971","Berlin,Germany","1,76m",Croatia
soccer/www.skysports.com/157333.html,Striker,"Jan 05, 1988","Solin-SFR,Croatia","1,87m",Croatia
soccer/www.skysports.com/99431.html,Goalkeeper,"Jun 20, 1975","Hav��ov,Czechoslovakia","1,90m",Czech Republic
soccer/www.skysports.com/97289.html,Defender,"May 09, 1977","Ostrava, Czech Republic",1.83m,Czech Republic
soccer/www.skysports.com/61621.html,Striker,"Oct 28, 1981","Vigantice,Czechoslovakia","1,84m",Czech Republic
soccer/www.skysports.com/93973.html,Defender,"May 14, 1980","Hole�ov, Czech Republic",1.85m,Czech Republic
soccer/www.skysports.com/133711.html,Midfielder,"Mar 14, 1981","Brno,Czechoslovakia","1,81m",Czech Republic
soccer/www.skysports.com/92263.html,Striker,"Mar 30, 1973","Lhotam,Czech Republic",2.02m,Czech Republic
soccer/www.skysports.com/92690.html,Goalkeeper,"May 20, 1982","Plzen,Czech Republic",1.96m,Czech Republic
soccer/www.skysports.com/93401.html,Defender,"Mar 24, 1978","R�mařov,Czech Republic",1.85m,Czech Republic
soccer/www.skysports.com/94150.html,Defender,"Jul 05, 1980","Sternberk, Czech Republic",1.93m,Czech Republic
soccer/www.skysports.com/148100.html,Midfielder,"Dec 20, 1981","Brandys-Labem,Czechoslova",1.78m,Czech Republic
soccer/www.skysports.com/113081.html,Midfielder,"Sep 15, 1983","Pelh�imov,Czech Republic",1.85m,Czech Republic
soccer/www.skysports.com/92507.html,Midfielder,"Jan 05, 1982","Opocno,Czech Republic",1.83m,Czech Republic
soccer/www.skysports.com/92259.html,Attacking Midfielder,"Oct 04, 1980","Prague,Czech Republic",1.79m,Czech Republic
soccer/www.skysports.com/99286.html,Goalkeeper,"Dec 29, 1972",Brno,1.88m,Czech Republic
soccer/www.skysports.com/99300.html,Striker,"Feb 01, 1977","Ostrava,Czech Republic","1,78m",Czech Republic
soccer/www.skysports.com/126810.html,Defender,"Dec 14, 1978","Opava,Czechoslovakia",1.74m,Czech Republic
soccer/www.skysports.com/99292.html,Midfielder,"Nov 27, 1979","Prague,Czech Republic","1,89m",Czech Republic
soccer/www.skysports.com/92710.html,Defender,"Dec 14, 1979","Douala,Cameroon",1.90m,France
soccer/www.skysports.com/94818.html,Midfielder,"Sep 10, 1983","Nantes,France",1.83m,France
soccer/www.skysports.com/138624.html,Midfielder,"Mar 10, 1985","Paris, France",1.73m,France
soccer/www.skysports.com/92135.html,Goalkeeper,"Dec 31, 1972","Le Puy-In-Velay,France",1.81m,France
soccer/www.skysports.com/131420.html,Striker,"Dec 17, 1987","Lyon,France",1.83m,France
soccer/www.skysports.com/123912.html,Striker,"Aug 06, 1985","La Seyne-sur-Mer,France",1.84m,France
soccer/www.skysports.com/97254.html,Striker,"Oct 15, 1977","Rouen, France",1.90m,France
soccer/www.skysports.com/92501.html,Defender,"May 15, 1981","Dakar, Senegal",1.75m,France
soccer/www.skysports.com/92121.html,Defender,"Sep 11, 1979","Lyon,France",1.86m,France
soccer/www.skysports.com/98687.html,Midfielder,"Feb 18, 1973","Kinshasa,Zaire",1.70m,France
soccer/www.skysports.com/139354.html,Goalkeeper,"Mar 28, 1985","Kinshasa,Zaire",1.85m,France
soccer/www.skysports.com/92498.html,Defender,"Aug 11, 1980","Toulon,France",1.84m,France
soccer/www.skysports.com/110561.html,Midfielder,"Mar 07, 1984","Marseille, France",1.78m,France
soccer/www.skysports.com/6564.html,Midfielder,"Jun 23, 1976","Dakar, Senegal",1.92m,France
soccer/www.skysports.com/126422.html,Attacking Midfielder,"Jun 26, 1987","Marseille,France",1.77m,France
soccer/www.skysports.com/98718.html,Striker,"Jul 27, 1979","Le-Puy-en-Velay,France",1.75m,France
soccer/www.skysports.com/155621.html,Goalkeeper,"Mar 18, 1980","Thonon-les-Bains,France",1.89m,France
soccer/www.skysports.com/40681.html,Defender,"Aug 17, 1977","Asnieres,France",1.83m,France
soccer/www.skysports.com/6527.html,Striker,"Aug 17, 1977","Les Uli-Paris,France",1.88m,France
soccer/www.skysports.com/92095.html,Defender,"Mar 18, 1977","Saint-Etienne,France",1.82m,France
soccer/www.skysports.com/97247.html,Defender,"Jan 01, 1972","Pointe-a-Pitre,France",1.82m,France
soccer/www.skysports.com/16443.html,Striker,"Mar 14, 1979","Versailles,France",1.85m,France
soccer/www.skysports.com/92145.html,Midfielder,"Jun 13, 1980","Cayenne-Guiana,France",1.81m,France
soccer/www.skysports.com/114132.html,Defender,"Apr 18, 1983","Bourg-en-Bresse,France",1.87m,France
soccer/www.skysports.com/123977.html,Midfielder,"Apr 07, 1983","Boulogne-sur-Mer,France",1.70m,France
soccer/www.skysports.com/92098.html,Midfielder,"Aug 01, 1984","Kolbermoor,Germany",1.83m,Germany
soccer/www.skysports.com/94565.html,Defender,"Dec 07, 1980","Erfurt, Germany",1.83m,Germany
soccer/www.skysports.com/106253.html,Striker,"Jun 04, 1985","Gliwice,Poland",1.82m,Germany
soccer/www.skysports.com/123765.html,Midfielder,"Nov 22, 1976","W�rselen, Germany",1.82m,Germany
soccer/www.skysports.com/163600.html,Utility,"Nov 22, 1976","Wurselen,Germany",1.82m,Germany
soccer/www.skysports.com/92100.html,Midfielder,"Mar 22, 1984","Tczew, Poland",1.69m,Germany
soccer/www.skysports.com/126146.html,Goalkeeper,"Jan 15, 1985","Leipzig, Germany",1.89m,Germany
soccer/www.skysports.com/48524.html,Midfielder,,,,Germany
soccer/www.skysports.com/92304.html,Midfielder,"May 02, 1980","Neubrandenburg,Germany",1.94m,Germany
soccer/www.skysports.com/7001.html,Midfielder,"Apr 05, 1982","Munich, Germany",1.83m,Germany
soccer/www.skysports.com/99614.html,Defender,"Nov 04, 1985","M�nchengladbach, Germany",1.91m,Germany
soccer/www.skysports.com/92211.html,Striker,"Jun 08, 1978","Opole,Poland (Represents Germany)",1.82m,Germany
soccer/www.skysports.com/92950.html,Striker,"Mar 02, 1982","Rio de Janeiro, Brazil",1.90m,Germany
soccer/www.skysports.com/107243.html,Midfielder,"Jan 21, 1982","Ibbenb�ren, Germany",1.89m,Germany
soccer/www.skysports.com/94578.html,Goalkeeper,"Nov 10, 1969","Essen, Germany",1.90m,Germany
soccer/www.skysports.com/130721.html,Defender,"Nov 05, 1980","Haltern Am See,Germany",1.94m,Germany
soccer/www.skysports.com/136518.html,Defender,"Aug 14, 1983","Alzenau, Germany",1.90m,Germany
soccer/www.skysports.com/94567.html,Defender,"Sep 29, 1984","Hannover, Germany",1.98m,Germany
soccer/www.skysports.com/92953.html,Defender,"Nov 11, 1983","Munich,Germany",1.70m,Germany
soccer/www.skysports.com/123746.html,Goalkeeper,"Aug 24, 1977","Jena, Germany",1.86m,Germany
soccer/www.skysports.com/114125.html,Striker,"Jul 10, 1985","Riedlingen, Germany",1.89m,Germany
soccer/www.skysports.com/92088.html,Midfielder,"Sep 26, 1976","Gorlitz,Germany",1.88m,Germany
soccer/www.skysports.com/92270.html,Striker,"Feb 21, 1984","Bunde,Germany",1.74m,Germany
soccer/www.skysports.com/92385.html,Striker,"May 01, 1973","Locarno, Switzerland",1.71m,Germany
soccer/www.skysports.com/93709.html,Defender,"May 29, 1979","Bad Oeynhausen, Germany",1.85m,Germany
soccer/www.skysports.com/105065.html,Utility,"Feb 13, 1985","Katerini,Greece","1,89m",Greece
soccer/www.skysports.com/99275.html,Defender,"May 24, 1975","Ambelonas-Larisa,Greece",1.84m,Greece
soccer/www.skysports.com/92297.html,Striker,"Feb 09, 1980","Serres,Greece","1,90m",Greece
soccer/www.skysports.com/149027.html,Goalkeeper,"Aug 12, 1982","Athens,Greece","1,90m",Greece
soccer/www.skysports.com/92955.html,Striker,"Dec 03, 1981","Kozani, Greece",1.83m,Greece
soccer/www.skysports.com/139991.html,Utility,"Aug 10, 1981","Thessaloniki,Greece","1,72m",Greece
soccer/www.skysports.com/95025.html,Striker,"Feb 21, 1985","Heraklion,Greece",1.93m,Greece
soccer/www.skysports.com/99457.html,Midfielder,"Jun 21, 1979","Patras,Greece","1,83m",Greece
soccer/www.skysports.com/94594.html,Midfielder,"Jul 12, 1974","Athens,Greece",1.74m,Greece
soccer/www.skysports.com/99459.html,Striker,"Aug 04, 1975","Filiatra, Greece",1.86m,Greece
soccer/www.skysports.com/99269.html,Goalkeeper,"Oct 14, 1971","Arta,Greece","1,91m",Greece
soccer/www.skysports.com/42687.html,Striker,,,,Greece
soccer/www.skysports.com/99272.html,Defender,"Jul 23, 1979","Trikala,Greece",1.93m,Greece
soccer/www.skysports.com/161007.html,Defender,"Oct 10, 1983","Ioannina,Greece",1.72m,Greece
soccer/www.skysports.com/101562.html,Midfielder,"Jan 03, 1976","Chalkida,Greece",1.80m,Greece
soccer/www.skysports.com/99279.html,Goalkeeper,"May 30, 1974","Larissa,Greece",1.99m,Greece
soccer/www.skysports.com/132806.html,Striker,"May 23, 1980","Larissa, Greece",1.79m,Greece
soccer/www.skysports.com/163601.html,Defender,"Jun 10, 1985","Xanthi,Greece","1,85m",Greece
soccer/www.skysports.com/149113.html,Utility,,,,Greece
soccer/www.skysports.com/143733.html,Defender,"Mar 19, 1979","Athens,Greece","1,82m",Greece
soccer/www.skysports.com/107981.html,Defender,"May 02, 1981","Alberchice,Czech Republic",1.84m,Greece
soccer/www.skysports.com/104277.html,Utility,"Mar 06, 1977","Pyrgos,Greece","1,76m",Greece
soccer/www.skysports.com/94920.html,Midfielder,"Nov 30, 1984","Amsterdam, Netherlands",1.74m,Holland
soccer/www.skysports.com/95728.html,Defender,"Jun 15, 1978","Helmond,Netherlands",1.79m,Holland
soccer/www.skysports.com/3691.html,Defender,"Feb 05, 1975","Rotterdam,Holland","1,78m",Holland
soccer/www.skysports.com/94966.html,Striker,"Aug 06, 1983","Rotterdam,Netherlands",1.88m,Holland
soccer/www.skysports.com/95825.html,Defender,"Dec 28, 1981","Maassluis, Netherlands",1.83m,Holland
soccer/www.skysports.com/124411.html,Striker,"Aug 12, 1983","Voor-Drempt, Netherlands",1.86m,Holland
soccer/www.skysports.com/94458.html,Striker,"Nov 07, 1978","Oldenzaal,Netherlands",1.91m,Holland
soccer/www.skysports.com/95729.html,Midfielder,"Jan 23, 1984","Bedum,Netherlands",1.81m,Holland
soccer/www.skysports.com/94967.html,Striker,"Jul 22, 1980","Katwijk,Netherlands",1.84m,Holland
soccer/www.skysports.com/101921.html,Defender,"Nov 15, 1983","Alphen-Rijn,Netherlands",1.80m,Holland
soccer/www.skysports.com/94447.html,Defender,"Jul 11, 1974","Amsterdam,Netherlands",1.84m,Holland
soccer/www.skysports.com/94888.html,Midfielder,"Aug 24, 1979","Rotterdam, Netherlands",1.97m,Holland
soccer/www.skysports.com/94706.html,Defender,"Nov 08, 1978","Leiden,Netherlands","1,82m",Holland
soccer/www.skysports.com/23716.html,Striker,"Jul 01, 1976","Oss-North Brabant,Holland",1.88m,Holland
soccer/www.skysports.com/7097.html,Defender,"Nov 04, 1976","Amsterdam,Netherlands",1.87m,Holland
soccer/www.skysports.com/93978.html,Attacking Midfielder,"Jun 09, 1984","Utrecht,Netherlands",1.70m,Holland
soccer/www.skysports.com/110982.html,Attacking Midfielder,"Dec 19, 1986","Amsterdam,Netherlands",1.84m,Holland
soccer/www.skysports.com/94689.html,Defender,"Apr 05, 1980","Goirle, Netherlands",1.81m,Holland
soccer/www.skysports.com/73798.html,Goalkeeper,"Oct 29, 1970","Voorhout,Netherlands",1.96m,Holland
soccer/www.skysports.com/93977.html,Midfielder,"Feb 11, 1983","Heemskerk,Netherlands",1.75m,Holland
soccer/www.skysports.com/136842.html,Midfielder,"May 26, 1983","Apeldoorn,Netherlands",1.74m,Holland
soccer/www.skysports.com/163606.html,Goalkeeper,"Sep 22, 1982","Haarlem,Netherlands",1.97m,Holland
soccer/www.skysports.com/94705.html,Goalkeeper,"Dec 03, 1971","Hierden,Netherlands","1,88m",Holland
soccer/www.skysports.com/101365.html,Striker,"Jun 18, 1982","Naples, Italy",1.80m,Italy
soccer/www.skysports.com/125925.html,Striker,"May 26, 1977","Pavullo nel Frignano,Italy",1.96m,Italy
soccer/www.skysports.com/97252.html,Defender,"Feb 19, 1977","Como, Italy",1.81m,Italy
soccer/www.skysports.com/97245.html,Goalkeeper,"Jan 28, 1978","Carrara, Italy",1.91m,Italy
soccer/www.skysports.com/97271.html,Striker,"Oct 13, 1977","Napoli,Italy",1.70m,Italy
soccer/www.skysports.com/97214.html,Midfielder,"Sep 17, 1977","Ashton-under-lyne,England",1.78m,Italy
soccer/www.skysports.com/97260.html,Midfielder,"Oct 04, 1976","Tandil, Argentina",1.74m,Italy
soccer/www.skysports.com/97730.html,Midfielder,"Jan 09, 1978","Corigliano Calabro, Italy",1.77m,Italy
soccer/www.skysports.com/22416.html,Striker,"Feb 18, 1980",,,Italy
soccer/www.skysports.com/97155.html,Defender,"Sep 13, 1973","Naples,Italy",1.76m,Italy
soccer/www.skysports.com/143616.html,Goalkeeper,"Mar 26, 1977","Gaurdiagrele,Italy","1,90m",Italy
soccer/www.skysports.com/127167.html,Defender,"Aug 14, 1984","Pisa, Italy",1.86m,Italy
soccer/www.skysports.com/103574.html,Defender,"Aug 27, 1981","Bologna, Italy",1.85m,Italy
soccer/www.skysports.com/125924.html,Midfielder,"May 19, 1979","Flero, Italy",1.77m,Italy
soccer/www.skysports.com/99824.html,Defender,"Nov 28, 1977","Rome,Italy",1.90m,Italy
soccer/www.skysports.com/97307.html,Striker,"Jul 12, 1982","Bari,Italy",1.75m,Italy
soccer/www.skysports.com/97300.html,Defender,"Apr 12, 1973","Savona,Italy",1.84m,Italy
soccer/www.skysports.com/97313.html,Midfielder,"Jul 24, 1983","Rome,Italy",1.84m,Italy
soccer/www.skysports.com/101875.html,Utility,,,,Italy
soccer/www.skysports.com/97156.html,Defender,"Aug 19, 1973","Lecce, Italy",1.93m,Italy
soccer/www.skysports.com/126532.html,Midfielder,"Jul 07, 1984","Rome,Itlay",1.86m,Italy
soccer/www.skysports.com/97227.html,Goalkeeper,"Apr 02, 1982","Rome,Italy","1,87m",Italy
soccer/www.skysports.com/97253.html,Striker,"Nov 09, 1974","Conegliano, Italy",1.73m,Italy
soccer/www.skysports.com/97742.html,Midfielder,"May 29, 1977","Pesaro, Italy",1.82m,Italy
soccer/www.skysports.com/138477.html,Striker,"Jan 31, 1983","Castellamare,Italy",1.80m,Italy
soccer/www.skysports.com/100578.html,Midfielder,"May 18, 1979","Legnica,Poland","1,84m",Poland
soccer/www.skysports.com/101063.html,Defender,"Mar 08, 1978","Ostrowiec,Poland","1,88m",Poland
soccer/www.skysports.com/123744.html,Midfielder,"May 15, 1976","Kamieńsk, Poland",1.79m,Poland
soccer/www.skysports.com/150417.html,Defender,"Oct 06, 1986","Andrych�w,Poland","1,85m",Poland
soccer/www.skysports.com/100348.html,Utility,,,,Poland
soccer/www.skysports.com/133717.html,Striker,"Oct 31, 1978","Lodz,Poland","1,78m",Poland
soccer/www.skysports.com/99434.html,Defender,"Apr 22, 1976","Warsaw,Poland",,Poland
soccer/www.skysports.com/142666.html,Utility,,,,Poland
soccer/www.skysports.com/158416.html,Striker,"Nov 22, 1984","Olsztyn,Poland","1,88m",Poland
soccer/www.skysports.com/156105.html,Defender,"Jul 07, 1983","Kutno,Poland","1,88m",Poland
soccer/www.skysports.com/147010.html,Midfielder,"May 25, 1982","Sao Paulo, Brazil","1,86m",Poland
soccer/www.skysports.com/148101.html,Midfielder,"Feb 25, 1981","�aga�,Poland","1,78m",Poland
soccer/www.skysports.com/144941.html,Goalkeeper,"Apr 18, 1985","Kostrzyn nad Odra,Poland",1.90m,Poland
soccer/www.skysports.com/101070.html,Striker,"Sep 11, 1976","Poznan,Poland",1.82m,Poland
soccer/www.skysports.com/106973.html,Goalkeeper,"Mar 20, 1982","Krosno Odrza�skie,Poland",1.90m,Poland
soccer/www.skysports.com/136679.html,Midfielder,"Dec 14, 1985","Czestochowa, Poland",1.75m,Poland
soccer/www.skysports.com/161859.html,Defender,"Sep 21, 1987","Krak�w,Poland","1,80m",Poland
soccer/www.skysports.com/148130.html,Defender,"Oct 12, 1982","Lodz,Poland",1.83m,Poland
soccer/www.skysports.com/92739.html,Defender,"Mar 24, 1973","Lublin,Poland","1,94m",Poland
soccer/www.skysports.com/153875.html,Striker,"Jun 03, 1985","Czechowice-Dziedzice, Poland",1.84m,Poland
soccer/www.skysports.com/106622.html,Striker,"Jan 09, 1981","Lodz,Poland","1,78m",Poland
soccer/www.skysports.com/125632.html,Goalkeeper,"Feb 20, 1980","Siedlce,Poland",1.93m,Poland
soccer/www.skysports.com/145166.html,Defender,"Jun 09, 1980","Krak�w,Poland","1,86m",Poland
soccer/www.skysports.com/152089.html,Midfielder,"Oct 20, 1982","Bydgoszcz,Poland","1,88m",Poland
soccer/www.skysports.com/128689.html,Defender,"Dec 09, 1983","Kostrzyn nad Odr�,Poland","1,83m",Poland
soccer/www.skysports.com/132102.html,Midfielder,"May 11, 1986","Coimbra,Portugal","1,80m",Portugal
soccer/www.skysports.com/26937.html,Utility,,,,Portugal
soccer/www.skysports.com/126502.html,Midfielder,"Mar 17, 1983","Porto,Portugal",1.79m,Portugal
soccer/www.skysports.com/120562.html,Goalkeeper,"Jan 25, 1974","S�o Tom�,Portugal",1.90m,Portugal
soccer/www.skysports.com/150263.html,Utility,,,,Portugal
soccer/www.skysports.com/94255.html,Midfielder,"Sep 25, 1976","Strasbourg, France",1.76m,Portugal
soccer/www.skysports.com/94592.html,Attacking Midfielder,"Feb 05, 1985","Funchal-Madeira,Portugal",1.85m,Portugal
soccer/www.skysports.com/99310.html,Defender,"Jan 18, 1979","Cascais,Portugal",1.82m,Portugal
soccer/www.skysports.com/68561.html,Defender,"Nov 09, 1981","Lisbon,Portugal","1,72m",Portugal
soccer/www.skysports.com/160449.html,Goalkeeper,"Feb 15, 1988","Marrazes-Leiria,Portugal",1.88m,Portugal
soccer/www.skysports.com/94521.html,Utility,"Aug 02, 1982","Vila do Conde,Portugal",1.82m,Portugal
soccer/www.skysports.com/99309.html,Defender,"May 18, 1978","Amarante,Portugal","1,83m",Portugal
soccer/www.skysports.com/131563.html,Midfielder,"Sep 08, 1986","Barreiro,Portugal",1.70m,Portugal
soccer/www.skysports.com/94251.html,Defender,"Jan 04, 1980","Lisbon,Portugal",1.79m,Portugal
soccer/www.skysports.com/103171.html,Striker,"Jul 05, 1976",Amarante,1.81m,Portugal
soccer/www.skysports.com/75403.html,Defender,,,,Portugal
soccer/www.skysports.com/75381.html,Goalkeeper,"Feb 11, 1976","Montijo,Portugal","1,85m",Portugal
soccer/www.skysports.com/94259.html,Midfielder,"Oct 30, 1979","Constantim,Portugal",1.70m,Portugal
soccer/www.skysports.com/112704.html,Striker,"May 23, 1984","Figueira da Foz,Portugal",1.91m,Portugal
soccer/www.skysports.com/136763.html,Attacking Midfielder,"Nov 17, 1986","Praia-Cape Verde, Portugal",1.75m,Portugal
soccer/www.skysports.com/100940.html,Goalkeeper,"Feb 11, 1976","Montjio,Portugal",1.85m,Portugal
soccer/www.skysports.com/126102.html,Utility,,,,Portugal
soccer/www.skysports.com/99321.html,Defender,"Aug 24, 1982",Portugal,1.83m,Portugal
soccer/www.skysports.com/99315.html,Midfielder,"Aug 27, 1977","S�o Bernardo do Campo,Brazil",1.74m,Portugal
soccer/www.skysports.com/97101.html,Midfielder,"Sep 26, 1983","Lisbon, Portugal",1.73m,Portugal
soccer/www.skysports.com/126237.html,Defender,"Feb 26, 1986","Maceio, Brazil (represents Portugal)",1.86m,Portugal
soccer/www.skysports.com/125961.html,Striker,"May 16, 1981","Bucharest,Romania",1.84m,Romania
soccer/www.skysports.com/132814.html,Midfielder,"Jan 07, 1985","Faurei,Romania",1.75m,Romania
soccer/www.skysports.com/96735.html,Striker,"Jan 08, 1979","Calinesti, Romania",1.80m,Romania
soccer/www.skysports.com/93982.html,Goalkeeper,"Jan 18, 1978","Hunedoara,Romania",1.84m,Romania
soccer/www.skysports.com/100576.html,Defender,"May 26, 1981","Slatina,Romania",1.78m,Romania
soccer/www.skysports.com/149037.html,Defender,"Apr 05, 1984","Bucharest,Romania",1.87m,Romania
soccer/www.skysports.com/100563.html,Striker,"Oct 02, 1985","Bucharest, Romania",1.84m,Romania
soccer/www.skysports.com/128244.html,Midfielder,"Apr 04, 1981","Timisoara,Romania",1.74m,Romania
soccer/www.skysports.com/129912.html,Goalkeeper,"Jul 31, 1978","Oradea,Romania",1.84m,Romania
soccer/www.skysports.com/129913.html,Defender,"Dec 12, 1980","Suceava,Romania",1.94m,Romania
soccer/www.skysports.com/126147.html,Defender,"Dec 15, 1975","Timisoara,Romania",1.80m,Romania
soccer/www.skysports.com/140628.html,Defender,"Oct 22, 1986","Bucharest, Romania",1.83m,Romania
soccer/www.skysports.com/138875.html,Defender,"Mar 12, 1984","Resita,Romania",1.83m,Romania
soccer/www.skysports.com/137137.html,Midfielder,"Feb 19, 1983","Cluj-Napoca,Romania",1.81m,Romania
soccer/www.skysports.com/100804.html,Defender,"Mar 22, 1981","Drobeta-Turnu Severin,Romania",1.79m,Romania
soccer/www.skysports.com/126689.html,Defender,"May 11, 1979","Galati,Romania",1.87m,Romania
soccer/www.skysports.com/98988.html,Defender,"Oct 26, 1980","Reşiţa, Romania",1.84m,Romania
soccer/www.skysports.com/100559.html,Midfielder,"Jan 15, 1976","Bucharest,Romania",1.66m,Romania
soccer/www.skysports.com/99424.html,Defender,"Nov 09, 1983","Brasov,Romania",1.88m,Romania
soccer/www.skysports.com/125806.html,Striker,"May 09, 1980","Pitesti, Romania",1.81m,Romania
soccer/www.skysports.com/124088.html,Midfielder,"Aug 20, 1983","Tambov,Russia",,Russia
soccer/www.skysports.com/120162.html,Defender,"Sep 28, 1982","Samara,Russia","1,76m",Russia
soccer/www.skysports.com/125724.html,Striker,"May 29, 1981","Saint Petersburg,Russia","1,72m",Russia
soccer/www.skysports.com/100154.html,Utility,,,,Russia
soccer/www.skysports.com/35287.html,Defender,"Mar 09, 1973",U.S.A,6-3,Russia
soccer/www.skysports.com/124090.html,Defender,"Jun 20, 1982","Moscow,Russia","1,89m",Russia
soccer/www.skysports.com/136863.html,Striker,"Oct 17, 1983","Voronezh,Russia","1,78m",Russia
soccer/www.skysports.com/124093.html,Midfielder,"Feb 27, 1976","Sychanske,Russia","1,78m",Russia
soccer/www.skysports.com/148116.html,Striker,"Nov 08, 1983","Moscow,Russia","1,88m",Russia
soccer/www.skysports.com/146003.html,Striker,"Jun 21, 1982",Russia,"1,89m",Russia
soccer/www.skysports.com/125716.html,Goalkeeper,"Mar 04, 1979","Leningrad,Russia","1,85m",Russia
soccer/www.skysports.com/124083.html,Utility,,,,Russia
soccer/www.skysports.com/156443.html,Midfielder,"Apr 07, 1984",Russia,"1,78m",Russia
soccer/www.skysports.com/124081.html,Goalkeeper,"Apr 08, 1986","Vidnoye-Moscow,Russia","1,85m",Russia
soccer/www.skysports.com/163679.html,Midfielder,"Oct 05, 1977","Perm,Russia","1,76m",Russia
soccer/www.skysports.com/105030.html,Midfielder,"Apr 28, 1984","Norilsk,Russia","1,72m",Russia
soccer/www.skysports.com/157369.html,Defender,"Jul 06, 1981","Dedovsk,Russia",,Russia
soccer/www.skysports.com/92669.html,Striker,"Oct 26, 1983","Omsk,Russia","1,76m",Russia
soccer/www.skysports.com/128669.html,Midfielder,"Jan 31, 1984","Luga,Russia","1,78m",Russia
